주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,장애인주차면,가족배려주차면,경차주차면,환경친화적,대형차 주차면,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금, 월정기권요금  ,관리기관명
강남구청 부설,공영,부설,학동로 426,삼성동 16-1,120,4,21,3,1,0,급지없음,미시행,평일+토요일+공휴일,08:00:00,19:00:00,08:00:00,19:00:00,08:00:00,19:00:00,유료,5분,300,미운영,강남구도시관리공단
강남구청 삼성로별관 부설,공영,부설,삼성로 628,삼성동 66,42,3,8,0,1,0,급지없음,미시행,평일,09:00:00,18:00:00,미운영,미운영,미운영,미운영,유료,5분,300,미운영,강남구도시관리공단
강남치매안심센터,공영,노외,선릉로108길 27,삼성동 113-26외1,90,4,15,7,5,0,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,400,280000,강남구도시관리공단
개포동공원,공영,노외,개포로 509,개포동 183-2,145,5,26,1,7,0,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,200,120000,강남구도시관리공단
구룡산제1호,공영,노외,양재대로 478 외,개포동 567-25외10,91,3,16,0,5,0,3,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,200,120000,강남구도시관리공단
구룡산제2호,공영,노외,양재대로478,개포동 126-2,127,4,18,0,7,0,3,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,200,120000,강남구도시관리공단
남부순환로397길,공영,노상,남부순환로 2921 주변,대치동 623,31,1,4,2,0,0,2,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,300,120000,강남구도시관리공단
논현로131길,공영,노상,학동로 171 주변,논현동 58,21,1,0,2,0,0,1,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,400,150000,강남구도시관리공단
논현로22길,공영,노외,논현로22길,개포동 1266,86,3,9,10,4,0,3,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,200,120000,강남구도시관리공단
논현로28길,공영,노상,논현로30길 주변,도곡동 517,66,2,16,1,3,0,2,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,300,120000,강남구도시관리공단
