"강동구 공영주차장 정보(2014년)","","","","","","","","","","",""
"","","","","","","","","","","",""
"노외주차장","","","","","","","","","","",""
"연번","주차장명","주차장위치","주차면수","급지","주차요금","주차요금","월 정기권(원)","","","유,무료","운영시간"
"","","","","","(시간)","(금액)","전일","주간","야간","",""
"1","해공 주차장","강동구 구천면로 29길11(천호동)","342","3","5분","150원","98,000원","62,000원","36,000원","유료","24시간"
"2","천호유수지 주차장","강동구 선사로70(천호동)","178","4","5분","100원","70,000원","45,000원","25,000원","유료","24시간"
"3","천호1동 주차장","강동구 구천면로 42길60(천호동)","192","3","5분","150원","90,000원","50,000원","40,000원","유료","24시간"
"4","천호2동 주차장","강동구 천호대로 151길25(천호동)","13","주간-2야간-3","5분","250원","없음","없음","없음","유료","09시~20시"
"5","천호3동 주차장","강동구 진황도로 29길34(천호동)","190","3","5분","150원","80,000원","50,000원","40,000원","유료","24시간"
"6","천호3동 제2주차장","강동구 성안로31 마길3(천호동)","92","3","5분","150원","80,000원","50,000원","40,000원","유료","24시간"
"7","온조대왕옆 주차장","강동구 고덕로 285(고덕동)","20","3","5분","150원","80,000원","70,000원","40,000원","유료","09시~18시(공휴일 휴무)"
"8","안말 주차장","강동구 풍성로 45길11(성내동)","174","3","5분","150원","90,000원","50,000원","40,000원","유료","24시간"
"9","암사1동 주차장","강동구 고덕로 28길36(암사동)","112","3","5분","150원","80,000원","50,000원","40,000원","유료","24시간"
"10","강일동 주차장","강동구 아리수로 91길54(강일동)","72","3","5분","150원","80,000원","50,000원","40,000원","유료","24시간"
"11","명일동 주차장","강동구 구천면로 395(명일동)","254","2","5분","250원","100,000원","65,000원","50,000원","유료","24시간"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"노상주차장","","","","","","","","","","",""
"연번","주차장명","주차장위치","주차면수","급지","주차요금","주차요금","월 정기권(원)","","","유,무료","운영시간"
"","","","","","(시간)","(금액)","전일","주간","야간","",""
"1","천호2동 제2주차장","강동구 천호대로 151길(천호동)","7","2","5분","250원","없음","없음","없음","유료","09시~20시"
"2","주양쇼핑옆 주차장","강동구 고덕로 62길(명일동)","45","2","5분","250원","없음","100,000원","없음","유료","평일 09시~19시(야간은 주거지)토요일 09시~15시(야간은 주거지)"
"3","주양쇼핑앞 주차장","강동구 동남로 71길(명일동)","50","2","5분","250원","없음","100,000원","없음","유료","평일 09시~19시(야간은 주거지)토요일 09시~15시(야간은 주거지)"
"4","강동구청옆 주차장","강동구 성내로 5길(성내동)","19","2","5분","250원","없음","100,000원","없음","유료","평일 09시~19시(야간은 주거지)토요일 09시~15시(야간은 주거지)"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"할인대상자","할인률","비고","","","","","","","","",""
"장애인, 유공자","80%","","","","","","","","","",""
"경차, 저공해차량","50%","","","","","","","","","",""
"강동구 다둥이카드소지고객(3자녀)","50%","","","","","","","","","",""
"전통시장이용고객(영수증지참)","30%","","","","","","","","","",""
"강동구 다둥이카드소지고객(2자녀)","30%","","","","","","","","","",""
"승용차 요일제 참여차량","30%","","","","","","","","","",""
