구분,주차장명,급지,주소,면수,요금(5분당)
노상,꿈나무길,2,등촌3동 미주진로아파트 후면,60,250원
노상,달구지길,2,화곡1동 대림아파트 옆,29,250원
노상,방죽길,2,화곡6동 포유오피스텔 후면,47,250원
노상,배다리동길,2,"화곡2,4,8동 복개도로(국회대로7길)",304,200원
노상,배다리서길,2,화곡1동 복개도로(강서로5나길),249,200원
노상,신학대길,2,화곡6동 강서구청 후문,29,250원
노외,가로공원,4,가로공원로 지하189,512,100원
노외,등촌2-1,5,등촌로 55길 33-16,110,50원
노외,볏골공원,4,까치산로 4길 22,228,100원
노외,서울식물원 제2,4,영천로 291,202,100원
노외,화곡본-1,5,초록마을로 26길 48,98,50원
노외,화곡본-2,5,초록마을로 5길 43,100,50원
노외,화곡1-1,5,곰달래로 15길 28,99,50원
노외,화곡1-2,5,강서로 가로공원로76가길 39,9,50원
노외,화곡2-1,5,강서로 18아길 26-15,58,50원
노외,화곡3-1,5,화곡로 15길 40,99,50원
노외,화곡5-1,5,강서로 36길 21,26,50원
노외,화곡5-2,5,강서로34길 41-21,27,시간주차불가
노외,화곡5-3,5,화곡로27가길 38,13,시간주차불가
노외,화곡6-1,4,우장산로 114,293,100원
노외,화곡7-1,5,월정로32길 68,86,50원
노외,화곡8-1,5,초록마을로 22길 57-11,59,50원
노외,화곡8-2,5,초록마을로 126,109,50원
부설,곰달래,4,강서로 5길 50,252,100원
부설,화곡4-1,5,곰달래로 57가길 20,202,50원
부설,등서초,5,화곡로 58길 86,32,시간주차불가
부설,봉제산,5,초록마을로15길 12,56,50원
부설,마곡안전체험관,4,마곡중앙로 13,36,100원
부설,화곡6동주민센터,4,공항대로4길 105,24,100원
