연번,주차장명,소재지지번주소,급지 및 운영형태,주차면수,전화번호,요금형태,데이터기준일자
1,만석공원제5공영,경기도 수원시 장안구 송죽동318,녹지,103,031-695-0930,유료,2026-03-23
2,만석공원제1공영,경기도 수원시 장안구 송죽동228,녹지,76,031-695-0930,유료,2026-03-23
3,만석공원제2공영,경기도 수원시 장안구 송죽동286-1,녹지,61,031-695-0930,유료,2026-03-23
4,만석공원제3공영,경기도 수원시 장안구 송죽동417-24,녹지,50,031-695-0930,유료,2026-03-23
5,만석공원제4공영,경기도 수원시 장안구 송죽동346-6,녹지,43,031-695-0930,유료,2026-03-23
6,연무동거주자공영,경기도 수원시 장안구 연무동249-4,거주자,86,031-238-0560,유료,2026-03-23
7,광교공영,경기도 수원시 장안구 하광교동393-2,녹지,357,031-695-0930,유료,2026-03-23
8,연무동공영,경기도 수원시 장안구 연무동193-338,주거,158,031-695-0930,유료,2026-03-23
9,연무동제2거주자공영,경기도 수원시 장안구 연무동 297,거주자우선주차제,12,031-238-0560,유료,2026-03-23
10,영화동제2공영,경기도 수원시 장안구 영화동37-173,거주자,24,031-238-0560,유료,2026-03-23
11,영화동공영,경기도 수원시 장안구 영화동250-1,주거,208,031-695-0930,유료,2026-03-23
12,화홍문공영,경기도 수원시 장안구 영화동154-12,주거,488,031-695-0930,유료,2026-03-23
13,율전제2공영,경기도 수원시 장안구 율전동181-53,주거,37,031-695-0930,유료,2026-03-23
14,성대환승(구),경기도 수원시 장안구 율전동230-2,주거,160,031-695-0930,유료,2026-03-23
15,성대환승(신),경기도 수원시 장안구 율전동281-9,상업,191,031-695-0930,유료,2026-03-23
16,율전공영,경기도 수원시 장안구 율전동402-1,주거,118,031-695-0930,유료,2026-03-23
17,율전제3공영,경기도 수원시 장안구 율전동 281-3,주거,44,031-695-0930,유료,2026-03-23
18,정자2동공영,경기도 수원시 장안구 정자동 24-22,거주자우선주차제,89,031-238-0560,유료,2026-03-23
19,노을공영,경기도 수원시 장안구 정자동882-4,거주자우선주차제,28,031-238-0560,유료,2026-03-23
20,백설공영,경기도 수원시 장안구 정자동879-4,주거,56,031-695-0930,유료,2026-03-23
21,조원1공영,경기도 수원시 장안구 조원동859-1,거주자우선주차제,22,031-238-0560,유료,2026-03-23
22,조원2공영,경기도 수원시 장안구 조원동846-5,거주자우선주차제,43,031-238-0560,유료,2026-03-23
23,조원3공영,경기도 수원시 장안구 조원동733-4,거주자우선주차제,16,031-238-0560,유료,2026-03-23
24,보훈타운공영,경기도 수원시 장안구 조원동476-1,거주자우선주차제,54,031-238-0560,유료,2026-03-23
25,세일공영,경기도 수원시 장안구 파장동561,거주자우선주차제,57,031-238-0560,유료,2026-03-23
26,파장동맛고을공영,경기도 수원시 장안구 파장동338-18,녹지,70,031-695-0930,유료,2026-03-23
27,파장동거주자공영,경기도 수원시 장안구 파장동 214번지,거주자우선주차제,168,031-238-0560,유료,2026-03-23
