시도명,데이터등록기관명,시군명,주차장명,주차장유형,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,연락처,연휴1일차(1-24)개방시작시간,연휴1일차(1-24)개방종료시간,연휴2일차(1-25)개방시작시간,연휴2일차(1-25)개방종료시간,연휴3일차(1-26)개방시작시간,연휴3일차(1-26)개방종료시간,연휴4일차(1-27)개방시작시간,연휴4일차(1-27)개방종료시간,종일개방여부
경기도,광주시,광주시,송정동 노상주차장(크로바쇼핑앞),노상,경기도 광주시 송정로 17,경기도 광주시 송정동 548-10,37.419454,127.257719,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,다샘장앞 노상주차장,노상,경기도 광주시 중앙로 96,경기도 광주시 역동 218-3,37.408291,127.259909,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,송정동(구)우시장 노외주차장,노외,경기도 광주시 통미로 16번길 5-2,경기도 광주시 송정동 101-4,37.414899,127.258531,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,(구)3번종점 역동 노외주차장,노외,경기도 광주시 중앙로 71,경기도 광주시 역동 27-15,37.405931,127.260301,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,곤지암노외 주차장,노외,경기도 광주시 곤지암읍 경충대로 612,경기도 광주시 곤지암읍 곤지암리 555,37.352032,127.346046,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,송정단위농협 뒤 노외주차장,노외,경기도 광주시 통미로 24번길 3-15,경기도 광주시 송정동 101-74,37.414746,127.258151,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,경안동 노외주차장,노외,경기도 광주시 경안로 13-6,경기도 광주시 경안동 30-6,37.409419,127.259014,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,송정동(광주고교 진입로) 노외주차장,노외,경기도 광주시 수하길28번길 10-5,경기도 광주시 송정동 507-6,37.414414,127.263903,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,송정동(현대아파트뒤) 노외주차장,노외,경기도 광주시 광주대로105번길 22-20,경기도 광주시 송정동 108-2,37.417564,127.261187,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,신촌리 노외주차장,노외,경기도 광주시 경충대로 49-2,경기도 광주시 곤지암읍 신촌리 133,37.328839,127.396642,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,광주경찰서앞 노외주차장,노외,경기도 광주시 포돌이로 135,경기도 광주시 탄벌동 547-2,37.409143,127.239757,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,경안시장 노외주차장,노외,경기도 광주시 중앙로 103-5,경기도 광주시 경안동 33-37,37.408765,127.257725,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,광지원리 교량 하부 노외주차장,노외,경기도 광주시 회안대로 1386-15 앞,경기도 광주시 남한산성면 광지원리 184-8,37.464201,127.250201,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,곤지암배수펌프장 노외주차장,노외,경기도 광주시 곤지암로 70-40 앞,경기도 광주시 곤지암읍 곤지암리 453-4,37.350501,127.337601,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
경기도,광주시,광주시,곤지암둔치 노외주차장,노외,경기도 광주시 곤지암로 70-43,경기도 광주시 곤지암읍 곤지암리 453-231,37.350746,127.336671,경기도 광주도시관리공사,031-769-0448,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,종일개방
