주차장명,기관구분,기관명,담당자명,담당자연락처,시도명,시군구명,주소,위치,주차장유형,09월 28일,09월 29일,09월 30일,10월 01일,10월 02일,10월 03일,365일 상시 무료개방여부,참고사항,기준일자
거제면주민자치센터,지방자치단체,경상남도 거제시 거제면사무소,박지영,055-639-6565,경상남도,거제시,경상남도 거제시 거제면 동상3길 26,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제면 공영주차장,지방자치단체,경상남도 거제시 거제면사무소,김명겸,055-639-6582,경상남도,거제시,경상남도 거제시 거제면 동상리 529-6,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제면사무소,지방자치단체,경상남도 거제시 거제면사무소,천지효,055-639-6562,경상남도,거제시,경상남도 거제시 거제면 서상길 1,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제국민체육센터 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 거제면 거제남서로 3485-17,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
고현종합시장 공영주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,오민환,055-639-8178,경상남도,거제시,경상남도 거제시 거제중앙로17길 6,지상,부설,종일개방,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
거제시종합운동장 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 계룡로 11길 26,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
거제시체육관 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 계룡로 11길 35,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
고현보조운동장 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 고현동 906,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
옥포운동장 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 국산로 187,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
아주운동장 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 아주로3길 55-1,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
송정체육시설 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 연초면 송정리 323,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
하청스포츠타운 주차장,지방자치단체,경상남도 거제시 거제해양관광개발공사,제창훈,055-639-8138,경상남도,거제시,경상남도 거제시 하청면 실전리 656-2,지상,노상,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
고현동 주민센터,지방자치단체,경상남도 거제시 고현동,안진원,055-639-6922,경상남도,거제시,경상남도 거제시 거제중앙로13길 24,지상,부설,종일개방,종일개방,종일개방,종일개방,종일개방,종일개방,O,24시간 개방,2023-09-27
고현 중앙공영주차장,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로 1930-7(고현동),지상,노외,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
고현4,지방자치단체,경상남도 거제시 교통과,서이향,055-639-4548,경상남도,거제시,경상남도 거제시 거제중앙로1767,지상,노상,종일개방,종일개방,종일개방,20:00~익일 08:00,20:00~익일 08:00,20:00~익일 08:00,X,<유료개방 시 주차요금 징수 시간>08:00~20:00 유료 20:00~익일 08:00 무료,2023-09-27
