고유번호,지형지물부호,관리번호,도엽번호,행정읍면동코드,도로구간번호,주차장명,주차장_위치구분,주차요금구분,요금,주차면수,장애자_주차면수,전체면적(제곱미터),운영시간_개장시간,운영시간_폐장시간,주차방향,대장초기화여부
154,주차장경계,2024030037,348050180C,남해군 미조면,2024030108,,노상,무료,,6,0,70.58,상시,상시,직각주차,대장입력완료
153,주차장경계,2024030036,348050180C,남해군 미조면,2024030107,미조공영주차장,노외,무료,,45,4,1444.94,상시,상시,병렬주차,대장입력완료
152,주차장경계,2024030035,348050180D,남해군 미조면,2024030108,,노외,무료,,4,0,43.03,상시,상시,평행주차,대장입력완료
151,주차장경계,2024030034,348011183A,남해군 창선면,2024030113,,노상,무료,,4,0,58.88,상시,상시,평행주차,대장입력완료
150,주차장경계,2024030033,348011183A,남해군 창선면,2024030113,,노상,무료,,2,0,16.55,상시,상시,평행주차,대장입력완료
149,주차장경계,2024030032,348011183B,남해군 창선면,2024030113,,노상,무료,,3,0,39.42,상시,상시,평행주차,대장입력완료
148,주차장경계,2024030031,348011183A,남해군 창선면,2024030113,,노상,무료,,1,0,15.08,상시,상시,평행주차,대장입력완료
147,주차장경계,2024030030,348011183A,남해군 창선면,2024030113,,노상,무료,,2,0,28.48,상시,상시,평행주차,대장입력완료
146,주차장경계,2024030029,348011183A,남해군 창선면,2024030113,,노상,무료,,2,0,29,상시,상시,평행주차,대장입력완료
145,주차장경계,2024030028,348011183A,남해군 창선면,2024030113,,노상,무료,,1,0,13.72,상시,상시,평행주차,대장입력완료
144,주차장경계,2024030027,348011183A,남해군 창선면,2024030113,,노상,무료,,1,0,14.15,상시,상시,평행주차,대장입력완료
143,주차장경계,2024030026,348011183B,남해군 창선면,2024030101,,노외,무료,,41,0,1063.19,상시,상시,직각주차,대장입력완료
142,주차장경계,2024030025,348011183B,남해군 창선면,2024030003,,노상,무료,,2,0,26.58,상시,상시,평행주차,대장입력완료
141,주차장경계,2024030024,348011183B,남해군 창선면,2024030113,,노상,무료,,1,0,12.01,상시,상시,평행주차,대장입력완료
140,주차장경계,2024030023,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,34.42,상시,상시,평행주차,대장입력완료
139,주차장경계,2024030022,348011183D,남해군 창선면,2024030101,,노상,무료,,3,0,42.57,상시,상시,평행주차,대장입력완료
138,주차장경계,2024030021,348011183B,남해군 창선면,2024030113,,노상,무료,,3,0,49.65,상시,상시,평행주차,대장입력완료
137,주차장경계,2024030020,348011183D,남해군 창선면,2024030101,,노상,무료,,1,0,15.02,상시,상시,평행주차,대장입력완료
136,주차장경계,2024030019,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,32.07,상시,상시,평행주차,대장입력완료
135,주차장경계,2024030018,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,29.27,상시,상시,평행주차,대장입력완료
134,주차장경계,2024030017,348011183D,남해군 창선면,2024030101,,노상,무료,,3,0,51.68,상시,상시,평행주차,대장입력완료
133,주차장경계,2024030016,348011183D,남해군 창선면,2024030101,,노상,무료,,3,0,40.36,상시,상시,평행주차,대장입력완료
132,주차장경계,2024030015,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,30.7,상시,상시,평행주차,대장입력완료
131,주차장경계,2024030014,348011183A,남해군 창선면,2024030113,,노상,무료,,1,0,15.85,상시,상시,평행주차,대장입력완료
130,주차장경계,2024030013,348011183B,남해군 창선면,2024030113,,노상,무료,,2,0,29.86,상시,상시,평행주차,대장입력완료
129,주차장경계,2024030012,348011183B,남해군 창선면,2024030113,,노상,무료,,1,0,10.96,상시,상시,평행주차,대장입력완료
128,주차장경계,2024030011,348011183A,남해군 창선면,2024030135,,노외,무료,,28,0,781.83,상시,상시,직각주차,대장입력완료
127,주차장경계,2024030010,348011183D,남해군 창선면,2024030003,,노상,무료,,2,0,26.1,상시,상시,평행주차,대장입력완료
126,주차장경계,2024030009,348011183D,남해군 창선면,2024030101,,노상,무료,,1,0,12.7,상시,상시,평행주차,대장입력완료
125,주차장경계,2024030008,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,30.83,상시,상시,평행주차,대장입력완료
124,주차장경계,2024030007,348011183D,남해군 창선면,2024030101,,노상,무료,,4,0,65.65,상시,상시,평행주차,대장입력완료
123,주차장경계,2024030006,348011183D,남해군 창선면,2024030101,,노상,무료,,3,0,44.03,상시,상시,평행주차,대장입력완료
122,주차장경계,2024030005,348011183D,남해군 창선면,2024030101,,노상,무료,,1,0,13.25,상시,상시,평행주차,대장입력완료
121,주차장경계,2024030004,348011183D,남해군 창선면,2024030101,,노상,무료,,3,0,44.02,상시,상시,평행주차,대장입력완료
120,주차장경계,2024030003,348011183D,남해군 창선면,2024030101,,노상,무료,,2,0,29.99,상시,상시,평행주차,대장입력완료
119,주차장경계,2024030002,348011193B,남해군 창선면,2024030130,,노상,무료,,1,0,14.16,상시,상시,평행주차,대장입력완료
118,주차장경계,2024030001,348011193B,남해군 창선면,2024030130,,노상,무료,,3,0,35.59,상시,상시,평행주차,대장입력완료
117,주차장경계,2022000009,347042091D,남해군 이동면,2022000004,,노상,무료,,7,0,96.91,상시,상시,미분류,대장입력완료
116,주차장경계,2022000008,347042091D,남해군 이동면,2022000062,,노상,무료,,11,0,136.11,상시,상시,미분류,대장입력완료
115,주차장경계,2022000007,347042091D,남해군 이동면,2022000062,,노상,무료,,7,0,87.2,상시,상시,미분류,대장입력완료
114,주차장경계,2022000006,347042091D,남해군 이동면,2022000062,,노상,무료,,11,0,119.01,상시,상시,미분류,대장입력완료
113,주차장경계,2022000005,347042091D,남해군 이동면,2022000056,,노상,무료,,7,0,90.55,상시,상시,미분류,대장입력완료
112,주차장경계,2022000004,347042091D,남해군 이동면,2022000056,,노상,무료,,7,0,86.16,상시,상시,미분류,대장입력완료
111,주차장경계,2022000003,347042091D,남해군 이동면,2022000056,,노상,무료,,5,0,72.2,상시,상시,미분류,대장입력완료
110,주차장경계,2022000002,347042091D,남해군 이동면,2022000004,,노상,무료,,1,0,13.27,상시,상시,미분류,대장입력완료
