연번,주차장 상호명,주소,주차장형식,주차료,운영방식,운영주체,주차면수,데이터기준일자
1,봉명산시립공원주차장,경상남도 사천시 곤명면 용산리 42,노상,무,직영,경상남도 사천시청,42,2023-06-01
2,완사노외주차장,경상남도 사천시 곤명면 정곡리 858-3,노외,무,직영,경상남도 사천시청,25,2023-06-01
3,곤양종합시장주차장,경상남도 사천시 곤양면 남문외리 48-4,노외,무,직영,경상남도 사천시청,22,2023-06-01
4,초양휴게소주차장(초양탐방센터),경상남도 사천시 늑도동 472,노외,무,직영,경상남도 사천시청,45,2023-06-01
5,대방진굴항 주차장,경상남도 사천시 대방동 238,노외,무,직영,경상남도 사천시청,21,2023-06-01
6,사천바다케이블카 주차장,경상남도 사천시 대방동 492,노외,무,위탁,사천시시설관리공단,320,2023-06-01
7,삼천포대교공원주차장,경상남도 사천시 대방동 681-2,노외,무,직영,경상남도 사천시청,279,2023-06-01
8,유람선선착장주차장,경상남도 사천시 대방동 765-3,노외,무,직영,경상남도 사천시청,25,2023-06-01
9,대포마을 주차장,경상남도 사천시 대포동 457-4,노상,무,직영,경상남도 사천시청,68,2023-06-01
10,동금우편취급소주변주차장,경상남도 사천시 동금동 143,노상,무,직영,경상남도 사천시청,40,2023-06-01
11,보건위생과～한국전력지역주차장,경상남도 사천시 동금동 223,노상,무,직영,경상남도 사천시청,301,2023-06-01
12,통창공원주차장,경상남도 사천시 동금동 256-7 외,노상,무,직영,경상남도 사천시청,35,2023-06-01
13,팔포금홍교주차장,경상남도 사천시 동금동 296-7,노상,무,직영,경상남도 사천시청,30,2023-06-01
14,하얀피부과주변주차장,경상남도 사천시 동금동 334-30,노상,유,위탁,경남지체장애인협회 사천시지부,18,2023-06-01
15,동서금동사무소앞주차장,경상남도 사천시 동금동 337-5,노상,무,직영,경상남도 사천시청,81,2023-06-01
16,축협삼천포지점주변주차장,경상남도 사천시 동금동 408-9,노상,유,위탁,사천시장애인연합회,30,2023-06-01
17,목전빌딩주변주차장,경상남도 사천시 동금동 415-11,노상,무,직영,경상남도 사천시청,30,2023-06-01
18,삼천포천주변주차장,경상남도 사천시 동금동 543-9,노상,무,직영,경상남도 사천시청,25,2023-06-01
19,삼천포종합시장 주차장,경상남도 사천시 동금동 90-7,노상,무,직영,경상남도 사천시청,16,2023-06-01
20,동동복개천 주차장,경상남도 사천시 동동 483,노상,유,위탁,경남지체장애인협회 사천시지부,21,2023-06-01
21,용궁수산시장 주차장(2층 포함),경상남도 사천시 동동 484-12,"노상,부설",유,위탁,삼천포용궁수산시장상인회,82,2023-06-01
22,문화예술회관주차장,경상남도 사천시 동림동 190,부설,무,직영,사천문화재단,27,2023-06-01
23,삼천포체육관 주차장,경상남도 사천시 벌리동 2,부설,무,직영,경상남도 사천시청,24,2023-06-01
24,제1주차장(삼천포종합운동장),경상남도 사천시 벌리동 2,노외,무,직영,경상남도 사천시청,26,2023-06-01
25,벌리공영주차장,경상남도 사천시 벌리동 243-7,노외,무,직영,경상남도 사천시청,38,2023-06-01
26,벌용동행정복지센터주차장,경상남도 사천시 벌리동 27-1,부설,무,직영,경상남도 사천시청,250,2023-06-01
27,삼천포종합운동장주차장,경상남도 사천시 벌리동 274-3,부설,무,직영,경상남도 사천시청,178,2023-06-01
28,제2주차장(삼천포실내수영장),경상남도 사천시 벌리동 331,노외,무,직영,경상남도 사천시청,79,2023-06-01
29,한국파크빌주변주차장,경상남도 사천시 벌리동 379,노상,무,직영,경상남도 사천시청,27,2023-06-01
30,삼포@주변주차장,경상남도 사천시 벌리동 413-2 앞 도로,노상,무,직영,경상남도 사천시청,211,2023-06-01
31,사천문화원주차장,경상남도 사천시 벌리동 427-1,부설,무,직영,경상남도 사천시청,75,2023-06-01
32,사천시청소년문화센터주차장,경상남도 사천시 벌리동 427-1,부설,무,직영,경상남도 사천시청,488,2023-06-01
33,사천문화원,경상남도 사천시 벌리동 427-15,부설,무,직영,경상남도 사천시청,39,2023-06-01
34,2호광장～교육청지역주차장,경상남도 사천시 벌리동 427-15 앞 도로,노상,무,직영,경상남도 사천시청,133,2023-06-01
35,초전공원주차장,경상남도 사천시 사남면 방지리 652,노상,무,직영,경상남도 사천시청,45,2023-06-01
36,월성마을 주차장,경상남도 사천시 사남면 월성리 82-11,노외,무,직영,경상남도 사천시청,20,2023-06-01
37,사천시 근로자종합복지관,경상남도 사천시 사남면 유천리 12,부설,무,직영,경상남도 사천시청,37,2023-06-01
38,공단 1주차장,경상남도 사천시 사남면 유천리 903,노외,무,직영,경상남도 사천시청,60,2023-06-01
39,공단 2주차장,경상남도 사천시 사남면 유천리 903,노외,무,직영,경상남도 사천시청,29,2023-06-01
40,사천첨단항공우주과학관,경상남도 사천시 사남면 유천리 908,부설,무,직영,경상남도 사천시청,30,2023-06-01
41,수양공원주차장,경상남도 사천시 사천읍 선인리 614-1 외,노외,무,직영,경상남도 사천시청,64,2023-06-01
42,사천읍행정복지센터주차장,경상남도 사천시 사천읍 수석리 126,부설,무,직영,경상남도 사천시청,25,2023-06-01
43,평생학습센터주차장,경상남도 사천시 사천읍 수석리 126,노상,무,직영,경상남도 사천시청,7,2023-06-01
44,제일의원옆주차장,경상남도 사천시 사천읍 수석리 254-21,노상,유,위탁,사천시장애인연합회,110,2023-06-01
45,사천체육관 주차장,경상남도 사천시 사천읍 수석리 3,부설,무,직영,경상남도 사천시청,21,2023-06-01
46,수양공원주차장(달마사),경상남도 사천시 사천읍 정의리 212-2,노상,무,직영,경상남도 사천시청,98,2023-06-01
47,사천읍시장 주차장,경상남도 사천시 사천읍 정의리 396-16,노상,유,위탁,사천시장애인연합회,34,2023-06-01
48,사천읍전통시장 주차장,경상남도 사천시 사천읍 정의리 396-28,노외,무,직영,경상남도 사천시청,7,2023-06-01
49,사천종합운동장 주차장,경상남도 사천시 사천읍 정의리 7,부설,무,직영,경상남도 사천시청,118,2023-06-01
50,평화지구주차장,경상남도 사천시 사천읍 평화리 163-45,노상,유,위탁,경남지체장애인협회 사천시지부,25,2023-06-01
51,평화복개천주차장,경상남도 사천시 사천읍 평화리 194,노상,유,위탁,경남지체장애인협회 사천시지부,21,2023-06-01
52,노산공원주차장,경상남도 사천시 서금동 112-6,노외,무,직영,경상남도 사천시청,15,2023-06-01
53,성창수산주변주차장,경상남도 사천시 서금동 127,노상,무,직영,경상남도 사천시청,18,2023-06-01
54,팔포무료주차장,경상남도 사천시 서금동 146,노외,무,직영,경상남도 사천시청,106,2023-06-01
55,노산공원노상주차장,경상남도 사천시 서금동 147,노상,무,직영,경상남도 사천시청,54,2023-06-01
56,팔포매립지주차장,경상남도 사천시 서금동 150,노상,무,직영,경상남도 사천시청,278,2023-06-01
57,동서동행정복지센터 주차장,경상남도 사천시 서동 304-4,노외,무,직영,경상남도 사천시청,9,2023-06-01
58,제일제빙 앞 대형주차장,경상남도 사천시 서동 322-68,노외,무,직영,경상남도 사천시청,165,2023-06-01
59,청널공원주차장,경상남도 사천시 서동 353,노상,무,직영,경상남도 사천시청,51,2023-06-01
60,행정복지센터 주차장,경상남도 사천시 서포면 구평리 614-1,부설,무,직영,경상남도 사천시청,23,2023-06-01
61,서포시장 내 주차장,경상남도 사천시 서포면 구평리 616-5,노외,무,직영,경상남도 사천시청,17,2023-06-01
62,버스승강장 옆 주차장,경상남도 사천시 서포면 구평리 654-9,노외,무,직영,경상남도 사천시청,102,2023-06-01
63,주민복지센터 주차장,경상남도 사천시 서포면 구평리 656-2,부설,무,직영,경상남도 사천시청,11,2023-06-01
64,별주부전 테마파크 주차장,경상남도 사천시 서포면 비토리 7,노외,무,위탁,사천시시설관리공단,65,2023-06-01
65,삼천포중앙시장 주차장,노인,노외,무,직영,경상남도 사천시청,73,2023-06-01
66,망산공원주차장,경상남도 사천시 선구동 232-2,노상,무,직영,경상남도 사천시청,12,2023-06-01
67,농협공판장앞 노상유료주차장,경상남도 사천시 선구동 333-3,노상,유,위탁,경남지체장애인협회 사천시지부,30,2023-06-01
68,농협(중)삼천포지점앞주차장,경상남도 사천시 선구동 336,노상,유,위탁,경남지체장애인협회 사천시지부,14,2023-06-01
69,용궁수산시장부설주차장(해경 옆),경상남도 사천시 선구동 58-119,노외,유,위탁,삼천포용궁수산시장상인회,187,2023-06-01
70,송포체육공원 주차장,경상남도 사천시 송포동 1068-1,노외,무,직영,경상남도 사천시청,27,2023-06-01
71,광포주차장,경상남도 사천시 송포동 1386-1,노외,무,직영,경상남도 사천시청,25,2023-06-01
72,누리원주차장,경상남도 사천시 송포동 1388-10,부설,무,위탁,재단법인사천시복지청소년재단,80,2023-06-01
73,모충공원주차장,경상남도 사천시 송포동 산161-7,노상,무,직영,경상남도 사천시청,80,2023-06-01
74,실안관광지주차장(실안소공원),경상남도 사천시 실안동 1234-1,노외,무,직영,경상남도 사천시청,74,2023-06-01
75,용두공원주차장,경상남도 사천시 용강동 339-1,노상,무,직영,경상남도 사천시청,78,2023-06-01
76,공설운동장～용강주공@ 지역주차장,경상남도 사천시 용강동 807-4일원,노상,무,직영,경상남도 사천시청,23,2023-06-01
77,여성회관주차장,경상남도 사천시 용현면 금문리 53,부설,무,직영,경상남도 사천시청,87,2023-06-01
78,사천시청 청사 내 주차장,경상남도 사천시 용현면 덕곡리 501,부설,무,직영,경상남도 사천시청,727,2023-06-01
79,조명군총주차장,경상남도 사천시 용현면 통양리 249,노외,무,직영,경상남도 사천시청,15,2023-06-01
80,한보훼미리타운(2차)옆 노상주차장,경상남도 사천시 정동면 고읍리 600-8,노상,무,직영,경상남도 사천시청,34,2023-06-01
81,항공우주테마공원주차장,경상남도 사천시 정동면 예수리 410,노외,무,직영,경상남도 사천시청,11,2023-06-01
82,반룡공원주차장,경상남도 사천시 정동면 예수리 550-8,노상,무,직영,경상남도 사천시청,18,2023-06-01
83,남양동행정복지센터 주차장,경상남도 사천시 죽림동 355,부설,무,직영,경상남도 사천시청,37,2023-06-01
84,임내노외주차장,경상남도 사천시 죽림동 630-9,노외,무,직영,경상남도 사천시청,60,2023-06-01
85,호국공원주차장,경상남도 사천시 진삼로 384-10,노외,무,직영,경상남도 사천시청,96,2023-06-01
86,길평주차장(축동공영주차장),경상남도 사천시 축동면 배춘리 772-24,노외,무,직영,경상남도 사천시청,45,2023-06-01
87,사천만남의광장,경상남도 사천시 축동면 사다리 30,노외,무,직영,경상남도 사천시청,125,2023-06-01
88,신항만길주차장,경상남도 사천시 향촌동 1158-65,노상,무,직영,경상남도 사천시청,10,2023-06-01
89,남일대해수욕장 무료주차장,경상남도 사천시 향촌동 710-1,노외,무,직영,경상남도 사천시청,232,2023-06-01
90,삼천포커뮤니티에코주차장,경상남도 사천시 서부시장길 88,노외,유,위탁,삼천포전통수산시장상인회,118,2023-06-01
91,남양만남의광장 주차장,경상남도 사천시 사천대로 690,노외,무,직영,경상남도 사천시청,144,2023-06-01
92,초양도휴게소 주차장,경상남도 사천시 삼천포대교로 112,노외,무,직영,경상남도 사천시청,71,2023-06-01
