구 분,행정동,위치,주차면수
의창구,대산면,"대산면 가술리 280,2801-1",48
의창구,대산면,제동리 824-3,50
의창구,대산면,제동리 821-1,32
의창구,대산면,제동리 824-1,60
의창구,대산면,대산면 제동리 823-9,20
의창구,동읍,동읍 무성리 290-9,20
의창구,동읍,동읍 무성리 290-9,20
의창구,명곡동,명서동 187-13,8
의창구,명곡동,도계동 898-6,9
의창구,명곡동,도계동 461-1,10
의창구,명곡동,명서동 114-2,50
의창구,명곡동,도계동 313-1,8
의창구,명곡동,도계동 313-3,8
의창구,명서동,명서동 168-6,9
의창구,명서동,명서동 109-17,10
의창구,봉곡동,봉곡동 125-3,9
의창구,봉림동,봉곡동 14-7,10
의창구,봉림동,봉림동 705-10,10
의창구,봉림동,봉림동 705-9,6
의창구,봉림동,봉곡동 148-1,10
의창구,봉림동,사림동 110-16,8
의창구,봉림동,사림동 166-3 ,75
의창구,북면,북면 무동리 146-2,20
의창구,사림동,사림동 38-6,10
의창구,의창동,서상동 664-16,11
의창구,의창동,서상동 664-17,10
의창구,의창동,"서상동 711-6, 7",15
의창구,의창동,중동 769-9,12
의창구,의창동,소답동 104-28,5
의창구,의창동,"서상동 711-6, 7",15
의창구,의창동,중동 769-9,12
의창구,의창동,소답동 104-28,5
의창구,의창동,중동 769-8,10
의창구,중동,중동 402-6 ,70
의창구,팔룡동,팔룡동 144-3,9
의창구,팔룡동,팔룡동 33-1,16
성산구,반송동,반지동 56-23,6
성산구,반송동,반지동 54-16,6
성산구,반송동,반지동 54-16,6
성산구,사파동,사파동 113-7,8
성산구,사파동,사파동 61-1,7
성산구,사파동,사파동 59-13,6
성산구,사파동,사파동 32-18,7
성산구,사파동,사파동 100-4,10
성산구,상남동,상남동 105-7,6
성산구,성주동,성주동 138-11,8
성산구,안민동,안민동 201-2,10
성산구,용지동,신월동 30-13,10
성산구,용지동,신월동 56-1,7
성산구,중앙동,중앙동 2-6,7
성산구,중앙동,대원동 102-4,7
성산구,중앙동,대원동 102-4,7
마산합포구,현동,예곡동 315-7,7
마산합포구,현동,현동 219,30
마산회원구,구암동,구암동 1107,15
마산회원구,구암동,구암동 1260,9
마산회원구,구암동,구암동 1299,4
마산회원구,구암동,구암동 1260,9
마산회원구,내서읍,내서읍 신감리 1409-4,7
마산회원구,내서읍,내서읍 중리 676,6
마산회원구,내서읍,"내서읍 호계리 609, 610",7
마산회원구,내서읍,내서읍 신감리 산111-5,6
마산회원구,내서읍,"평성리 287-1, 289",15
마산회원구,내서읍,내서읍 평성리 661-1,14
마산회원구,봉암동,봉암동 산44-2,17
마산회원구,회원동,회원동 672-26,5
마산합포구,가포동,가포동 640,80
마산합포구,가포동,가포동 729,25
마산합포구,가포동,가포동 645,13
마산합포구,가포동,가포동 645,13
마산합포구,교방동,교원동 53-13 일원,50
마산합포구,구산면,구산면 내포리 1107-1,6
마산합포구,구산면,구산면 수정리 산29,4
마산합포구,대성동2가,"대성동2가 4-10, 4-29, 4-30, 5-1",13
마산합포구,반월중앙동,"장군동 1가 25-1, 25-8",7
마산합포구,상남동,상남동 190-182,8
마산합포구,완월동,완월동 29-26,6
마산합포구,완월동,완월동 29-26,6
마산합포구,진동면,진동면 진동리 129-5,30
마산합포구,진동면,진동면 진동리 628-10,10
마산합포구,진동면,진동면 교동리 706-9,13
마산합포구,진북면,진북면 지산리 236-15,7
마산합포구,진전면,진전면 곡안리 476-5외3,87
마산합포구,진전면,진전면 금암리 637-6,15
마산합포구,진전면,진전면 금암리 298,21
마산합포구,진전면,진전면 오서리 1763-1,19
마산합포구,진전면,진전면 금암리 298,21
마산합포구,진전면,진전면 오서리 1763-1,19
마산합포구,해운동,해운동 5-56,24
마산합포구,해운동,해운동 5-56,24
진해구,병암동,경화동 962-25,2
진해구,안골동,안골동 355-8,4
진해구,안골동,안골동 358-5,4
진해구,안골동,안골동 367-3,4
진해구,안골동,안골동 368-12,5
진해구,안골동,안골동 378-3,5
진해구,안골동,안골동 355-8,4
진해구,여좌동,여좌동 94-35,9
진해구,여좌동,여좌동 761-112,4
