연번,구분,관리기관(연락처),구,읍면동,주차장명,지번, 일반 , 장애인 , 친환경_경차,비고
1,노외,의창구 경제교통과(홍서영 055-212-4434),의창구,팔용동,창원공고 뒤, 의창구 팔용동 33-6,55,1,2,
2,노외,의창구 경제교통과(홍서영 055-212-4434),의창구,팔용동,"서상1지구(삼광빌딩옆, 창원역길건너)"," 의창구 팔용동 160-1, 160-2",12,1,0,
3,노외,의창구 경제교통과(홍서영 055-212-4434),의창구,팔용동,서상2지구," 의창구 팔용동 151-2, 151-3",10,1,0,
4,노외,의창구 경제교통과(홍서영 055-212-4434),의창구,도계동,도계시장 공영주차장,"의창구 도계동 350-4(228.9), 350-5(167.9), 350-6(166.4), 350-7(153.7)",24,1,2,
5,노외,성산구 경제교통과(허장현 055-272-4437),성산구,상남동,시청 옆 공영주차장(고운치과 옆),성산구 용호동 73-41,9,0,0,
6,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,산호동,어린교,마산합포구 산호동 2,128,2,5,
7,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,부림동,부림동,마산합포구 부림동 106-95,28,2,0,
8,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,자산동,자산동,마산합포구 자산동 20,34,0,0,
9,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,합포동,합포동,마산합포구 산호동 338-22,55,2,2,
10,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,중성동,중성동1,마산합포구 중성동 11-25,29,2,0,
11,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,중성동,중성동2,마산합포구 중성동 62-15,14,1,0,
12,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,오동동,오동동1,마산합포구 오동동 88-3,84,4,1,
13,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,오동동,오동동2,마산합포구 오동동 60-27,49,3,2,
14,노외,마산합포구 경제교통과(정석준 055-220-4434),마산합포구,상남동,회산교,마산합포구 상남동 317-1(회원천),19,0,0,
15,노외,도시재생과(정우현 055-225-2596),마산합포구,부림동,부림문화광장,마산합포구 부림동 71-1,67,3,0,
16,노외,도시재생과(정우현 055-225-2596),마산합포구,동성동,오동동문화광장,마산합포구 동성동 177-1,71,3,0,
17,노외,도시재생과(정우현 055-225-2596),마산합포구,상남동,노산동,마산합포구 상남동 64-2(창원복지재단),48,2,0,
18,노외,마산회원구 경제교통과(최현우 055-230-4445),마산회원구,회성동,회성 유료공영주차장,"회성동 223, 421, 433-2, 441, 381, 222-2, 215-5(한효국화맨션 앞)",67,,,
19,노외,창원시설공단 교통사업팀(정미란 055-712-0135),마산회원구,내서읍,삼계공영유료주차장,내서읍 삼계리 26-1,97,2,,
20,노외,마산회원구 경제교통과(최현우 055-230-4445),마산회원구,내서읍,내서 화물공영주차장,"내서읍 호계리 790-256, 790-259, 325-1",44,,,
21,노외,마산회원구 경제교통과(최현우 055-230-4445),마산회원구,회원1동,회원동 공영유료주차장,회원동 30-60,30,,,
22,노외,마산회원구 경제교통과(최현우 055-230-4445),마산회원구,석전동,석전동 공영유료주차장,석전동 248-20 일원,22,,,
23,노외,진해구 경제교통과(안성찬 055-548-4436),진해구,여좌동,중앙로,진해구 여좌동 761-44,24,1,0,
24,노외,진해구 경제교통과(안성찬 055-548-4436),진해구,웅천동,명동,진해구 명동 574,168,4,2,
25,노외,진해구 경제교통과(안성찬 055-548-4436),진해구,충무동,충무동,진해구 인사동 2-1,39,2,0,
26,노외,창원시설공단 교통사업팀(정미란 055-712-0134),의창구,팔용동,팔용주차장 노외," 의창구 팔용동 165-5, 8",74,2,,
27,노외,창원시설공단 교통사업팀(서환주 055-712-0132),의창구,명서동,명서상업지구 노외," 의창구 명서동 200-3, 4",25,1,4,
28,노외,창원시설공단 교통사업팀(정미란 055-712-0134),의창구,봉곡동,봉곡주차장, 의창구 봉곡동 138-1 ~ 4,85,4,8,
29,노외,창원시설공단 교통사업팀(서환주 055-712-0132),의창구,용호동,용호기계식 , 의창구 용호동 73-13,71,2,,
30,노외,창원시설공단 교통사업팀(서환주 055-712-0132),의창구,팔용동,팔용파출소옆 노외, 의창구 팔용동 33-2.3,32,2,,
31,노외,창원시설공단 교통사업팀(서환주 055-712-0132),의창구,팔용동,팔룡화물, 의창구 팔용동 39-16,445,,,
32,노외,창원시설공단 교통사업팀(서환주 055-712-0132),의창구,팔용동,창원종합버스터미널,의창구 팔용동 35-8 ,432,21,54,
33,노외,창원시설공단 교통사업팀(서환주 055-712-0133),성산구,상남동,삼원회관 노외, 성산구 상남동 12-2,27,1,,
