구,읍면동,공영주차장(개소수)
의창구,대산면, 18 
의창구,도계동, 3 
의창구,동읍,12
의창구,명서동,1
의창구,명곡동,25
의창구,봉림동,18
의창구,봉곡동,2
의창구,북면,8
의창구,의창동,24
의창구,팔용동,25
성산구,가음정동, 6 
성산구,내동, 2 
성산구,대방동,1
성산구,반림동,1
성산구,반송동,1
성산구,반지동,2
성산구,사파동,2
성산구,상남동,10
성산구,성주동,2
성산구,신월동,1
성산구,용호동,8
성산구,웅남동,18
성산구,중앙동,11
마산합포구,구산면,1
마산합포구,동성동,4
마산합포구,문화동,18
마산합포구,반월중앙동,12
마산합포구,부림동,2
마산합포구,산호동,10
마산합포구,상남동,2
마산합포구,신포동,1
마산합포구,오동동,20
마산합포구,완월동,6
마산합포구,월영동,5
마산합포구,자산동,15
마산합포구,중성동,2
마산합포구,중앙동,1
마산합포구,진동면,4
마산합포구,진북면,1
마산합포구,합포동,6
마산합포구,해운동,2
마산합포구,현동,1
마산회원구,구암1동,21
마산회원구,구암2동,14
마산회원구,내서읍,7
마산회원구,봉암동,9
마산회원구,석전동,22
마산회원구,양덕1동,29
마산회원구,양덕2동,10
마산회원구,합성1동,12
마산회원구,합성2동,19
마산회원구,회성동,19
마산회원구,회원1동,25
마산회원구,회원2동,31
진해구,경화동,18
진해구,광화동,1
진해구,남문동,2
진해구,대흥동,1
진해구,덕산동,2
진해구,명동,4
진해구,병암동,12
진해구,서중동,1
진해구,석동,3
진해구,성내동,2
진해구,소사동,1
진해구,수도동,1
진해구,숭인동,1
진해구,여좌동,21
진해구,웅1동,5
진해구,웅2동,7
진해구,웅천동,3
진해구,원포동,2
진해구,이동,7
진해구,자은동,8
진해구,장천동,1
진해구,중앙동,5
진해구,중평동,1
진해구,청안동,1
진해구,충무동,13
진해구,태백동,26
진해구,태평동,7
진해구,풍호동,4
진해구,화천동,1
