지형지물부호,관리번호,행정읍면동,법정읍면동,도엽번호,관리기관,도로구간번호,설치일자,주차장위치구분,주차요금구분,요금,주차면수,장애자주차면수,전체면적,운영시간(개장시간),운영시간(폐장시간),주차방향,데이터기준일자
AE230,5037,4717014300,4717012100,368072074D,MNG001,5578,2017-01-01,PST001,CHR001,무료,16,0,109,0:00,0:00,PKN001,2023-08-31
AE230,25,4717014300,4717012000,368072065C,MNG001,65018,2017-01-01,PST001,CHR002,30분당500원,1,0,12.1,8:00,20:00,PKN003,2023-08-31
AE230,252,4717014500,4717014000,368072505B,MNG001,1995,2017-01-01,PST001,CHR001,,4,0,56.94,,,PKN001,2023-08-31
AE230,118,4717014300,4717011900,368072065D,MNG001,69,2017-01-01,PST001,CHR002,,1,0,0,,,PKN001,2023-08-31
AE230,5034,4717014300,4717012100,368072074C,MNG001,5473,2017-01-01,PST001,CHR001,무료,12,0,153.9,0:00,0:00,PKN001,2023-08-31
AE230,230,4717014300,4717011900,368072085B,MNG001,1514,2017-01-01,PST001,CHR001,,17,0,173.9,,,PKN001,2023-08-31
AE230,37,4717014400,4717011600,368072076B,MNG001,76133,2017-01-01,PST001,CHR002,30분당500원,9,0,98.24,8:00,20:00,PKN003,2023-08-31
AE230,110,4717014300,4717011700,368072075B,MNG001,80,2017-01-01,PST001,CHR002,,7,0,0,,,PKN001,2023-08-31
AE230,143,4717014400,4717011600,368072076A,MNG001,60,2017-01-01,PST001,CHR002,,19,0,0,,,PKN002,2023-08-31
AE230,27,4717014300,4717012000,368072065C,MNG001,65019,2017-01-01,PST001,CHR002,30분당500원,1,0,11.69,8:00,20:00,PKN003,2023-08-31
AE230,8,4717012700,4717012700,368072064B,MNG001,64113,2017-01-01,PST001,CHR001,,2,0,23.4,,,PKN003,2023-08-31
AE230,11,4717012700,4717012700,368072064B,MNG001,64098,2017-01-01,PST001,CHR001,,3,0,61.15,,,PKN003,2023-08-31
AE230,5004,4717013300,4717013300,368072071B,MNG001,6162,2017-01-01,PST001,CHR001,무료,3,0,48.35,0:00,0:00,PKN002,2023-08-31
AE230,99,4717011000,4717011000,368072079D,MNG001,79104,2017-01-01,PST001,CHR001,,8,0,148.49,,,PKN002,2023-08-31
AE230,77,4717014400,4717011300,368072077B,MNG001,77042,2017-01-01,PST001,CHR002,30분당500원,3,0,32.86,8:00,20:00,PKN003,2023-08-31
AE230,201,4717011000,4717011000,368072090D,MNG001,572,2017-01-01,PST001,CHR001,,1,0,6.03,,,PKN001,2023-08-31
