주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,위도,경도,장애인전용주차구역보유여부,데이터기준일자
177-2-000001,서동 공영주차장,노외,,광주광역시 남구 서동 66-13,8,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.144354 ,126.904291 ,Y,2026-02-12
177-2-000002,월산4동 공영주차장,노외,,광주광역시 남구 월산동 948-15,14,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.146377 ,126.891086 ,Y,2026-02-12
177-2-000003,방림2동 공영주차장,노외,,광주광역시 남구 방림동 2-53,17,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.130604 ,126.925081 ,Y,2026-02-12
177-2-000004,통샘 공영주차장,노외,,광주광역시 남구 서동 160-2,26,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.145423 ,126.908097 ,Y,2026-02-12
177-2-000005,양림동 공영주차장,노외,광주광역시 남구 서서평길 20,광주광역시 남구 양림동 151-2,18,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.141173 ,126.914984 ,Y,2026-02-12
177-2-000006,주월동 공영주차장,노외,,광주광역시 남구 주월동 974-145,59,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.135132 ,126.894264 ,Y,2026-02-12
177-2-000007,유안근린공원 공영주차장,노외,광주광역시 남구 봉선로 195,광주광역시 남구 봉선동 134,101,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.123167 ,126.916605 ,Y,2026-02-12
177-2-000008,효덕IC 공영주차장,노외,광주광역시 남구 서문대로 551,광주광역시 남구 송하동 29-2,109,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.110873 ,126.892836 ,Y,2026-02-12
177-2-000009,압촌동 공영주차장,노외,,광주광역시 남구 압촌동 90-1,19,4,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.093645 ,126.837482 ,N,2026-02-12
177-2-000010,(구)양림동 행정복지센터 공영주차장,노외,,광주광역시 남구 양림동 93-33,7,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.137032 ,126.915648 ,N,2026-02-12
177-2-000011,광주공원 앞 공영주차장,노외,,광주광역시 남구 구동 2-2,48,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.147951 ,126.910171 ,Y,2026-02-12
177-2-000012,광주 향교 공영주차장,노외,,광주광역시 남구 서동 154,20,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.145410 ,126.908681 ,Y,2026-02-12
177-2-000013,백운2동 공영주차장,노외,,광주광역시 남구 백운동 621-19,8,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.136165 ,126.902482 ,Y,2026-02-12
177-2-000015,수박등로 공영주차장,노외,광주광역시 남구 대남대로 308번길 32,광주광역시 남구 월산동614-4,20,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.141664 ,126.897066 ,Y,2026-02-12
177-2-000016,백운1동 공영주차장,노외,,광주광역시 남구 백운동 604-33,28,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.137336 ,126.906895 ,Y,2026-02-12
177-2-000017,월산동 공영주차장,노외,,광주광역시 남구 월산동 187-11,6,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.144454 ,126.900082 ,Y,2026-02-12
177-2-000018,(구)보훈병원 주차장,노외,,광주광역시 남구 주월동 1206-1,113,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.130200 ,126.901825 ,Y,2026-02-12
177-2-000019,부엉이 주차장,노외,,광주광역시 남구 주월동 486-9,11,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.132110 ,126.895356 ,N,2026-02-12
177-2-000020,봉선1동 공영주차장,노외,광주광역시 남구 봉선중앙로123번길 21,,36,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.131734 ,126.908252 ,Y,2026-02-12
177-2-000021,월산동 공영주차장,노외,,광주광역시 남구 월산동 187-11,6,3,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.144482 ,126.900048 ,Y,2026-02-12
177-2-000022,진월동 공영주차장,노외,,광주광역시 남구 진월동 330-1,61,1,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.124837 ,126.895528 ,Y,2026-02-12
177-2-000023,백운동 공영주차장,노외,,광주광역시 남구 백운동 33-27,12,2,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,35.140266 ,126.905413 ,Y,2026-02-12
