주차장일련번호,주차장명,주차장전화번호,주차장주소,주차장위도,주차장경도,주차장공간,주차장일반공간,주차장장애인공간,주차장전기차공간,주차장구분,주차장유형,주차장요금제유형,주차장급지,주차장기본시간,주차장기본요금,주차장추가시간,주차장추가요금,주차장최대시간,주차장1일최대요금,주차장유료운영시간,주차장무료운영시간,비고,실시간관제여부,파일명,파일원본명,등록수,등록일시,등록아이피,등록아이디,수정일시,수정아이피,수정아이디,삭제일시,삭제아이피,삭제아이디,폐쇄회로그룹
1,용봉천 복개지 공영주차장,,광주광역시 북구 중흥동 2 외 3필지,35.1750174,126.9149645,69,65,4,0,일반공영,공공,유료,2,30,400,15,200,0,6400,매일 08:00~22:00,매일 22:00~익일 08:00,2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-15,119.200.4.2,j*******,,,,용봉천 복개지 공영주차장
2,동운고가 밑 공영주차장,,광주광역시 북구 운암동 451-9,35.1727515,126.884279,62,59,3,0,일반공영,공공,유료,1,30,700,15,350,0,8000,매일 08:00~22:00,매일 22:00~익일 08:00,2시간 초과 시 2배 징수,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-03-30,119.200.4.6,j*******,,,,동운고가 밑 공영주차장
3,국제도덕협회 앞 공영주차장,,광주광역시 북구 누문동 300 외 1,35.1561886,126.9050763,18,17,1,0,일반공영,공공,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,국제도덕협회 앞 공영주차장
4,광주역 경양천 공영주차장,,광주광역시 북구 신안동 159,35.1658834,126.9054888,82,78,4,0,일반공영,공공,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,광주역 경양천 공영주차장
5,광주역관사 앞 공영주차장,,광주광역시 북구 중흥동 740-4 외 1,35.1638997,126.912713,45,43,2,0,일반공영,공공,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,광주역관사 앞 공영주차장
6,문흥2동주민센터 옆 공영주차장,,광주광역시 북구 문흥동 1010-4,35.1843099,126.9216334,63,58,4,1,일반공영,근린,유료,2,30,400,15,200,0,6400,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-06-20,211.253.121.34,b***********,,,,문흥2동주민센터 옆 공영주차장
7,일곡지구킴스마트 옆 공영주차장,,광주광역시 북구 일곡동 842-1,35.2035912,126.8975568,79,76,3,0,일반공영,근린,유료,1,30,700,15,350,0,8000,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-10-23,119.200.4.6,j*******,,,,일곡지구킴스마트 옆 공영주차장
8,북부소방서 옆 공영주차장,,광주광역시 북구 오치동 1037-2 외 2,35.1867049,126.9127196,62,60,2,0,일반공영,근린,유료,3,30,300,15,150,0,3900,매일 00:00~00:00,,2시간 초과 시 2배 징수,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,북부소방서 옆 공영주차장
9,우산중학교 앞 공영주차장,,광주광역시 북구 오치동 1021-6,35.187616,126.9136245,53,51,2,0,일반공영,근린,유료,3,30,300,15,150,0,3900,평일 08:00~19:00,평일 19:00~익일 08:00 / 주말,입차 후 한시간 무료 / 2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2022-08-02,211.253.121.34,b***********,,,,우산중학교 앞 공영주차장
10,문정초교 앞 공영주차장,,광주광역시 북구 문흥동 957-1,35.1882294,126.9211817,40,39,1,0,일반공영,근린,유료,2,30,400,15,200,0,6400,매일 00:00~00:00,,2시간 초과 시 2배 징수,Y,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,2023-10-23,119.200.4.6,j*******,,,,문정초교 앞 공영주차장
