주차장명,주차장구분,주차장유형,소재지도로명주소,주차구획수(대),관리기관명,관리기관 전화번호
궁동 공영주차장,공영,노외,제봉로 153-4,33,동구 보행교통정책과,062-608-2914
충장로 4가 공영주차장,공영,노외,충장로 4가 32,16,동구 보행교통정책과,062-608-2914
호남동 공영주차장,공영,노외,천변우로365,193,동구 보행교통정책과,062-608-2914
전남여고 후문 앞 공영주차장,공영,노상,장동 139-8 부근,42,동구 보행교통정책과,062-608-2914
금남로1가 입구 임시 공영주차장,공영,노상,금남로 250-3,18,동구 보행교통정책과,062-608-2914
acc주차장 옆 공영주차장,공영,노상,장동 87-12,14,동구 보행교통정책과,062-608-2914
노벨요양병원 앞 공영주차장,공영,노상,대인동 327-1 일대,15,동구 보행교통정책과,062-608-2914
광주우체국 옆 소규모 공영주차장,공영,노상,대인동 16-13 일대,8,동구 보행교통정책과,062-608-2914
푸른마을공동체 앞 공영주차장,공영,노외,동명동 181-5외1,24,동구 보행교통정책과,062-608-2914
동명동 푸른길 공영주차장,공영,노외,동명동 35-6,14,동구 보행교통정책과,062-608-2914
동명동 가족회관 앞 소규모 공영주차장,공영,노외,동명동 159-7,5,동구 보행교통정책과,062-608-2914
동명문화마을 공영주차장,공영,노외,동명동 38-7,18,동구 보행교통정책과,062-608-2914
서석교회 옆 소규모 공영주차장,공영,노외,동명동 142-34,5,동구 보행교통정책과,062-608-2914
동명동 푸른길 주변 노상 공영주차장,공영,노상,동명동 25 부근,25,동구 보행교통정책과,062-608-2914
푸른마트 옆 공영주차장,공영,노상,동명동 200 일대,23,동구 보행교통정책과,062-608-2914
동명동 I-PLEX 옆 임시 공영주차장,공영,노외,동명동 143-32,22,동구 보행교통정책과,062-608-2914
나무전거리 부근 소규모 임시 공영주차장,공영,노외,동명동 254-35,3,동구 보행교통정책과,062-608-2914
계림동 제1 거주자 우선주차장,공영,노외,계림동280 외 6필지,36,동구 보행교통정책과,062-608-2914
계림동 제2 거주자 우선주차장,공영,노외,계림동 283 외 5필지,14,동구 보행교통정책과,062-608-2914
계림동 제3 거주자 우선주차장,공영,노외,계림동 268 외 6필지,22,동구 보행교통정책과,062-608-2914
힐링가든 계림동 제1주차장,공영,노상,계림동 672,3,동구 보행교통정책과,062-608-2914
행단경로당 주변 공영주차장,공영,노상,계림동 732,15,동구 보행교통정책과,062-608-2914
계림동 어린이 전용 수영장 옆 노상 공영주차장,공영,노상,계림동 562-9 부근,4,동구 보행교통정책과,062-608-2914
계림동 홈플러스 뒤 공영주차장,공영,노상,계림동 541,12,동구 보행교통정책과,062-608-2914
계림동 교보생명빌딩 뒤 공영주차장,공영,노상,계림동 808,18,동구 보행교통정책과,062-608-2914
경양마실길 공영주차장,공영,노상,계림동 289-2 외 1필지,38,동구 보행교통정책과,062-608-2914
계림동 매직카 인근 소규모 임시 공영주차장,공영,노외,계림동 575-4,2,동구 보행교통정책과,062-608-2914
계림동 570-2 소규모 임시 공영주차장,공영,노외,계림동 570-2,3,동구 보행교통정책과,062-608-2914
계림동 아이디빌 옆 소규모 임시 공영주차장,공영,노외,계림동 586-5,2,동구 보행교통정책과,062-608-2914
영천교회(종교시설),공영,노외,참판로 25-1,20,동구 보행교통정책과,062-608-2914
중앙성결교회(종교시설),공영,노외,독립로 310,25,동구 보행교통정책과,062-608-2914
금호타운1차 주변 공영주차장,공영,노외,계림동 116-26,12,동구 보행교통정책과,062-608-2914
두산위브 1차 옆 푸른길 공영주차장,공영,노상,계림동 525-1,12,동구 보행교통정책과,062-608-2914
풍향어린이공원 옆 소규모 공영주차장,공영,노상,계림동 1730 부근,6,동구 보행교통정책과,062-608-2914
계림동 구)이마트 주변 소규모 공영주차장,공영,노상,계림동 1043 부근,9,동구 보행교통정책과,062-608-2914
풍향어린이공원 뒤 소규모 임시 공영주차장,공영,노외,참판로20번길 12-9,3,동구 보행교통정책과,062-608-2914
산수동 정암경로당 옆 소규모 공영주차장,공영,노외,산수동 489-15,9,동구 보행교통정책과,062-608-2914
산수1동 마을사랑채 앞 공영주차장,공영,노외,산수동 548-2외 3,18,동구 보행교통정책과,062-608-2914
공무원아파트 부근 소규모 공영주차장,공영,노외,산수동 547-75,3,동구 보행교통정책과,062-608-2914
푸른길 분수공원 옆 공영주차장,공영,노상,필문대로192번길 28-3,23,동구 보행교통정책과,062-608-2914
