연번,자치구,명칭,주소, 면적 ,주차면수,운영주체,유형,요금정보,급지,데이터기준일자
1,동구,동명동 가족회관 앞 소규모 공영주차장,동구 동명동 159-7,125,5,동구,노외,무료,1,2025-05-15
2,동구,푸른마을공동체 앞 공영주차장,동구 동명동 181-5,930,24,동구,노외,유료,1,2025-05-15
3,동구,동명문화마을 공영주차장,동구 동명동 38-7,839,,동구,노외,무료,1,2025-05-15
4,동구,서석교회 옆 소규모 공영주차장,동구 동명동 142-34,97.42,5,동구,노외,무료,1,2025-05-15
5,동구,계림동 제1 거주자우선주차장,동구 계림동 280 외 6필지,1094.2,40,동구,노외,등록제,1,2025-05-15
6,동구,게림동 제2 거주자 우선주차장,동구 계림동 283 외 5필지,542,14,동구,노외,등록제,1,2025-05-15
7,동구,계림동 제3 거주자 우선주차장,동구 계림동 268 외 6필지,758,25,동구,노외,등록제,1,2025-05-15
8,동구,힐링가든 계림동 제1주차장,동구 계림동 672,102.5,3,동구,노외,무료,1,2025-05-15
9,동구,금호타운1차 주변  공영주차장,동구 계림동 116-26,150,12,동구,노외,무료,1,2025-05-15
10,동구,산수동 정암경로당 옆 소규모 공영주차장,동구 산수동 489-15,287,9,동구,노외,무료,1,2025-05-15
11,동구,산수1동 마을사랑채 앞 공영주차장,동구 산수동 548-5,579,18,동구,노외,무료,1,2025-05-15
12,동구,공무원아파트 부근 소규모 공영주차장,동구 산수동 547-75,80,3,동구,노외,무료,1,2025-05-15
13,동구,명지로드힐 앞 소규모 공영주차장,동구 산수동 20-8,132.07,4,동구,노외,무료,3,2025-05-15
14,동구,광신프로그래스 부근 공영주차장,동구 산수동 62-22,523,15,동구,노외,무료,3,2025-05-15
15,동구,법원어린이집 옆 공영주차장,동구 산수동 511-34,600.61,20,동구,노외,무료,3,2025-05-15
16,동구,지산동 힐링가든 제1 공영주차장,동구 지산동 720-59,90,3,동구,노외,무료,1,2025-05-15
17,동구,지산2동 행정복지센터 소규모 공영주차장,동구 지산동 232-46,37.5,3,동구,노외,무료,2,2025-05-15
18,동구,지산IC 제1 공영주차장,동구 지산동 201-7,590,14,동구,노외,무료,2,2025-05-15
19,동구,지산IC 제2 공영주차장,동구 지산동 201-7,690,16,동구,노외,무료,2,2025-05-15
20,동구,지산동 회전교차로 부근 소규모 공영주차장,동구 지산동 691-100,125,10,동구,노외,무료,2,2025-05-15
21,동구,우레옥모밀 뒤쪽 소규모 공영주차장,동구 서석동 118-1,244.8,10,동구,노외,무료,1,2025-05-15
22,동구,서석동 푸른길 옆 소규모 공영주차장,동구 서석동 471-17,130,5,동구,노외,무료,1,2025-05-15
23,동구,보건소 뒤 제1 관용차 주차장,동구 서석동 28-3,269.49,14,동구,노외,무료,1,2025-05-15
24,동구,증심사상가지구 주차장,동구 운림동 993,995.5,77,동구,노외,무료,3,2025-05-15
25,동구,수자타 앞 공영주차장,동구 운림동 668-7,1519,59,동구,노외,무료,3,2025-05-15
26,동구,성촌마을 소규모 공영주차장,동구 운림동 251,114.77,4,동구,노외,무료,3,2025-05-15
27,동구,성촌경로당 주변 공영주차장,동구 운림동 301-1,200,16,동구,노외,무료,3,2025-05-15
28,동구,학운동 행정복지센터 옆 소규모 공영주차장,동구 학동 720-10,25,2,동구,노외,무료,3,2025-05-15
29,동구,학운동 소규모 공영주차장,동구 학동 813-2,62.5,6,동구,노외,무료,3,2025-05-15
30,동구,학운동 제2 공영주차장,동구 학동 711-1,365,12,동구,노외,무료,3,2025-05-15
31,동구,학운동 제3 공영주차장,동구 학동 711-5,473,8,동구,노외,무료,3,2025-05-15
32,동구,설월여고 부근 공영주차장,동구 소태동 958,578.3,24,동구,노외,무료,2,2025-05-15
33,동구,소태동 진양아파트 부근 공영주차장,동구 소태동 723-19,294.8,12,동구,노외,무료,2,2025-05-15
34,동구,홍림교 부근 공영주차장,동구 소태동 725-1,878,19,동구,노외,무료,2,2025-05-15
35,동구,지원1동 행정복지센터 옆 소규모 공영주차장,동구 소태동 622-3,284.6,6,동구,노외,무료,2,2025-05-15
36,동구,지한유치원 옆 공영주차장,동구 내남동 305,1225.88,51,동구,노외,무료,2,2025-05-15
37,동구,남계마을 부근 공영주차장,동구 내남동 285,511.67,15,동구,노외,무료,2,2025-05-15
38,동구,구립복합공공도서관 옆 공영주차장,동구 내남동 898,682.7,23,동구,노외,무료,2,2025-05-15
39,동구,자주봉 등산로 주변 공영주차장,동구 소태동 1114,1419.6,20,동구,노외,무료,2,2025-05-15
40,동구,녹동경로당 주변 공영주차장,동구 월남동 267-1,465,13,동구,노외,무료,2,2025-05-15
41,동구,삼태경로당 주변 공영주차장,동구 소태동 304,494.7,20,동구,노외,무료,2,2025-05-15
42,동구,너릿재유아숲 주차장 부근 소규모 공영주차장,동구 선교동 68,520,9,동구,노외,무료,2,2025-05-15
43,동구,용강 공영주차장,동구 용산동 227,645,16,동구,노외,무료,2,2025-05-15
44,동구,칠전마을 소규모 공영주차장,동구 월남동 481,100,8,동구,노외,무료,2,2025-05-15
45,동구,풋살경기장 주변 공영주차장,동구 소태동 372-1,461,15,동구,노외,무료,2,2025-05-15
46,동구,화산마을 공영주차장,동구 용산동 405,775,22,동구,노외,무료,2,2025-05-15
47,동구,주남마을 공영주차장,동구 월남동 139-2,599.9,16,동구,노외,무료,2,2025-05-15
48,동구,궁동 공영주차장,동구 궁동 15 외 3필지,1216,35,동구,노외,유료,1,2025-05-15
49,동구,동명동 푸른길 부근 공영주차장,동구 동명동 35-6,327.2,14,동구,노외,유료,1,2025-05-15
50,동구,지산동 공영주차장,동구 지산동 712-45,1392,33,동구,노외,유료,1,2025-05-15
51,동구,서석동 공영주차장,동구 서석동 25-3,1090.3,28,동구,노외,유료,1,2025-05-15
52,동구,학운동 공영주차장,동구 학동 730-9,1457,40,동구,노외,무료,3,2025-05-15
53,동구,호남동 공영주차장,동구 호남동 16,4189.9,193,동구(위탁),노외,유료,1,2025-05-15
