문화노선도명,거리,요금정보,공휴일운영종료시각,공휴일운영시작시각,위도,경도,운영요일,주차기본요금,주차기본시간,주차구획수,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,토요일운영종료시각,토요일운영시작시각,특기사항,평일운영종료시각,평일운영시작시각
양동시장,490.063,무료,00:00,00:00,35.1534228,126.8991779,평일+토요일+공휴일,무료,무료,28,100-1-000001,서구장애인복지관 주차장,공영,부설,광주광역시 서구 경열로 127,00:00,00:00,,00:00,00:00
금남로4가,283.029,유료,19:00,09:00,35.1535011,126.9140542,평일+토요일+공휴일,700,30,68,100-1-000002,전자의거리 공영주차장,공영,노외,광주광역시 동구 구성로 199,19:00,09:00,,19:00,09:00
쌍촌,290.336,무료,00:00,00:00,35.1537706,126.8674338,평일+토요일+공휴일,무료,무료,17,100-1-000003,상무1동 행정복지센터 주차장,공영,부설,광주광역시 서구 월드컵4강로197번길 20,00:00,00:00,,00:00,00:00
문화전당(구도청),487.274,유료,,,35.1509614,126.9194161,평일,700,30,35,100-1-000004,궁동공영주차장,공영,노외,광주광역시 동구 제봉로 153-4,,,,20:00,08:00
학동증심사입구,152.926,무료,00:00,00:00,35.1339504,126.9271402,평일+토요일+공휴일,무료,무료,14,100-1-000005,삼성전자대리점 뒤,공영,노상,광주광역시 동구 학동길 12,00:00,00:00,,00:00,00:00
금남로4가,451.87,유료,,,35.1509614,126.9194161,평일,700,30,35,100-1-000006,궁동공영주차장,공영,노외,광주광역시 동구 제봉로 153-4,,,,20:00,08:00
문화전당(구도청),419.896,유료,18:00,08:00,35.1446475,126.9239955,평일+토요일+공휴일,700,30,28,100-1-000007,서석동 공영주차장,공영,노외,광주광역시 동구 서남로 22,18:00,08:00,,18:00,08:00
문화전당(구도청),23.818,유료,00:00,00:00,35.1464409,126.9198892,평일+토요일+공휴일,800,30,275,100-1-000008,국립아시아문화전당 A주차장,공영,부설,광주광역시 동구 문화전당로 26번길 7,00:00,00:00,,00:00,00:00
상무,164.09,무료,00:00,00:00,35.1454906,126.8477721,평일+토요일+공휴일,무료,무료,286,100-1-000009,광주도시철도공사 주차장(본사),공영,부설,광주광역시 서구 상무대로 760,00:00,00:00,"월~금 7~21/주말, 공휴일 상시개방",00:00,00:00
문화전당(구도청),280.791,무료,00:00,00:00,35.1476762,126.9228495,평일+토요일+공휴일,무료,무료,14,100-1-000010,광산교회 앞,공영,노상,광주광역시 동구 제봉로98번길 11-3,00:00,00:00,,00:00,00:00
남광주,497.195,유료,20:00,08:00,35.1425636,126.9198134,평일+토요일+공휴일,700,30,10,100-1-000011,전대병원로타리 공영주차장,공영,노상,광주광역시 동구 백서로137번길 1,20:00,08:00,위탁,20:00,08:00
금남로5가,259.673,무료,00:00,00:00,35.1541482,126.9135322,평일+토요일+공휴일,무료,무료,8,100-1-000012,대인동 광주우체국 옆,공영,노상,광주광역시 동구 제봉로213번길 8,00:00,00:00,,00:00,00:00
양동시장,462.852,유료,00:00,00:00,35.1506971,126.9072844,평일+토요일+공휴일,400,30,44,100-1-000013,양동산업용품 공영주차장,공영,노외,광주광역시 서구 양동 119-1,00:00,00:00,,00:00,00:00
금남로5가,234.638,유료,18:00,09:00,35.1514448,126.9124016,평일+토요일+공휴일,700,30,38,100-1-000014,충장로상점가 공영주차장,공영,노외,광주광역시 동구 구성로 172-2,18:00,09:00,,18:00,09:00
돌고개,487.842,무료,00:00,00:00,35.151969,126.890272,평일+토요일+공휴일,무료,무료,207,100-1-000015,광주광역시 서구청 민원인주차장,공영,부설,광주광역시 서구 경열로 33,00:00,00:00,"월~금 18~익일 8시/주말, 공휴일 상시개방",00:00,00:00
상무,164.09,유료,00:00,00:00,35.1454906,126.8477721,평일+토요일+공휴일,1000,30,288,100-1-000016,도시철도공사 주차장,공영,부설,광주광역시 서구 상무대로 760,00:00,00:00,,00:00,00:00
학동증심사입구,162.782,무료,00:00,00:00,35.1321698,126.9269274,평일+토요일+공휴일,무료,무료,3,100-1-000017,금호장례식장 부근,공영,노외,광주광역시 동구 학동 901-73,00:00,00:00,,00:00,00:00
양동시장,397.53,무료,00:00,00:00,35.1573156,126.9065805,평일+토요일+공휴일,무료,무료,10,100-1-000018,중앙동행정복지센터,공영,노외,광주광역시 북구 금재로 30,00:00,00:00,,00:00,00:00
도산,418.561,무료,18:00,09:00,35.1294546,126.7916242,평일+토요일+공휴일,무료,무료,11,100-1-000019,도산동 행정복지센터 주차장,공영,노외,광주광역시 광산구 도산로 12,18:00,09:00,"주민센터 비근무시간 개방(평일18:00~익일08:00, 주말, 공휴일 개방)",18:00,09:00
금남로4가,362.384,무료,00:00,00:00,35.1541482,126.9135322,평일+토요일+공휴일,무료,무료,8,100-1-000020,대인동 광주우체국 옆,공영,노상,광주광역시 동구 제봉로213번길 8,00:00,00:00,,00:00,00:00
남광주,83.116,유료,19:00,06:00,35.1391467,126.9217653,평일+토요일+공휴일,300,15,71,100-1-000021,남광주시장 지하주차장,공영,노외,광주광역시 동구 학동55번지,19:00,06:00,,19:00,06:00
농성,486.098,무료,00:00,00:00,35.1551935,126.888934,평일+토요일+공휴일,무료,무료,8,100-1-000022,상록도서관 주차장,공영,부설,광주광역시 서구 상무대로1171번길 11,00:00,00:00,,00:00,00:00
양동시장,323.994,무료,00:00,00:00,35.1548103,126.9010107,평일+토요일+공휴일,무료,무료,10,100-1-000023,양동주민센터 주차장,공영,노외,광주광역시 서구 천변좌로 222번길 3-2,00:00,00:00,,00:00,00:00
화정,438.952,무료,00:00,00:00,35.1485537,126.8775744,평일+토요일+공휴일,무료,무료,30,100-1-000024,고운하이플러스 공영주차장,공영,노외,광주광역시 서구 화운로99번길 19,00:00,00:00,,00:00,00:00
금남로5가,442.138,유료,20:00,08:00,35.1563372,126.9138894,평일+토요일+공휴일,700,30,29,100-1-000025,동계천 공영주차장,공영,노상,광주광역시 동구 동계천로 10,20:00,08:00,위탁,20:00,08:00
소태,98.02,무료,00:00,00:00,35.1249514,126.9323265,평일+토요일+공휴일,무료,무료,9,100-1-000026,지원1동주민센터 뒤,공영,노상,광주광역시 동구 남문로 606-5,00:00,00:00,,00:00,00:00
김대중컨벤션센터(마륵),348.985,유료,22:00,09:00,35.1455335,126.8440276,평일+토요일+공휴일,400,30,40,100-1-000027,치평동 공영주차장,공영,부설,광주광역시 서구 상무화원로 31,22:00,09:00,,22:00,09:00
문화전당(구도청),333.529,무료,00:00,00:00,35.1464096,126.9237101,평일+토요일+공휴일,무료,무료,6,100-1-000028,서석동 KT 앞,공영,노상,광주광역시 동구 제봉로82번길 16,00:00,00:00,,00:00,00:00
양동시장,230.146,유료,22:00,08:00,35.1561177,126.9053656,평일+토요일+공휴일,700,30,18,100-1-000029,국제도덕협회 앞 공영주차장,공영,노상,광주광역시 북구 금남로 98,22:00,08:00,,22:00,08:00
소태,453.282,무료,00:00,00:00,35.1266676,126.9358921,평일+토요일+공휴일,무료,무료,16,100-1-000030,지원1동(옛 지원중 앞),공영,노상,광주광역시 동구 학소로62번길 7,00:00,00:00,,00:00,00:00
금남로4가,425.729,유료,18:00,09:00,35.1541019,126.9171499,평일+토요일+공휴일,500,30,39,100-1-000031,대인시장 제2주차장,공영,노외,광주광역시 동구 제봉로194번길 10,18:00,09:00,,18:00,09:00
문화전당(구도청),340.53,무료,00:00,00:00,35.144095,126.922187,평일+토요일+공휴일,무료,무료,10,100-1-000032,"서남동 제1,2주차장",공영,노외,광주광역시 동구 백서로153번길 12-9,00:00,00:00,,00:00,00:00
학동증심사입구,474.741,무료,00:00,00:00,35.128765,126.928,평일+토요일+공휴일,무료,무료,24,100-1-000033,소태동 공영주차장,공영,노외,광주광역시 동구 천변좌로 608,00:00,00:00,,00:00,00:00
금남로5가,286,유료,19:00,09:00,35.1535011,126.9140542,평일+토요일+공휴일,700,30,68,100-1-000034,전자의거리 공영주차장,공영,노외,광주광역시 동구 구성로 199,19:00,09:00,,19:00,09:00
남광주,114.145,유료,19:00,06:00,35.1394055,126.9220598,평일+토요일+공휴일,300,15,60,100-1-000035,남광주시장 광장주차장,공영,노외,광주광역시 동구 제봉로17번길 9-9,19:00,06:00,,19:00,06:00
학동증심사입구,469.171,무료,00:00,00:00,35.1324904,126.9335,평일+토요일+공휴일,무료,무료,2,100-1-000036,학운동주민센터 앞,공영,노상,광주광역시 동구 의재로 53,00:00,00:00,,00:00,00:00
문화전당(구도청),293.798,유료,00:00,00:00,35.1463731,126.9168317,평일+토요일,1000,30,301,100-1-000037,황금주차빌딩,공영,부설,광주광역시 동구 서석로 29-2,00:30,07:30,,00:30,07:30
평동,125.373,무료,00:00,00:00,35.1235936,126.7693205,평일+토요일+공휴일,무료,무료,30,100-1-000038,평동 종합 비즈니스센터 주차장,공영,부설,광주광역시 광산구 평동산단로 184-1,00:00,00:00,"평일 18:00이후,주말,공휴일 개방",00:00,00:00
금남로4가,421.51,유료,22:00,08:00,35.1480857,126.9114463,평일+토요일+공휴일,700,30,193,100-1-000039,호남동공영주차장,공영,노외,광주광역시 동구 천변우로 365,22:00,08:00,,22:00,08:00
문화전당(구도청),326.024,유료,00:00,00:00,35.1475947,126.9234275,평일+토요일+공휴일,800,30,628,100-1-000040,국립아시아문화전당 부설주차장,공영,부설,광주광역시 동구 제봉로 110번길 10,00:00,00:00,,00:00,00:00
문화전당(구도청),352.266,무료,00:00,00:00,35.1451857,126.9235107,평일+토요일+공휴일,무료,무료,14,100-1-000041,서석동 드림원룸주차장,공영,노외,광주광역시 동구 서남로 15-1,00:00,00:00,,00:00,00:00
양동시장,247.978,유료,18:30,09:00,35.1522214,126.9031757,평일+토요일+공휴일,400,30,82,100-1-000042,양동닭전시장 공영주차장,공영,부설,광주광역시 서구 양동시장2길 32,18:30,09:00,,18:30,09:00
양동시장,301.824,유료,18:30,09:00,35.1550942,126.9013648,평일+토요일+공휴일,400,30,85,100-1-000043,양동복개상가 상부주차장,공영,노상,광주광역시 서구 천변좌로 224-1,18:30,09:00,,18:30,09:00
금남로4가,388.117,유료,18:00,09:00,35.1540207,126.9165334,평일+토요일+공휴일,500,30,23,100-1-000044,대인시장 제1주차장,공영,노외,광주광역시 동구 제봉로194번길 7-1,18:00,09:00,,18:00,09:00
화정,430.776,무료,00:00,00:00,35.156374,126.877725,평일+토요일+공휴일,무료,무료,11,100-1-000045,화정1동 주민센터 주차장,공영,부설,광주광역시 서구 내방로338번길 11,00:00,00:00,"월~금: 18시~익일8시/주말, 공휴일 상시개방",00:00,00:00
양동시장,323.994,무료,00:00,00:00,35.1548103,126.9010107,평일+토요일+공휴일,무료,무료,10,100-1-000046,양동 주민센터 주차장,공영,부설,광주광역시 서구 천변좌로222번길 3-2,00:00,00:00,"월~금 18~익일 8시/주말, 공휴일 상시개방",00:00,00:00
소태,414.822,무료,00:00,00:00,35.1204405,126.9328482,평일+토요일+공휴일,무료,무료,21,100-1-000047,지원2동 주민센터 옆길,공영,노상,광주광역시 동구 화산로 361,00:00,00:00,,00:00,00:00
소태,252.881,무료,00:00,00:00,35.1233873,126.9346502,평일+토요일+공휴일,무료,무료,20,100-1-000048,지원2동(진아하이빌 앞),공영,노상,광주광역시 동구 학소로 37,00:00,00:00,,00:00,00:00
문화전당(구도청),450.453,유료,20:00,08:00,35.1425636,126.9198134,평일+토요일+공휴일,700,30,10,100-1-000049,전대병원로타리 공영주차장,공영,노상,광주광역시 동구 백서로137번길 1,20:00,08:00,위탁,20:00,08:00
상무,441.909,유료,22:00,09:00,35.1455335,126.8440276,평일+토요일+공휴일,400,30,40,100-1-000050,치평동 공영주차장,공영,부설,광주광역시 서구 상무화원로 31,22:00,09:00,,22:00,09:00
김대중컨벤션센터(마륵),417.255,유료,00:00,00:00,35.1468904,126.8405227,평일+토요일+공휴일,700,30,1502,100-1-000051,김대중컨벤션센터 주차장,공영,부설,광주광역시 서구 상무누리로 30,00:00,00:00,,00:00,00:00
금남로4가,494.831,유료,00:00,00:00,35.1479003,126.9183794,평일+토요일+공휴일,무료,120,107,100-1-000052,금남지하주차장,공영,부설,광주광역시 동구 금남로 246,00:00,00:00,,00:00,00:00
금남로5가,431.578,유료,00:00,00:00,35.1506971,126.9072844,평일+토요일+공휴일,400,30,44,100-1-000053,양동산업용품 공영주차장,공영,노외,광주광역시 서구 양동 119-1,00:00,00:00,,00:00,00:00
돌고개,356.423,무료,00:00,00:00,35.1534228,126.8991779,평일+토요일+공휴일,무료,무료,28,100-1-000054,서구장애인복지관 주차장,공영,부설,광주광역시 서구 경열로 127,00:00,00:00,,00:00,00:00
문화전당(구도청),208.942,유료,00:00,00:00,35.1479003,126.9183794,평일+토요일+공휴일,무료,120,107,100-1-000055,금남지하주차장,공영,부설,광주광역시 동구 금남로 246,00:00,00:00,,00:00,00:00
광주송정역,301.703,유료,00:00,00:00,35.1381859,126.7947072,평일+토요일+공휴일,200,30,48,100-1-000056,광산로 공영주차장,공영,부설,광주광역시 광산구 광산로 30번길 10,00:00,00:00,시장이용고객무료,00:00,00:00
송정공원,223.717,무료,18:00,09:00,35.145224,126.800637,평일+토요일+공휴일,무료,무료,15,100-1-000057,신흥동행정복지센터 공영주차장,공영,노외,광주광역시 광산구 신흥동안길 9,18:00,09:00,"주민센터 비근무시간 개방(평일18:00~익일08:00, 주말, 공휴일 개방)",18:00,09:00
금남로4가,193.042,유료,18:00,09:00,35.1514448,126.9124016,평일+토요일+공휴일,700,30,38,100-1-000058,충장로상점가 공영주차장,공영,노외,광주광역시 동구 구성로 172-2,18:00,09:00,,18:00,09:00
