주차일시,주차장구분,주차장명,소재지 도로명 주소,주차구획수,운영요일,입차대수,출차대수,정기주차 이용대수,일일주차 이용대수
2023-01-01,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,190,305,34,201
2023-01-01,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,366,228,13,192
2023-01-01,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,287,240,15,191
2023-01-01,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,293,308,10,246
2023-01-01,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,488,392,1,222
2023-01-01,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,166,168,13,168
2023-01-02,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,154,184,76,173
2023-01-02,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,237,219,137,321
2023-01-02,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,448,398,250,609
2023-01-02,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,244,236,171,388
2023-01-02,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,489,471,28,472
2023-01-02,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,407,402,75,363
2023-01-03,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,155,165,72,143
2023-01-03,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,198,195,130,299
2023-01-03,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,450,453,260,667
2023-01-03,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,248,254,159,396
2023-01-03,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,468,415,33,412
2023-01-03,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,425,419,79,481
2023-01-04,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,162,166,82,154
2023-01-04,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,206,212,143,328
2023-01-04,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,481,486,255,705
2023-01-04,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,260,266,177,427
2023-01-04,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,477,485,36,497
2023-01-04,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,379,381,90,458
2023-01-05,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,137,149,73,135
2023-01-05,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,186,195,133,304
2023-01-05,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,470,474,239,674
2023-01-05,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,239,243,171,407
2023-01-05,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,500,500,38,516
2023-01-05,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,351,343,67,396
2023-01-06,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,189,156,77,147
2023-01-06,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,248,220,142,339
2023-01-06,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,536,498,233,697
2023-01-06,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,324,304,169,465
2023-01-06,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,488,485,38,498
2023-01-06,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,422,412,76,476
2023-01-07,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,221,267,54,158
2023-01-07,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,288,362,33,270
