위도,경도,연번,연도별,개방시설,소재지도로명주소,주차면수,운영시간,운영방법,개방일시,현장정보,관리부서,기준일자
35.8576416,128.521763,1,2017,성로교회,대구광역시 달서구 성지로14안길 49,16,교회 미사용시간대 무료개방 평일 09시~토요일 14시까지,상시개방,2017-07-01,1660188591026.jpg,주차관리과,2023-03-20
35.8095162,128.546799,2,2017,광명교회,대구광역시 달서구 월곡로 143,11,교회 미사용시간대 무료개방 수요일 금요일 및 일요일 교회예배 및 행사시간을 제외한 시간개방,상시개방,2017-07-01,,주차관리과,2023-03-20
35.805208,128.545455,3,2018,도원고등학교,대구광역시 달서구 미리샘길 52,42,학교 미사용시간대 무료개방 평일 야간(18시~다음날 07시) 토요일 17시~월요일 07시 공휴일 07시~다음날 07시,상시개방,2018-07-01,,주차관리과,2023-03-20
35.8607073,128.497943,4,2018,대구외국어고등학교,대구광역시 달서구 선원로 11길 21,50,학교 미사용시간대 무료개방 평일 야간(18시~다음날 07시30분) 토요일·공휴일 주·야간,상시개방,2018-07-01,,주차관리과,2023-03-20
35.841383,128.553626,5,2018,해올중고등학교,대구광역시 달서구 야외음악당로 42,45,학교 미사용시간대 무료개방 평일 야간(18시~다음날 07시30분) 토요일 13시~월요일 07시30분 공휴일 07시30분~다음날 07시30분,상시개방,2018-09-01,,주차관리과,2023-03-20
35.8344759,128.546265,6,2019,대구남부교육지원청,대구광역시 달서구 학산로 185,51,청사 미사용시간대 무료개방 평일 야간(18시~다음날 07시30분) 토요일·공휴일 주·야간,상시개방,2019-07-01,1659501913394.jpeg,주차관리과,2023-03-20
35.8564457,128.556753,7,2019,신흥초등학교,대구광역시 달서구 두류공원로 257,52,학교 미사용시간대 무료개방 평일 야간(18시~다음날 07시) 토요일·공휴일 주·야간,이용자 지정,2019-07-01,,주차관리과,2023-03-20
35.8479143,128.52989,8,2020,대구전자공업고등학교,대구광역시 달서구 용산로 113,52,학교 미사용시간대 무료개방 평일 야간(18시~다음날 07시 30분까지) 토·공휴일 07시30분부터~다음날 07시 30분까지,이용자 지정,2020-07-01,,주차관리과,2023-03-20
35.8243761,128.527768,9,2020,대한예수장로회 시온교회,대구광역시 달서구 조암로5길 7,15,부설주차장 미사용시간대 무료개방 평일 오전 9시~당일 20시까지 토요일 오전 9시~당일 20시까지,상시개방,2020-07-01,1659411177595.jpeg,주차관리과,2023-03-20
35.8525644,128.536942,10,2020,죽전빌딩,대구광역시 달서구 와룡로 221,10,부설주차장 미사용시간대 무료개방 평일 야간(18시~다음날 07시30분) 토·공휴일 상시개방,상시개방,2020-07-01,,주차관리과,2023-03-20
35.8317667,128.550218,11,2020,주은교회,대구광역시 달서구 월배로83길 31,10,부설주차장 미사용시간대 무료개방 평일 야간(19시~다음날 09시까지) 일요일 19시~다음날 09시까지 공휴일 09시~다음날 09시까지 토·행사시 주차금지,상시개방,2020-07-04,1659504815161.jpg,주차관리과,2023-03-20
35.8518528,128.573145,12,2021,서광교회,대구광역시 달서구 성당로 221,60,부설주차장 미사용시간대 무료개방 평일 주차불가: 수요일(18시~21시) 금요일(19~22시) 주일 교회행사시 주차불가,상시개방,2021-06-01,,주차관리과,2023-03-20
35.8525839,128.542454,13,2021,푸른방송,대구광역시 달서구 달구벌대로 1611,30,부설주차장 미사용시간대 무료개방 평일 토요일 공휴일 19시~익일 오전 8시,이용자 지정,2020-08-01,1659664983561.jpg,주차관리과,2023-03-20
35.8194273,128.526467,14,2021,월서중학교,대구광역시 달서구 월배로33길 105,30,부설주차장 미사용시간대 무료개방 평일 오후 19~익일 오전 7시 토요일 오후 16~익일 오전 7시 일요일 오전 7시~익일 오전 7시,상시개방,2021-03-01,1659944699404.jpeg,주차관리과,2023-03-20
35.8231531,128.528275,15,2021,월성제일교회,대구광역시 달서구 조암남로6길 30,22,부설주차장 미사용시간대 무료개방 평일: 9~18시 토 일요일: 개방하지 않음,상시개방,2021-04-01,1659419999521.jpeg,주차관리과,2023-03-20
35.8396499,128.550361,16,2021,서부교회,대구광역시 달서구 대명천로20길 4,20,부설주차장 미사용시간대 무료개방 평일 공휴일: 상시개방 토요일: 주차금지,상시개방,2021-04-01,,주차관리과,2023-03-20
35.8118521,128.519783,17,2022,월배중앙교회,대구광역시 달서구 상화로9길 81-7,14,부설주차장 미사용시간대 무료개방 월·화·목·금: 18시~다음날 08시 주차불가: 수요일 18시~목요일 08시 토요일 13시~일요일 종일 기타 행사시,상시개방,2022-04-01,,주차관리과,2023-03-20
35.8335195,128.538633,18,2022,서광교회,대구광역시 달서구 학산로 109,28,부설주차장 미사용시간대 무료개방 월·화·목·금: 상시개방 주차불가: 수·금 17시~22시 일요일 종일,상시개방,2022-04-01,,주차관리과,2023-03-20
35.8602061,128.526329,19,2022,더사랑큰교회,대구광역시 달서구 용산큰못3길 23,10,부설주차장 미사용시간대 무료개방 월·화·목·금: 상시개방 주차불가: 수요일 17시~22시 토요일 20시~일요일 20시 기타 교회행사시,상시개방,2022-07-01,,주차관리과,2023-03-20
