위도,경도,순번,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,특기사항,관리부서,기준일자
35.8182756,128.5375662,1,156-0-000000,상인유료주차장,민영,노외,도로명 주소 미존재,대구광역시 달서구 상인동 1398 1398-14,12,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.8520826,128.5444473,2,156-0-000000,W주차장,민영,노외,대구광역시 달서구 감삼북길 75,대구광역시 달서구 감삼동 128-7 11,190,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,타워주차장 3곳 (1곳당 20대주차가능) 1~5층 주차장 총 130대 수용가능,주차관리과,2023-03-20
35.83586111,128.5342181,3,156-0-000000,정이품,민영,노외,대구광역시 달서구 구마로12길 29,대구광역시 달서구 본동 870,20,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.83566555,128.533583,4,156-0-000000,일출 회,민영,노외,대구광역시 달서구 구마로14남길 30,대구광역시 달서구 본동 719-1,8,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.83591167,128.5336569,5,156-0-000000,서민민속촌주차장,민영,노외,대구광역시 달서구 구마로14북길 29,대구광역시 달서구 본동 716,9,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.85419385,128.5465141,8,156-0-000000,서남신시장유료주차장,민영,노외,대구광역시 달서구 달구벌대로 1651,대구광역시 달서구 감삼동 61-1,7,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,1000,30,1000,0,0,0,,주차관리과,2023-03-20
35.85438841,128.5470165,9,156-0-000000,광장신협주차장,민영,노외,대구광역시 달서구 달구벌대로 1655-2,대구광역시 달서구 감삼동 61-4,10,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.85433297,128.5492318,10,156-0-000000,성서주차장,민영,노외,대구광역시 달서구 달구벌대로 1676,대구광역시 달서구 두류동 495-10,15,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.85498938,128.5513631,11,156-0-000000,광장유료주차장1,민영,노외,대구광역시 달서구 달구벌대로 1696,대구광역시 달서구 두류동 494-19,12,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
35.85950641,128.5640423,12,156-0-000000,올푸드,민영,노외,대구광역시 달서구 달구벌대로 1820,대구광역시 달서구 두류동 100-1,28,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,0,0,0,0,0,,주차관리과,2023-03-20
