연번,구분,시설명(기관명 또는 주차장명),소재지,연락처,무료개방 주차면수,개방유형,개방기간
1,초등학교,대구달서초등학교,대구광역시 서구 국채보상로34길 35(중리동),053-233-1919,31,일부,2026-02-14~2026-02-18 09:00~18:00 개방시간 외 무인전자 경비상태로 출입문 폐쇄
2,초등학교,서대구초등학교,대구광역시 서구 서대구로63길 28-13(비산동),053-233-1655,25,전부,2026-02-13~2026-02-18
3,초등학교,대구서평초등학교,대구광역시 서구 서대구로45길 60(평리동),053-233-2387,20,전부,2026-02-14~2026-02-18
4,초등학교,대구이현초등학교,대구광역시 서구 국채보상로37길 35,053-233-1607,30,전부,2026-02-15~2026-02-18
5,초등학교,대구인지초등학교,대구광역시 서구 서대구로66길 20(비산동),053-233-0575,63,전부,2026-02-14 09:00 ~2026-02-18 18:00
6,초등학교,대구두류초등학교,대구광역시 서구 달구벌대로357길 22(내당동),"053-233-2714(행정실), 233-2715(당직실, 연휴기관중)",41,전부(강당주차장),2026-02-14~2026-02-18
7,초등학교,대구서부초등학교,대구광역시 서구 달서로26길 25(비산동),053-233-0273,42,전부(자바라 아래),"2026-02-13 17:00~2026-02-14 08:00, 2026-02-14 08:00~2026-02-19 08:00"
8,초등학교,대구달성초등학교,대구광역시 서구 고성로 127,053-233-0301,48,일부,"2026-02-13 16:30~21:30, 2026-02-14~2026-02-18 09:00~17:30"
9,초등학교,대구비봉초등학교,대구광역시 서구 달서로45길 30(비산동),053-233-2770,15,전부,2026-02-13 18:00~ 2026-02-18 18:00
10,초등학교,대구 북비산초등학교,"대구광역시 서구 통학로48길 7, 1동",053-233-1508,27,일부,2026-02-14 ~2026-02-18 09:00~17:30
11,초등학교,대구 비산초등학교,대구광역시 서구 통학로202,053-233-1349,47,일부,2026-02-14~2026-02-18 09:00~17:00
12,초등학교,대구서도초등학교,대구광역시 서구 평리로 395,053-233-1480,39,전부,2026-02-14~2026-02-18
13,초등학교,대구 중리초등학교,대구광역시 서구 국채보상로 135,053-233-0755,28,전부,2026-02-13~2026-02-18
14,초등학교,대구 평리초등학교,대구광역시 서구 국채보상로53길 6-5,053-233-1307,47,일부,2026-02-14~2026-02-18
15,중학교,대평중학교,대구광역시 서구 통학로 217(평리동),053-233-7916,30,전부,"2026-02-13 16:00~21:00, 2026-02-14~2026-02-18 08:30~17:30"
16,중학교,평리중학교,대구광역시 서구 국채보상로55길 21(평리동),053-233-6174,30,전부,2026-02-13~2026-02-18
17,중학교,경일중학교,대구광역시 서구 달서천로76길 11(원대동1가),053-233-6110,11,일부,2026-02-14~2026-02-18 09:00~17:30
18,중학교,서대구중학교,대구광역시 서구 북비산로45길7(평리동),053-233-7845,50,전부(운동장 제외),20026-02-14~2026-02-18
19,중학교,중리중학교,대구광역시 서구 국채보상로34길 63(중리동),053-233-6263,40,전부,2026-02-13~2026-02-18
20,중학교,서남중학교,대구광역시 서구 당산로41서길 97(중리동),053-233-7831,40,주차장만 개방(주차장라인 내에만 주차),2026-02-14~ 2026-02-18 (30면은 지역주민에게 방과후 개방 중)
21,고등학교,대구과학기술고등학교,대구광역시 서구 당산로 228(내당동),053-231-9110,30,일부,2026-02-14~2026-02-18 본관주변 주차가능
22,고등학교,대구 제일고등학교,대구광역시 서구 국채보상로384,053-235-6804,18,정문에서부터 경사로 18면 ,09:00~17:00
23,고등학교,대구서부고등학교,대구광역시 서구 국채보상로53길 32(평리동),053-231-4548,60,일부(지하주차장),2026-02-14~2026-02-18
24,공공기관,대구광역시서부교육지원청,대구광역시 서구 서대구로3길 5(내당동),053-233-0180(당직실),72,전부,2026-02-13 18:30~2026-02-19 08:00
25,공공기관,대구광역시립서부도서관,대구광역시 서구 국채보상로49길 12(평리동),053-231-2416,34,전부,2026-02-16~2026-02-18
26,공공기관,서구청,대구광역시 서구 국채보상로 257(평리동),053-663-2216,55,전부,2026-02-14~2026-02-18 설연휴 외 평일 무료개방 19:00 ~ 08:00
27,공공기관,서구국민체육센터,대구광역시 서구 문화로 72(이현동),053-663-3661,89,전부,2026-02-15~2026-02-18
28,공공기관,서구문화회관,대구광역시 서구 당산로 403(이현동),053-663-3083,68,일부,2026-02-14~2026-02-18
29,공공기관,비원뮤직홀,대구광역시 서구 달서천로 374(원대동3가),053-663-3686,22,전부,2026-02-14~2026-02-18
30,공공기관,서구청소년수련관,대구광역시 서구 문화로123,053-663-2693,38,전부,2026-02-15~2026-02-18
31,공공기관,New평리도서관,대구광역시 서구 평리로73길 37,053-663-3883,6,전부,2026-02-16~2026-02-18
32,공공기관,서구어린이도서관,대구광역시 서구 문화로 123,053-663-3704,7,전부,2026-02-16~2026-02-18
33,공공기관,비산도서관,대구광역시 서구 달서로 14길 13,053-663-3721,2,전부,2026-02-16~2026-02-18
34,공공기관,비원도서관,대구광역시 서구 달서천로61안길 10,053-663-3873,3,전부,2026-02-16~2026-02-18
35,공공기관,원고개도서관,대구광역시 서구 달서로 43길 12,053-663-3944,5,전부,2026-02-16~2026-02-18
36,공공기관,서구영어도서관,대구광역시 서구 평리로35길 90-6,053-663-3862,4,전부,2026-02-16~2026-02-18
37,공공기관,한국전력공사 서대구지사,대구광역시 서구 달서로85,053-550-2216,14,일부,2026-02-14~2026-02-18
38,공영주차장,달서천 복개도로(노상),대구광역시 서구 달서천복개도로 일대,053-663-2222,482,전부,2026-02-15~2026-02-18
39,공영주차장,비산23동 복개도로(노상),대구광역시 서구 비산2.3동 복개도로 일대,053-663-2222,13,전부,2026-02-15~2026-02-18
