순번,시도,시군구,건물번호,건물명,행정동,행정동코드,법정동,법정동코드,지번주소,도로명주소,총설치대수,총설치기수
1,대전광역시,서구,43411,건물명없음,도안동,3017059300,도안동,3017011500,대전광역시 서구 가수원동 1035,대전광역시 서구 도안동로11번길 22 (가수원동 1035),11,1
2,대전광역시,서구,41583,가수원클리닉,도안동,3017059300,도안동,3017011500,대전광역시 서구 가수원동 1050,대전광역시 서구 계백로 1141 (가수원동 1050),10,1
3,대전광역시,서구,42482,헤브론빌딩,도안동,3017059300,도안동,3017011500,대전광역시 서구 가수원동 1319,대전광역시 서구 도안동로 10 (가수원동 1319),32,1
4,대전광역시,서구,27819,김봉천정형외과,가수원동,3017059000,가수원동,3017011400,대전광역시 서구 가수원동 655-7,대전광역시 서구 계백로 1130 (가수원동),2,1
5,대전광역시,서구,44358,건물명없음,도안동,3017059300,도안동,3017011500,대전광역시 서구 가수원동 851,대전광역시 서구 원도안로25번길 70 (가수원동 851),20,1
6,대전광역시,서구,27786,영호빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1043,대전광역시 서구 대덕대로167번길 5 (갈마동),30,1
7,대전광역시,서구,28674,아주상가주택,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1044-1,대전광역시 서구 대덕대로161번길 10 (갈마동),8,1
8,대전광역시,서구,27836,정우빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1129,대전광역시 서구 대덕대로 141 (갈마동),16,1
9,대전광역시,서구,27723,창용빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1129-1,대전광역시 서구 대덕대로 139 (갈마동),10,1
10,대전광역시,서구,27820,동해빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1129-2,대전광역시 서구 대덕대로 137 (갈마동),10,1
11,대전광역시,서구,27816,경성쇼핑,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1418,대전광역시 서구 대덕대로 150 (갈마동),96,12
12,대전광역시,서구,27822,1419빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1419,대전광역시 서구 계룡로500번길 18 (갈마동),6,1
13,대전광역시,서구,27852,둔산코아,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1427,대전광역시 서구 대덕대로162번길 43,24,1
14,대전광역시,서구,27777,기은빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1431,대전광역시 서구 대덕대로162번길 29 (갈마동),12,1
15,대전광역시,서구,28503,삼영빌딩,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1432,대전광역시 서구 대덕대로162번길 23 (갈마동),11,1
16,대전광역시,서구,27794,계룡건강랜드,갈마2동,3017058200,갈마동,3017011100,대전광역시 서구 갈마동 1435,대전광역시 서구 대덕대로 164 (갈마동),40,1
