고유번호(관리번호),건물명,허가일자,사용검사일자,주차장명,주차장구분,주차장유형,주차시설형태,소재지도로명주소,소재지지번주소,총 주차구획(면) 수,법정주차구획(면) 수,계획주차구획(면) 수,일반주차구획 수,전용주차구획(장애인) 수,전용주차구획(경차) 수,전용주차구획(여성) 수,전용주차구획(전기차) 수,전용주차구획(나눔카) 수,전용주차구획(기타) 수,전기차충전기 수,방범설비유형,급지구분,부제시행구분,일반인 개방 여부,운영방식,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,소유주체,운영주체,데이터 관리기관명,전화번호,위도,경도,현장 이미지,데이터기준일자
367-1-000001,,,,계룡스파텔 옆 주차장,공영,노상,,"대전광역시 유성구 온천로 81 (봉명동, 계룡스파텔)",대전광역시 유성구 봉명동 539-1,59,,,59,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3551262,127.34788,,2022-10-31
367-1-000002,,,,계룡스파텔 앞 주차장,공영,노상,,대전광역시 유성구 계룡로123번길 77 (봉명동),대전광역시 유성구 봉명동 538-5,34,,,34,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,, 00:00, 23:59, 00:00, 23:59,유료,15,400,15,300,12000,12000,140000,현금+카드,,구,민간위탁,대전광역시 유성구청,,36.3563951,127.345367,,2022-10-31
367-1-000003,,,,궁동 457-1일원 주차장,공영,노상,,대전광역시 유성구 대학로81번길 65,대전광역시 유성구 궁동 457-1,122,,,122,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3623384,127.3417,,2022-10-31
367-1-000004,,,,권인순 김치찌개 앞 주차장,공영,노상,,대전광역시 유성구 노은서로76번길 77 (노은동),대전광역시 유성구 노은동 517-3,78,,,78,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일,,,,,,,무료,,,,,,,,,,,,대전광역시 유성구청,,36.3674671,127.317214,,2022-10-31
367-1-000005,,,,길산골프연습장앞 주차장,공영,노상,,대전광역시 유성구 진잠로140번길 21,대전광역시 유성구 원내동 761,33,,,33,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3022174,127.331242,,2022-10-31
367-1-000006,,,,노은서로76번길 주차장,공영,노상,,"대전광역시 유성구 노은서로80번길 16 (노은동, 대순진리회)",대전광역시 유성구 노은동 515-1,78,,,78,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3675226,127.313225,,2022-10-31
367-1-000007,,,,농촌공사 주변 주차장,공영,노상,,대전광역시 유성구 한밭대로313번길 21,대전광역시 유성구 장대동 24-2,70,,,70,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3661545,127.335939,,2022-10-31
367-1-000008,,,,대우이수드림월드아파트 옆 주차장,공영,노상,,"대전광역시 유성구 문화원로 13 (장대동, 드림월드아파트)",대전광역시 유성구 장대동 344,34,,,34,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3635159,127.338502,,2022-10-31
367-1-000009,,,,대전원예농협~대신수산 주차장,공영,노상,,대전광역시 유성구 노은동로 8 (노은동),대전광역시 유성구 노은동 567-3,10,,,10,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3629929,127.318856,,2022-10-31
367-1-000010,,,,도덕봉가든일원 주차장,공영,노상,,대전광역시 유성구 동서대로189번길,대전광역시 유성구 덕명동 171-96,25,,,25,,,,,,,,,,,,일반노상주차장,평일+토요일+공휴일, 00:00, 23:59, 00:00, 23:59, 00:00, 23:59,무료,,,,,,,,,,구,구직영,대전광역시 유성구청,,36.3456114,127.296985,,2022-10-31
