연번,행정동명,주차장명,주차장위치,인근주요지점,설치일,주차면수,관리방법,주차구분,운영시간
1,삼락동,한마음주변,삼락동 411-2,삼덕초등학교 건너편,2009-07-15,13,자체관리,노외,전일제만
2,삼락동,삼락재첩국거리주변,삼락동 54-13,낙동대로1534번길 34~40사이,2010-05-01,29,자체관리,노외,전일제만
3,삼락동,삼락생태공원주변,삼락동 419-20,"삼락생태공원 입구, 운산로",2013-06-01,10,자체관리,노외,전일제만
4,삼락동,현대골드빌라주변,삼락동 417-18(사상로277번나길 26),현대골드빌라 ,2014-08-01,22,자체관리,노외,전일제만
5,삼락동,삼덕초등학교주변,삼락동 413-8,일성빌라 앞,2024-04-12,13,자체관리,노외,전일제만
6,모라1동,농심주변,"모덕로67번길,사상로469번길",(주)농심 주변,1998-04-01,16,자체관리,노상,야간
7,모라1동,농협주변,사상로478번길,사상농협모라지점,2000-01-01,11,자체관리,노상,야간
8,모라1동,여로횟집앞,백양대로979번길,여로횟집앞,1999-05-01,34,자체관리,노상,야간
9,모라1동,한일아파트주변,백양대로950번길,한일아파트 주변,2008-05-01,36,자체관리,노상,야간
10,모라1동,우신아파트주변,모라1동 1362(백양대로 880) 주변,모라동 우신아파트,2008-05-01,24,자체관리,노상,야간
11,모라1동,동원아파트주변,모라로88번길,모라동원타운 주변,2008-06-20,48,자체관리,노상,야간
12,모라1동,안각단길주변,백양대로907번길,고동바위공원 주변,2009-08-01,18,자체관리,노상,야간
13,모라1동,천기동길주차장,모라로110번길(천기동길),학산그린타운,2010-12-20,44,자체관리,노상,야간
14,모라1동,늘푸른사상,백양대로979번가길 14(모라1동 1330-5),새마을금고,2015-07-01,20,자체관리,노외,전일제만
15,모라1동,곡상골,백양대로979번라길 25 (모라동),곡상골공원,2016-07-01,5,자체관리,노외,전일제만
16,모라1동,우정맨션주변,모라동 732-1,우정맨션,2023-03-14,4,자체관리,노외,전일제만
17,모라1동,모라철로변 남측주변,백양대로907번길 일원,백양대로 921-19 맞은편~공영주차장 앞 육교,2024-02-01,45,자체관리,노상,야간
