주차장명,운영방식,구획수,주소,종류,자동화정산여부
개화산역,직영,321,강서구 방화동 845,노외,자동관제
개화역,직영,483,강서구 개화동 664(개화동로8길 19),노외(시설),자동관제
구로디지털단지역,직영,91,구로구 구로동 810-3,노외,자동관제
구파발역,직영,399,은평구 진관동 66-30,노외(시설),자동관제
가양라이품,직영,38,강서구 가양동 1457-1,노외(시설),자동관제
도봉산역,직영,358,도봉구 도봉동 288-19(도봉구 도봉로 955),노외(시설),자동관제
동구로,직영,70,구로구 가마산로 26길 27,노외(시설),자동관제
동대문,직영,1092,중구 신당동 251-7,노외(시설),자동관제
마포유수지,직영,503,마포구 마포동 36-1,노외,자동관제
복정역,직영,362,송파구 장지동 600-2,노외,자동관제
사당노외,직영,183,서초구 방배동 507-1,노외,자동관제
서울글로벌센터,직영,44,종로구 서린동 63,노외(시설),자동관제
세종로,직영,1260,종로구 세종로 80-1(지하),노외(시설),자동관제
수서역,직영,561,강남구 수서동 735(북),노외,자동관제
신대방역,직영,60,관악구 신림동 498,노외,자동관제
신방화역,직영,198,강서구 마곡동 739,노외(시설),자동관제
신설동,직영,79,동대문구 신설동 114-29,노외,자동관제
신월4동,직영,46,양천구 신월동 411-1(국회대로 28),노외(시설),자동관제
신천유수지,직영,192,송파구 신천동 14(송파구 오금로1),노외,자동관제
볕우물,직영,96,강동구 암사1동 473-3(고덕로24길 50),노외(시설),자동관제
영등포구청역,직영,137,영등포구 당산동3가 370-3,노외(시설),자동관제
용산주차빌딩,직영,560,용산구 한강로2가 12-9,노외(시설),자동관제
웃우물,직영,79,양천구 신정동 943-25,노외(시설),자동관제
일원터널,직영,11,강남구 일원동 722-2,노외,
잠실역,직영,357,송파구 신천동 27(지하),노외(시설),자동관제
장안1동,직영,71,동대문구 답십리로66길 75(장안동),노외(시설),자동관제
장안2동,직영,80,동대문구 장안동 286-9,노외(시설),자동관제
종묘,직영,1317,종로구 훈정동 2,노외(시설),자동관제
천왕역,직영,327,구로구 천왕동 14-38(오리로1156),노외(시설),자동관제
천호역,직영,1431,강동구 천호동 455(천호대로 997),노외(시설),자동관제
학여울역,직영,180,강남구 대치동 514(남부순환로 3104),노외(시설),자동관제
한강진역,직영,174,용산구 한남동 산10-84(728-27),노외,자동관제
훈련원공원,직영,873,중구 을지로5가 40-3(국립중앙의료원 옆),노외(시설),자동관제
중곡1동,직영,132,광진구 중곡1동 230-12(면목로 126),노외(시설),자동관제
DDP동측(양쪽),직영,20,중구 을지로(마장로22),노상,무료
DDP북측 마장로,직영,4,중구 을지로(마장로22),노상,무료
남대문 시장,직영,2,중구 남창동 51-4 일대(남대문 및 롯데손해보험 빌딩 앞),노상,무료
남대문 초입,직영,3,중구 남창동 51-4 일대(남대문 및 롯데손해보험 빌딩 앞),노상,무료
남산공원 소월로,직영,12,용산구 소월길(백범광장맞은편)(중구 남대문로5가 450일대),노상,무료
남산공원 소파로,직영,21,중구 남창동 205-107 일대,노상,무료
남산예장,직영,39,중구 퇴계로26길 36,노외(시설),자동관제
동순라길(종묘),직영,5,종로구 인의동 112-10 일대,노상,무료
소파로케이블카앞,직영,2,중구 회현동1가 산1-15,노상,무료
장충단로(한남광장),직영,5,용산구 한남동 산9-19,노상,무료
적선노외,직영,28,종로구 적선동 140 일대,노외,자동관제
탑골공원,직영,2,종로구 종로2가 38-4(대학로5길 97),노상,무료
진흥로,민간위탁,14,은평구 역촌동 41-8,노상,스마트폰
가양3동,민간위탁,56,강서구 가양동 1488-12,노외,자동관제
목동체비지,민간위탁,55,양천구 목동 908-26,노외,자동관제
방화로,민간위탁,59,강서구 공항동 796,노상,스마트폰
방화역(동),민간위탁,67,강서구 방화동 830-4,노외,자동관제
