연번,주차장명,도로명주소,지번주소,면수
1,영신,서울특별시 강북구 도봉로13길 73-1,서울특별시 강북구 미아동 473-161,11
2,대성,서울특별시 강북구 도봉로 14,서울특별시 강북구 미아동 42-9,16
3,화계,서울특별시 강북구 인수봉로 145-3,서울특별시 강북구 수유동 469-17,34
4,북부시장,,"서울특별시 강북구 번동 413-2,48",8
5,숭인,서울특별시 강북구 도봉로13가길 9-18,서울특별시 강북구 미아동 60-11,38
6,대명,서울특별시 강북구 노해로 25,서울특별시 강북구 수유동 10-4,16
7,도선사,서울특별시 강북구 삼양로173길 21,서울특별시 강북구 우이동 18-5,50
8,청소년수련(할렐루야기도원),서울특별시 강북구 삼양로173길 223,서울특별시 강북구 우이동 260-6,50
9,롯데백화점,서울특별시 강북구 도봉로 72,서울특별시 강북구 미아동 70-26,39
10,동북,서울특별시 강북구 솔샘로 244,서울특별시 강북구 미아동 1346-1,10
11,예일,서울특별시 강북구 한천로 1064,서울특별시 강북구 수유동 178-43,23
12,하늘빌딩,서울특별시 강북구 도봉로 375,서울특별시 강북구 수유동 174-2,5
13,새한빌딩주차장,서울 강북구 도봉로72길 38,서울특별시 강북구 미아동 62-23,20
14,솔샘,서울특별시 강북구 삼양로 162,서울특별시 강북구 미아동 682-11,15
15,오케이파킹,서울특별시 강북구 도봉로 97-1,서울특별시 강북구 미아동 374-6,20
16,쉼터 나무아래,서울특별시 강북구 4.19로 12길 26-12,서울특별시 강북구 수유동 586-2,4
17, GS파크24,서울특별시 강북구 월계로 3,서울특별시 강북구 미아동 42-11,21
18,노외주차장,서울특별시 강북구 수유로23길 22,서울특별시 강북구 수유동 2-26,8
19,노스페이스 아웃도어 문화센터주차장,서울특별시 강북구 도봉로 356,서울특별시 강북구 번동 418-25,51
20,햇빛병원 산후조리원,,서울특별시 강북구 송천동 322-19,8
21,노외주차장,,서울특별시 강북구 번동 118-13,1
22,백석주차장,,서울특별시 강북구 미아동 691-19,2
23,백운주차장,,서울 강북구 우이동 189-2,5
