소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 답십리동 1-4,공동주택,1300.31,14,0,0,12,2,2003-01-13,2023-03-22
서울특별시 동대문구 답십리동 1-119,공동주택,682,6,0,0,4,2,2003-04-10,2023-03-22
서울특별시 동대문구 답십리동 1-125,공동주택,289.75,4,0,0,0,4,2013-07-15,2023-03-22
서울특별시 동대문구 답십리동 2-9,공동주택,658.44,5,0,0,3,2,1992-06-10,2023-03-22
서울특별시 동대문구 답십리동 2-45,공동주택,896,3,0,0,0,3,1984-07-30,2023-03-22
서울특별시 동대문구 답십리동 2-69,공동주택,4971.43,49,0,0,33,16,2022-08-22,2023-03-22
서울특별시 동대문구 답십리동 2-174,공동주택,635.94,7,0,0,0,7,2003-04-30,2023-03-22
서울특별시 동대문구 답십리동 2-253,공동주택,1893.69,24,0,0,17,7,2014-04-03,2023-03-22
서울특별시 동대문구 답십리동 2-290,공동주택,243.36,3,0,0,0,3,2003-04-30,2023-03-22
서울특별시 동대문구 답십리동 3-79,공동주택,497.58,8,0,0,8,0,2008-12-18,2023-03-22
서울특별시 동대문구 답십리동 4-12,공동주택,635.79,7,0,0,5,2,2002-11-11,2023-03-22
서울특별시 동대문구 답십리동 4-41,공동주택,1252.39,16,0,0,10,6,2020-12-15,2023-03-22
서울특별시 동대문구 답십리동 4-231,공동주택,464.76,5,0,0,4,1,2002-05-24,2023-03-22
서울특별시 동대문구 답십리동 4-312,공동주택,659.94,7,0,0,5,2,2002-11-01,2023-03-22
서울특별시 동대문구 답십리동 4-313,공동주택,654.06,7,0,0,7,0,2002-12-30,2023-03-22
서울특별시 동대문구 답십리동 10,공동주택,107288.03,838,0,0,607,231,2001-11-23,2023-03-22
서울특별시 동대문구 답십리동 10-1,공동주택,25785.44,116,0,0,89,27,2001-11-23,2023-03-22
서울특별시 동대문구 답십리동 10-3,공동주택,2883.89,21,0,0,14,7,2001-11-23,2023-03-22
서울특별시 동대문구 답십리동 12-12,공동주택,665.12,6,0,0,4,2,2002-05-14,2023-03-22
서울특별시 동대문구 답십리동 16-11,공동주택,393.75,4,0,0,2,2,2021-10-28,2023-03-22
서울특별시 동대문구 답십리동 21-1,공동주택,601.33,5,0,0,0,5,1996-11-26,2023-03-22
서울특별시 동대문구 답십리동 21-20,공동주택,647.68,7,0,0,7,0,2003-01-30,2023-03-22
서울특별시 동대문구 답십리동 22-7,공동주택,627.21,5,0,0,1,4,1996-10-04,2023-03-22
서울특별시 동대문구 답십리동 27-3,공동주택,483.38,6,0,0,5,1,2002-10-09,2023-03-22
서울특별시 동대문구 답십리동 27-5,공동주택,469.97,6,0,0,3,3,2017-12-06,2023-03-22
서울특별시 동대문구 답십리동 27-7 외2필지,공동주택,649.88,8,0,0,0,8,2020-11-12,2023-03-22
서울특별시 동대문구 답십리동 33-22,공동주택,630.74,10,0,0,0,10,2015-11-09,2023-03-22
서울특별시 동대문구 답십리동 36-19,공동주택,406.65,5,0,0,0,5,2016-12-09,2023-03-22
서울특별시 동대문구 답십리동 36-46,공동주택,543.43,6,0,0,6,0,2004-06-24,2023-03-22
서울특별시 동대문구 답십리동 39-84,공동주택,717.06,8,0,0,4,4,2009-02-24,2023-03-22
서울특별시 동대문구 답십리동 41-0,공동주택,66264.84,193,0,0,79,114,1989-07-25,2023-03-22
서울특별시 동대문구 답십리동 42-0,공동주택,50052.84,280,0,0,20,260,1992-01-03,2023-03-22
서울특별시 동대문구 답십리동 43-1,공동주택,619.3,8,0,0,8,0,2022-06-28,2023-03-22
서울특별시 동대문구 답십리동 50-4,공동주택,427.68,7,0,0,5,2,2009-09-30,2023-03-22
서울특별시 동대문구 답십리동 50-14,공동주택,545.28,8,0,0,0,8,2016-09-08,2023-03-22
서울특별시 동대문구 답십리동 50-26,공동주택,465.02,4,0,0,2,2,1991-12-07,2023-03-22
서울특별시 동대문구 답십리동 57-16,공동주택,656.85,8,0,0,6,2,2004-01-09,2023-03-22
서울특별시 동대문구 답십리동 59-14,공동주택,621.03,8,0,0,4,4,2019-10-22,2023-03-22
서울특별시 동대문구 답십리동 60-1,공동주택,641.5,16,0,0,8,8,2014-08-08,2023-03-22
서울특별시 동대문구 답십리동 60-7,공동주택,587.25,3,0,0,0,3,1990-05-30,2023-03-22
서울특별시 동대문구 답십리동 63-7,공동주택,205.32,4,0,0,2,2,2014-02-06,2023-03-22
서울특별시 동대문구 답십리동 64-0,공동주택,403.52,4,0,0,4,0,2002-12-02,2023-03-22
서울특별시 동대문구 답십리동 70-10,공동주택,569.1,6,0,0,6,0,2001-07-13,2023-03-22
서울특별시 동대문구 답십리동 71-2,공동주택,419.35,6,0,0,6,0,2006-06-22,2023-03-22
서울특별시 동대문구 답십리동 75-0,공동주택,645.81,8,0,0,7,1,2005-05-20,2023-03-22
서울특별시 동대문구 답십리동 75-5,공동주택,601,8,0,0,7,1,2005-05-20,2023-03-22
서울특별시 동대문구 답십리동 75-17,공동주택,1672.74,6,0,0,0,6,1983-12-23,2023-03-22
서울특별시 동대문구 답십리동 75-18,공동주택,921.6,3,0,0,0,3,1983-12-23,2023-03-22
서울특별시 동대문구 답십리동 75-21,공동주택,777.6,3,0,0,0,3,1984-05-31,2023-03-22
서울특별시 동대문구 답십리동 75-27,공동주택,640.62,3,0,0,0,3,1984-12-28,2023-03-22
서울특별시 동대문구 답십리동 80-0,공동주택,176314.41,1377,0,0,1076,301,2000-03-18,2023-03-22
서울특별시 동대문구 답십리동 80-2,공동주택,14646.37,131,0,0,57,74,2000-12-13,2023-03-22
서울특별시 동대문구 답십리동 99-12,공동주택,531.98,8,0,0,4,4,2022-03-03,2023-03-22
서울특별시 동대문구 답십리동 111-0,공동주택,49813.17,397,0,0,280,117,2002-04-29,2023-03-22
서울특별시 동대문구 답십리동 111-1,공동주택,6673.91,44,0,0,37,7,2002-04-29,2023-03-22
서울특별시 동대문구 답십리동 246-17 외1,공동주택,686.36,8,0,0,0,8,2022-12-05,2023-03-22
서울특별시 동대문구 답십리동 250-3,공동주택,659.86,10,0,0,7,3,2022-08-18,2023-03-22
서울특별시 동대문구 답십리동 259-10,공동주택,1304.92,18,16,0,1,1,2022-07-22,2023-03-22
서울특별시 동대문구 답십리동 260-0,공동주택,1243.84,17,0,0,13,4,2021-09-09,2023-03-22
서울특별시 동대문구 답십리동 263-5,공동주택,1020,7,0,0,0,7,1991-10-04,2023-03-22
서울특별시 동대문구 답십리동 268-3,공동주택,2873.36,54,52,0,0,2,2020-12-29,2023-03-22
서울특별시 동대문구 답십리동 320-28 외3,공동주택,702.1,8,0,0,4,4,2020-12-23,2023-03-22
서울특별시 동대문구 답십리동 327-13,공동주택,271.62,0,0,0,0,0,2004-12-20,2023-03-22
