순번,대장종류,시군구명,법정동명,대지구분,본번,부번,건물명,주용도,기타용도,옥내 기계식 대수,옥외 기계식 대수,옥내 자주식 대수,옥외 자주식 대수,총 주차수
1,총괄표제부,서울특별시 서초구,방배동,대지,884,16,,공동주택,공동주택,0,0,0,0,0
2,총괄표제부,서울특별시 서초구,양재동,대지,18,12,도곡한신빌라,공동주택,공동주택,0,0,0,0,0
3,총괄표제부,서울특별시 서초구,방배동,대지,437,9,,공동주택,공동주택,0,0,0,0,0
4,총괄표제부,서울특별시 서초구,반포동,대지,30,1,삼호가든맨션,공동주택,공동주택,0,0,0,0,0
5,총괄표제부,서울특별시 서초구,반포동,대지,55,1,,공동주택,공동주택,0,0,0,0,
6,총괄표제부,서울특별시 서초구,반포동,대지,60,4,반포미도아파트,공동주택,"공동주택, 상가",0,0,0,0,0
7,총괄표제부,서울특별시 서초구,반포동,대지,60,5,"반포미도2차아파트,상가",공동주택,"공동주택, 판매시설",0,0,0,0,0
8,총괄표제부,서울특별시 서초구,반포동,대지,65,1,신반포궁전아파트,공동주택,공동주택,0,0,0,0,0
9,총괄표제부,서울특별시 서초구,반포동,대지,69,1,,공동주택,공동주택,0,0,28,0,
10,총괄표제부,서울특별시 서초구,반포동,대지,10,0,반포푸르지오아파트,공동주택,공동주택,0,0,250,0,250
11,총괄표제부,서울특별시 서초구,양재동,대지,18,18,,공동주택,공동주택,0,0,0,0,0
12,총괄표제부,서울특별시 서초구,양재동,대지,57,0,,공동주택,공동주택,0,0,0,12,0
13,총괄표제부,서울특별시 서초구,양재동,대지,58,2,,공동주택,공동주택,0,0,0,12,0
14,총괄표제부,서울특별시 서초구,양재동,대지,61,2,,공동주택,공동주택,0,0,8,8,0
15,총괄표제부,서울특별시 서초구,양재동,대지,65,0,,공동주택,공동주택,0,0,7,6,0
16,총괄표제부,서울특별시 서초구,양재동,대지,69,0,,공동주택,공동주택,,0,6,10,0
17,총괄표제부,서울특별시 서초구,양재동,대지,74,0,,공동주택,공동주택,0,0,2,0,2
18,총괄표제부,서울특별시 서초구,양재동,대지,121,1,,공동주택,공동주택,0,0,2,7,0
19,총괄표제부,서울특별시 서초구,양재동,대지,154,2,,공동주택,공동주택,0,0,0,0,0
20,총괄표제부,서울특별시 서초구,양재동,대지,18,16,현대빌라,공동주택,공동주택,0,0,0,0,0
21,총괄표제부,서울특별시 서초구,우면동,대지,63,0,우면주공영구임대아파트,공동주택,"공동주택, 상가",0,0,0,222,1314
22,총괄표제부,서울특별시 서초구,우면동,대지,67,0,우면한라아파트,공동주택,공동주택,0,0,136,85,221
23,총괄표제부,서울특별시 서초구,우면동,대지,70,0,코오롱아파트,공동주택,"공동주택, 상가",0,0,270,38,308
24,총괄표제부,서울특별시 서초구,우면동,대지,62,0,현대연립,공동주택,공동주택,0,0,42,0,42
25,총괄표제부,서울특별시 서초구,방배동,대지,12,45,,공동주택,공동주택,0,0,0,0,0
26,총괄표제부,서울특별시 서초구,방배동,대지,562,1,방배대우아파트,공동주택,공동주택,0,0,19,38,0
27,총괄표제부,서울특별시 서초구,방배동,대지,772,13,,공동주택,아파트,,,,,
28,총괄표제부,서울특별시 서초구,방배동,대지,880,4,,공동주택,공동주택,0,0,0,0,0
29,총괄표제부,서울특별시 서초구,방배동,대지,1344,0,방배1차현대아파트,공동주택,공동주택,0,0,708,90,798
30,총괄표제부,서울특별시 서초구,방배동,대지,2525,0,방배우성아파트,공동주택,공동주택,0,0,0,0,0
31,총괄표제부,서울특별시 서초구,반포동,대지,89,2,,공동주택,공동주택,0,0,20,0,0
32,총괄표제부,서울특별시 서초구,반포동,대지,814,0,,공동주택,"공동주택, 상가",0,0,0,0,0
33,총괄표제부,서울특별시 서초구,서초동,대지,1509,79,,공동주택,공동주택,0,0,0,0,0
34,총괄표제부,서울특별시 서초구,서초동,대지,1520,1,,공동주택,공동주택,0,0,0,0,0
35,총괄표제부,서울특별시 서초구,서초동,대지,1436,14,서초동 아아파크,공동주택,공동주택(아파트),,,293,7,300
36,총괄표제부,서울특별시 서초구,방배동,대지,957,7,대성아파트,공동주택,아파트,,,42,,60
37,총괄표제부,서울특별시 서초구,잠원동,대지,15,2,트리플 수,공동주택,공동주택,,,,14,14
38,총괄표제부,서울특별시 서초구,방배동,대지,881,26,방배2차e-편한세상,공동주택,"공동주택,아파트",,,227,,227
39,총괄표제부,서울특별시 서초구,반포동,대지,79,5,반포동 피카소빌,공동주택,공동주택(아파트),,,28,13,41
40,총괄표제부,서울특별시 서초구,방배동,대지,987,12,,공동주택,공동주택,,,,11,11
41,총괄표제부,서울특별시 서초구,잠원동,대지,50,1,롯데캐슬갤럭시,공동주택,공동주택,,,853,,853
42,총괄표제부,서울특별시 서초구,서초동,대지,1427,7,한승 미메이드,공동주택,공동주택,0,0,8,16,24
43,총괄표제부,서울특별시 서초구,서초동,대지,1359,47,롯데 뉴빌리지,공동주택,공동주택,,,11,,11
44,총괄표제부,서울특별시 서초구,서초동,대지,1359,5,롯데 뉴빌리지,공동주택,공동주택,,,11,,11
45,총괄표제부,서울특별시 서초구,방배동,대지,1008,2,래미안방배아트힐,공동주택,"공동주택(아파트,생활편익시설)",,,1107,137,1244
46,총괄표제부,서울특별시 서초구,방배동,대지,1007,1,,공동주택,연립주택,,,,,
47,총괄표제부,서울특별시 서초구,우면동,대지,57,0,대림아파트,공동주택,"공동주택, 상가",0,0,331,322,653
48,총괄표제부,서울특별시 서초구,우면동,대지,59,0,동고아파트,공동주택,"공동주택, 상가",0,0,99,182,281
49,총괄표제부,서울특별시 서초구,방배동,대지,1011,1,임광아파트,공동주택,공동주택,0,0,0,0,0
50,총괄표제부,서울특별시 서초구,방배동,대지,1015,0,임광아파트,공동주택,공동주택,0,0,0,0,0
51,총괄표제부,서울특별시 서초구,방배동,대지,1019,11,,공동주택,공동주택,0,0,0,2,2
52,총괄표제부,서울특별시 서초구,방배동,대지,1023,7,,공동주택,공동주택,0,0,0,4,4
53,총괄표제부,서울특별시 서초구,방배동,대지,1023,8,,공동주택,공동주택,0,0,0,0,0
54,총괄표제부,서울특별시 서초구,방배동,대지,1038,0,대우효령아파트,공동주택,"공동주택, 판매시설",0,0,0,0,0
55,총괄표제부,서울특별시 서초구,방배동,대지,1010,1,방배임광아파트,공동주택,공동주택,0,0,0,0,0
56,총괄표제부,서울특별시 서초구,방배동,대지,978,9,,공동주택,공동주택,0,0,0,0,0
57,총괄표제부,서울특별시 서초구,방배동,대지,980,7,,공동주택,공동주택,0,0,0,0,0
58,총괄표제부,서울특별시 서초구,방배동,대지,980,27,,공동주택,공동주택,0,0,0,0,0
59,총괄표제부,서울특별시 서초구,방배동,대지,981,50,,공동주택,공동주택,0,0,0,0,0
60,총괄표제부,서울특별시 서초구,방배동,대지,982,1,방배현대멤피스2,공동주택,공동주택(아파트),0,0,227,0,227
61,총괄표제부,서울특별시 서초구,방배동,대지,983,22,방배동빌라,공동주택,공동주택,0,0,0,0,0
62,총괄표제부,서울특별시 서초구,방배동,대지,1000,3,,공동주택,공동주택,0,0,0,0,0
63,총괄표제부,서울특별시 서초구,방배동,대지,1000,4,,공동주택,공동주택,0,0,0,0,0
64,총괄표제부,서울특별시 서초구,방배동,대지,834,21,,공동주택,공동주택,0,0,0,0,0
65,총괄표제부,서울특별시 서초구,서초동,대지,1529,0,서초2차 이-편한세상,공동주택,공동주택,,,230,25,255
66,총괄표제부,서울특별시 서초구,서초동,대지,1620,20,서초동 롯데캐슬 리버티,공동주택,공동주택(아파트),,,212,18,230
67,총괄표제부,서울특별시 서초구,방배동,대지,3276,0,방배한진로즈힐아파트,공동주택,공동주택(아파트),,,112,,112
68,총괄표제부,서울특별시 서초구,방배동,대지,899,16,브라운스톤 방배,공동주택,"공동주택(아파트),생활편익시설",,,155,40,195
69,총괄표제부,서울특별시 서초구,서초동,대지,1458,6,서초지웰,공동주택,"공동주택(아파트), 제1,2종근린생활시설",,,79,,79
70,총괄표제부,서울특별시 서초구,방배동,대지,883,9,황실자이,공동주택,공동주택(아파트),,,186,,186
71,총괄표제부,서울특별시 서초구,서초동,대지,1467,62,서초5차대림이-편한세상,공동주택,공동주택(아파트),,,397,,397
72,총괄표제부,서울특별시 서초구,서초동,대지,1420,18,서초신원아침도시2차,공동주택,공동주택(아파트),,,74,33,107
