순번,대장종류,시군구명,법정동명,대지구분,본번,부번,건물명,주용도,기타용도,옥내 기계식 대수,옥외 기계식 대수,옥내 자주식 대수,옥외 자주식 대수,총 주차수
1,총괄표제부,서울특별시 중랑구,상봉동,대지,496,0,상봉동 우정아파트,공동주택,공동주택(아파트),0,0,373,69,442
2,총괄표제부,서울특별시 중랑구,중화동,대지,195,2,,공동주택,연립주택,,,,,
3,총괄표제부,서울특별시 중랑구,신내동,대지,660,0,신내아파트,공동주택,아파트,0,0,82,300,382
4,총괄표제부,서울특별시 중랑구,묵동,대지,378,0,묵동한국아파트,공동주택,공동주택(아파트),0,0,244,21,270
5,총괄표제부,서울특별시 중랑구,면목동,대지,715,0,면목동 늘푸른 동아 아파트,공동주택,공동주택,,,538,94,632
6,총괄표제부,서울특별시 중랑구,면목동,대지,1516,0,면목동삼익아파트,공동주택,공동주택(아파트)+부대복리시설,0,0,220,13,233
7,총괄표제부,서울특별시 중랑구,망우동,대지,620,0,중랑숲 시티프라디움,공동주택,공동주택(아파트),,,412,2,415
8,총괄표제부,서울특별시 중랑구,면목동,대지,1531,0,면목마젤란21 아파트,공동주택,공동주택(아파트),,,118,93,216
9,총괄표제부,서울특별시 중랑구,신내동,대지,795,0,새한아파트,공동주택,공동주택및 부대복리시설,0,0,501,109,610
10,총괄표제부,서울특별시 중랑구,면목동,대지,1513,0,면목동삼호아파트,공동주택,공동주택 및 생활편익시설,0,0,73,95,168
11,총괄표제부,서울특별시 중랑구,면목동,대지,494,0,,공동주택,아파트,,,165,159,324
12,총괄표제부,서울특별시 중랑구,신내동,대지,317,0,데시앙,공동주택,공동주택(아파트),,,1177,348,1525
13,총괄표제부,서울특별시 중랑구,면목동,대지,1548,0,쌍용 더 플래티넘 용마산,공동주택,공동주택(아파트),,,287,4,291
14,총괄표제부,서울특별시 중랑구,면목동,대지,1382,0,면목임대아파트,공동주택,아파트,0,0,0,0,0
15,총괄표제부,서울특별시 중랑구,망우동,대지,411,9,미래하이츠,공동주택,도시형생활주택(단지형다세대주택15),,,6,5,11
16,총괄표제부,서울특별시 중랑구,면목동,대지,527,39,성진듀얼팰리스 2차,공동주택,도시형생활주택(공동주택-다세대)+근린생활시설,,,19,,19
17,총괄표제부,서울특별시 중랑구,면목동,대지,507,3,,공동주택,다세대주택,,,,,
18,총괄표제부,서울특별시 중랑구,면목동,대지,1528,0,면목동금호어울림아파트,공동주택,공동주택,,,185,17,202
19,총괄표제부,서울특별시 중랑구,면목동,대지,1515,0,성원아파트,공동주택,공동주택(아파트),0,0,0,0,0
20,총괄표제부,서울특별시 중랑구,면목동,대지,1525,0,용마산 금호 어울림 아파트,공동주택,공동주택(아파트),,,196,5,201
21,총괄표제부,서울특별시 중랑구,면목동,대지,1502,0,,공동주택,아파트,,,,,9
22,총괄표제부,서울특별시 중랑구,면목동,대지,67,3,,공동주택,연립주택,,,,,
23,총괄표제부,서울특별시 중랑구,면목동,대지,20,2,,공동주택,다세대주택,,,,,
24,총괄표제부,서울특별시 중랑구,면목동,대지,175,17,더베스트빌,공동주택,공동주택(도시형생활주택-단지형다세대)+업무시설(오피스텔)+근린생활시설,12,,9,2,23
25,총괄표제부,서울특별시 중랑구,면목동,대지,581,0,대원 칸타빌 아파트,공동주택,공동주택,,,305,25,330
26,총괄표제부,서울특별시 중랑구,망우동,대지,574,0,금호아파트,공동주택,아파트,0,0,64,17,81
27,총괄표제부,서울특별시 중랑구,신내동,대지,437,0,벽산아파트,공동주택,공동주택 및 부대복리시설,0,0,293,38,338
28,총괄표제부,서울특별시 중랑구,망우동,대지,573,0,신원아파트,공동주택,아파트+부대복리시설,0,0,136,56,192
29,총괄표제부,서울특별시 중랑구,면목동,대지,1510,0,"면목두산아파트201동,202동",공동주택,아파트,0,0,83,318,401
30,총괄표제부,서울특별시 중랑구,묵동,대지,379,0,극동늘푸른아파트,공동주택,공동주택(아파트)+생활편익시설,0,0,154,29,185
31,총괄표제부,서울특별시 중랑구,면목동,대지,1550,0,봄작시티 50,공동주택,공동주택(도시형생활주택-단지형다세대)+업무시설(오피스텔)+근린생활시설,,,88,8,98
32,총괄표제부,서울특별시 중랑구,면목동,대지,1551,0,봄작시티 52,공동주택,공동주택(도시형생활주택-단지형다세대)+업무시설(오피스텔)+근린생활시설,,,93,4,99
33,총괄표제부,서울특별시 중랑구,상봉동,대지,81,5,한일써너스빌,공동주택,공동주택+업무시설,267,,524,,791
34,총괄표제부,서울특별시 중랑구,면목동,대지,180,68,봄작시티 48,공동주택,공동주택(도시형생활주택-단지형다세대)+근린생활시설+업무시설,,,32,,32
35,총괄표제부,서울특별시 중랑구,신내동,대지,661,0,신내대명아파트,공동주택,아파트,0,0,55,333,388
36,총괄표제부,서울특별시 중랑구,신내동,대지,393,18,남양아트빌,공동주택,다세대주택,,,17,3,20
37,총괄표제부,서울특별시 중랑구,상봉동,대지,484,0,"쌍용아파트,엘지아파트",공동주택,공동주택(아파트),0,0,645,187,832
38,총괄표제부,서울특별시 중랑구,상봉동,대지,481,0,신내아파트,공동주택,아파트,0,0,117,134,234
39,총괄표제부,서울특별시 중랑구,묵동,대지,381,0,신안1차아파트,공동주택,공동주택(아파트)+생활평익시설,0,0,305,47,356
40,총괄표제부,서울특별시 중랑구,묵동,대지,385,0,묵동 아이파크,공동주택,공동주택(아파트),0,0,705,80,796
41,총괄표제부,서울특별시 중랑구,신내동,대지,657,0,신내아파트,공동주택,아파트,0,0,260,452,0
42,총괄표제부,서울특별시 중랑구,신내동,대지,397,0,,공동주택,아파트,,,262,624,
43,총괄표제부,서울특별시 중랑구,신내동,대지,783,0,성원아파트,공동주택,아파트,,,231,335,566
44,총괄표제부,서울특별시 중랑구,신내동,대지,640,0,신내글로리움,공동주택,공동주택(아파트),,,261,,261
45,총괄표제부,서울특별시 중랑구,신내동,대지,656,0,화성.두산아파트,공동주택,아파트,0,0,328,358,0
46,총괄표제부,서울특별시 중랑구,망우동,대지,580,1,중랑숲금호어울림,공동주택,공동주택(아파트),,,132,6,138
47,총괄표제부,서울특별시 중랑구,망우동,대지,608,0,LH서울양원1단지,공동주택,공동주택(아파트),,,486,210,696
48,총괄표제부,서울특별시 중랑구,망우동,대지,236,7,대보아파트,공동주택,,0,0,0,0,0
49,총괄표제부,서울특별시 중랑구,망우동,대지,238,2,신일빌라,공동주택,,0,0,0,0,0
50,총괄표제부,서울특별시 중랑구,망우동,대지,226,0,경남아파트,공동주택,,0,0,0,0,0
51,총괄표제부,서울특별시 중랑구,묵동,대지,161,4,,공동주택,아파트,,,,,
52,총괄표제부,서울특별시 중랑구,중화동,대지,316,1,가현월디움(5차),공동주택,공동주택(도시형생활주택)+근린생활시설,,,10,10,20
53,총괄표제부,서울특별시 중랑구,중화동,대지,330,15,새울센스빌,공동주택,도시형생활주택(단지형다세대주택),,,,21,21
54,총괄표제부,서울특별시 중랑구,망우동,대지,580,0,중랑숲금호어울림,공동주택,공동주택(아파트)+근린생활시설,,,658,31,703
55,총괄표제부,서울특별시 중랑구,묵동,대지,392,0,묵동월드메르디앙아파트,공동주택,아파트,,,86,72,158
56,총괄표제부,서울특별시 중랑구,면목동,대지,193,1,,공동주택,다세대주택,,,,,
57,총괄표제부,서울특별시 중랑구,묵동,대지,247,99,,공동주택,다세대주택,,,,,
58,총괄표제부,서울특별시 중랑구,면목동,대지,1520,0,일신강변아파트,공동주택,공동주택(아파트),0,0,0,58,62
59,총괄표제부,서울특별시 중랑구,중화동,대지,332,58,백운빌라,공동주택,공동주택(다세대),0,0,0,14,14
60,총괄표제부,서울특별시 중랑구,중화동,대지,332,155,백운빌라,공동주택,공동주택(다세대),0,0,14,0,14
61,총괄표제부,서울특별시 중랑구,면목동,대지,198,56,강변캐슬,공동주택,도시형생활주택(단지형다세대주택),,,8,8,16
