주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
1,성북동청사 공동(건축식) 주차장,노외,건축식,성북1동 1가 117-1,성북구 성북로37(성북동1가),35,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5909972,127.0031994,2016-01-01
2,우리마을 공동(제9호) 주차장,노외,지평식,성북동349-19,,24,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,-,-,2016-01-01
3,우리마을 공동(제10호) 주차장,노외,지평식,성북동4(성락원앞),성북구 선잠로2길 29-4(성북동),9,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5959784,126.9991212,2016-01-01
4,삼선동 공동 주차장,노외,지평식,"삼선동2가278-5,6",성북구 삼선교로10바길 17(삼선동2가),21,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5848836,127.0097118,2016-01-01
5,청기와타운 공동 주차장,노외,지평식,동선동4가313-1,,16,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5960939,127.0193718,2016-01-01
6,청기와 공동 주차장,노외,지평식,동선동5가 4-3,,4,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,-,-,2016-01-01
7,우리마을 공동(제2호) 주차장,노외,지평식,동선동4가 302,,5,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.5958022,127.0197443,2016-01-01
8,서경대입구 공동 주차장,노외,지평식,정릉1동 227-42,,6,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6108487,127.0146012,2016-01-01
9,정릉2동 공동 주차장,노외,지평식,정릉2동 410-45,,11,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6092508,127.0114727,2016-01-01
10,정릉시장 공동 주차장,노외,지평식,정릉3동 374-11,,14,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6084846,127.0068231,2016-01-01
11,정릉3동 공동(건축식) 주차장,노외,건축식,정릉3동 712-9,,27,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.611138,127.0059643,2016-01-01
12,성원아파트 공동 주차장,노외,지평식,정릉3동 383-83,,4,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6068273,127.0086434,2016-01-01
13,정릉희망하우징,노외,지평식,정릉로 199,,10,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6069334,127.006891,2016-01-01
14,우리마을 공동(제8호) 주차장,노외,지평식,정릉3동 647-39,,7,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6074217,127.0022968,2016-01-01
15,우리마을 공동(제11호) 주차장,노외,지평식,정릉3동 745,,7,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6129775,127.0050207,2016-01-01
16,정릉4동 공동(건축식) 주차장,노외,건축식,정릉4동 266-56외3필지,,70,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6125383,127.0061525,2016-01-01
17,우리마을 공동(제3호) 주차장,노외,지평식,정릉4동 791-1 ,,14,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.61744,127.0019925,2016-01-01
18,우리마을 공동(제17호),노외,지평식,정릉동 802외 2,,3,5,시행안함,월~일,"전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일:24:00주간:08:00야간:19:00","주간:19:00야간:08:00","전일 : 65,000주간 : 39,000야간 : 26,000",없음,없음,0,0,없음,없음,"전일 : 65,000주간 : 39,000야간 : 26,000","지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차팀,02-962-2008,37.6182871,127.0022504,2016-01-01
