주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
1,경동고교 부설(야간전용),노외,지평식,삼선동3가 43-1,보문로29길 49,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58660187,127.016032,2026-02-24
2,광남제니텔,노외,기계식,삼선동5가 298-10,보문로 167,15,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58912104,127.0160733,2026-02-24
3,길음교하단(길음동 877-181),노외,지평식,길음동 877-181,동소문로 225-7,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60208011,127.0211143,2026-02-24
4,돌곶이로 27가길(사랑제일교회밑,노외,지평식,장위동 69-72,돌곶이로 27가길,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6133019,127.0531901,2026-02-24
5,돌곶이로 34길 4-11(진흥선원(공,노외,지평식,장위동 76-59,돌곶이로 34길 4-11,22,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61560206,127.0532016,2026-02-24
6,돌곶이로 38길(제2공동(270-214),노외,지평식,석관동 306-6,돌곶이로 38길,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61734056,127.0492695,2026-02-24
7,동소문로 43나길6-2(구등기소(공,노외,지평식,동소문동4가 75,동소문로 43나길6-2,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60795268,127.0268531,2026-02-24
8,동소문로13나길 15-9(동소문6가2,노외,지평식,동소문6가2,동소문로13나길 15-9,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59254876,127.0132592,2026-02-24
9,동소문로316(현대백화점 별관 부,노외,건축식,하월곡동 88-198,동소문로316,20,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60762835,127.029731,2026-02-24
10,래미안석관,노외,지평식,석관동 407,화랑로 214,22,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60935253,127.0555357,2026-02-24
