공영주차장 현황,,,,,,,,,
구분,,소재지,면적(㎡),총면수,실 주차면수,만차시 면수,장애인면수,경차면수,비고
대포지구,소계,,"28,106㎡",957,921,982,44,,
,대포1주차장,대포동 A2-2블럭 가반시설,"8,398㎡",290,295,320,14,,
,대포2주차장,대포동 966-7 ,"5,940㎡",193,192,200,8,,
,대포3주차장,대포동 972 ,"8,556㎡",293,276,290,13,,
,대포4주차장,대포동 970,"2,612㎡",76,76,80,3,,
,설악항주차장,대포178-9외1,"2,600㎡",105,82,92,6,7,
속초해변,소계,,"17,925㎡",546,501,545,23,27,
,해수욕장1,조양동 1450/2,"10,013㎡",239,233,260,12,12,
,해수욕장2,조양동 1450/8,"5,901㎡",195,165,180,6,10,
,해수욕장3,조양동 1469,"2,011㎡",112,103,105,5,5,
,해수욕장4,미운영,,,,,,,
