주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,운영요일,주차기본요금(원),추가단위시간,추가단위요금(원),1일주차권요금적용시간, 1일주차권요금(원) ,월정기권요금(원),결제방법,관리기관명,전화번호,데이터기준일자
1,농수산물도매시장,공영,부설,권선구 세권로 243(권선동),권선구 세권로 243(권선동),748,2,연중무휴,최초 1시간 무료,10분,200,24시간,6000 ,공무원 10000,카드전용,수원도시공사,031-267-2036,2025-12-29
2,선경도서관,공영,부설,팔달구 신풍로 23번길 68(신풍동),팔달구 신풍로 23번길 68(신풍동),65,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
3,시청·시의회 부설주차장,공영,부설,팔달구 인계동 1028-1,팔달구 인계동 1028-1,251,1,연중무휴,30분무료,10분,500,24시간,10000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
4,시청별관 지하주차장,공영,부설,팔달구 인계동 1111,팔달구 인계동 1111,358,1,연중무휴,30분무료,10분,500,24시간,10000 ,공무원 12000,카드전용,수원도시공사,031-695-0930,2025-12-29
5,시청본관주차장,공영,부설,팔달구 인계동 1111,팔달구 인계동 1111,91,1,연중무휴,30분무료,10분,500,24시간,10000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
6,시의회 지하주차장,공영,부설,팔달구 인계동 1028,팔달구 인계동 1028,151,1,연중무휴,30분무료,10분,500,24시간,10000 ,공무원 12000,카드전용,수원도시공사,031-695-0930,2025-12-29
7,영통구청,공영,부설,영통구 효원로 407(매탄동),영통구 효원로 407(매탄동),292,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
8,화성박물관(팔달구청),공영,부설,팔달구 창룡대로 21,팔달구 창룡대로 21,368,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
9,권선구청,공영,부설,권선구 호매실로 12,권선구 호매실로 12,258,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
10,광교홍재도서관,공영,부설,영통구 대학로88,영통구 대학로88,53,2,"07:00~23:00(운영시간외, 월공 폐쇄)",최초 1시간 무료,10분,300,24시간,7000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
11,일월수목원,공영,부설,장안구 천천동 430,장안구 천천동 430,134,수목원,연중무휴,30분무료,3시간,2000,24시간,5000 ,공무원 10000,카드전용,수원도시공사,031-695-0930,2025-12-29
12,꽃뫼환승,공영,노외,팔달구 화서동 689-19,팔달구 화서동 689-19,136,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
13,성대환승(구),공영,노외,장안구 율전동 192-2,장안구 율전동 192-2,160,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
14,성균관대역환승(신),공영,노외,장안구 율전동 301-1,장안구 율전동 301-1,191,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
15,세류역환승,공영,노외,권선구 장지동 45-1,권선구 장지동 45-1,136,2,연중무휴,최초 1시간 무료,10분,300,24시간,7000 ,"주간60,000/야간40,000/전일70,000",카드전용,수원도시공사,031-695-0930,2025-12-29
16,화서환승,공영,노외,팔달구 화서동 643,팔달구 화서동 643,289,1,연중무휴,최초 1시간 무료,10분,500,24시간,10000 ,"주간70,000/야간50,000/전일80,000",카드전용,수원도시공사,031-695-0930,2025-12-29
17,광교공영,공영,노외,장안구 하광교동 393-2,장안구 하광교동 393-2,360,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
18,만석공원 제5,공영,노외,장안구 송죽동 417-24,장안구 송죽동 417-24,104,3,연중무휴,최초 1시간 무료,10분,100,24시간,4000 ,"주간35,000/야간20,000/전일40,000",카드전용,수원도시공사,031-695-0930,2025-12-29
