감면항목,감면요율,감면설명,비고
긴급자동차 및 국가 또는 지방자치단체 공무수행 차량,100%,시흥시 조례기반,
"국가유공자, 독립유공자, 장애인(중증),참전유공자,고엽제,5.18,특수임무,의사상자,국군포로",100%,시흥시 조례기반,
"경차,저공해자동차,친환경자동차",60%,시흥시 조례기반,
전기자동차,2시간 무료 후 60%,시흥시 조례기반,
장애인(경증),2시간 무료 후 50%,시흥시 조례기반,
"성실,모범,유공납세자로 성실납세자 스티커 부착 차량",2시간 무료 후 50%,시흥시 조례기반,
자원봉사자로 시장이 교부한 감면카드 소지 운전자,2시간 무료 후 50%,시흥시 조례기반,
두자녀 이상으로 다자녀가정 우대카드 소지자,2시간 무료 후 50%,시흥시 조례기반,
전통시장 이용차량,50%,시흥시 조례기반,
"시책(자가용 10부제, 승용차 함께타기, 대중교통이용의날 등) 참여 차량",20%,시흥시 조례기반,
선거관리위원회가 발행한 투표확인증 제출한 자,2000원,시흥시 조례기반,해당 선거일이 속한 달을 포함하여 3개월 내 1회 한정
"장기 기증등록자, 장기기증희망자 또는 기증자 탑승 차량",2시간 무료 후 50%,시흥시 조례기반,
승용차요일제 참여차량,30%,시흥시 조례기반,
병역명문가 예우대상자의 차량,50%,시흥시 조례기반,
시흥시 소속행정기관 이용고객,1시간 면제,시흥시 조례기반,
연 3회 이상 헌혈시 헌혈자 운전차량,2시간 무료 후 50%,시흥시 조례기반,
지역경제 활성화를 위해 필요한 경우,점심시간대(11시30분~13시30분) 100% 무료,시흥시 조례기반,
