구분,유료구분,주차장명,주소,주차면,운영시간,기준일자
노상,무료,대야우회 노상(거주자),대야동 산170-49,123,24시간,2024-12-31
노상,무료,은행동순환로 노상,은행지구내 노상,53,24시간,2024-12-31
노상,무료,시화공단내 도로,시화공단 일원,"4,261",24시간,2024-12-31
노상,무료,정왕동주거지역내 노상,원룸주택 일원,496,24시간,2024-12-31
노상,무료,정왕동46블록 노상,시화병원 주변,40,24시간,2024-12-31
노상,무료,정왕동48블록 노상,산업은행 주변,132,24시간,2024-12-31
노상,무료,정왕동49블록 노상,이마트 주변,185,24시간,2024-12-31
노상,무료,정왕동51블록 노상,시흥관광호텔,187,24시간,2024-12-31
노상,무료,정왕우체국 노상,"정왕동 1216,1219",115,24시간,2024-12-31
노상,무료,월곶 노상,월곶동 1020-1 일대,510,24시간,2024-12-31
노상,무료,정왕4동상업지역 노상,정왕4동 상업지역,182,24시간,2024-12-31
노상,무료,장곡동상업지역 노상,장곡동 상업지역,183,24시간,2024-12-31
노상,무료,신현동(임시) 노상,매화동 816-20 외 2필지,55,24시간,2024-12-31
노상,무료,정왕동 완충녹지 노상(곰솔누리숲),정왕동 2165-3,100,24시간,2024-12-31
노상,무료,스마트허브 노상(옥구천로),옥구천2교~5교 일원,180,24시간,2024-12-31
노상,무료,물왕저수지(따오기공원 인근) 노상,물왕동 61-1,29,24시간,2024-12-31
노상,무료,오이도 생산기술연구원 앞노상,정왕동 2231번지,58,24시간,2024-12-31
노상,무료,물왕저수지 노상,물왕동 175-6 일원,130,24시간,2024-12-31
노상,무료,논곡경로당 앞 노상,논곡동 179-17 일원,42,24시간,2024-12-31
노외,무료,신흥공원,신천동 820-4,40,24시간,2024-12-31
노외,무료,정왕제3 노외,정왕동 2155,155,24시간,2024-12-31
노외,무료,정왕제5 노외,정왕동 1408-9,13,24시간,2024-12-31
노외,무료,하중제1 노외,하중동 824-3,19,24시간,2024-12-31
노외,무료,거모제2 노외,거모동 1754-2,36,24시간,2024-12-31
노외,무료,거모제 4노외(군자공고),거모동 1713-3,31,24시간,2024-12-31
노외,무료,정왕동봉우재 노외,정왕동 2248,38,24시간,2024-12-31
노외,무료,정왕동제8-1 노외,정왕동 2324-1,12,24시간,2024-12-31
노외,무료,정왕동제8-2 노외,정왕동 2324-3,7,24시간,2024-12-31
노외,무료,매화동 노외,매화동 190-4,51,24시간,2024-12-31
노외,무료,오이도 노외(옥터초교),정왕동 2019-7,27,24시간,2024-12-31
노외,무료,희망동산공원 노외,정왕동 2123-7,30,24시간,2024-12-31
노외,무료,방산공영 노외,방산동 262-22,16,24시간,2024-12-31
노외,무료,능곡임시노외(노인복지회관),능곡동 612,45,24시간,2024-12-31
노외,무료,목감 제6공영(P8),조남동 713,14,24시간,2024-12-31
노외,무료,목감 제7공영 (P9)(연세치과)-임시,목감동 409,33,24시간,2024-12-31
노외,무료,목감지구 공영(P6),조남동 708,20,24시간,2024-12-31
노외,무료,은계 P2,은행동 610-1,45,24시간,2024-12-31
노외,무료,은계지구 공영(P3),대야동 656,30,24시간,2024-12-31
노외,무료,은계 P5,은행동 639-4,17,24시간,2024-12-31
노외,무료,대야2지구 (순복음천향교회),대야동 707,21,24시간,2024-12-31
노외,무료,대야동 구 한전부지 임시,대야동 485-10,32,24시간,2024-12-31
노외,무료,대야동 임시,대야동 694-8,8,24시간,2024-12-31
노외,무료,P15(MTV),정왕동 2720-5,67,24시간,2024-12-31
노외,무료,P17(MTV),정왕동 2718-9,32,24시간,2024-12-31
노외,무료,장현 P7,장현동 612-10,28,24시간,2024-12-31
노외,무료,대야2지구 1,대야동 709,16,24시간,2024-12-31
노외,무료,P16 임시(MTV),정왕동 2698-1,100,24시간,2024-12-31
노외,무료,장현 P8 임시,장곡동 859,59,24시간,2024-12-31
노외,무료,은계 P10 임시,은행동 672-7,45,24시간,2024-12-31
노외,무료,은계수변공원 1호,계수동 601-4,65,24시간,2024-12-31
노외,무료,은계수변공원 2호,계수동 460,112,24시간,2024-12-31
노외,무료,상생파킹몰,정왕동 1799-11 ,133,24시간,2024-12-31
노외,무료,MTV P8,정왕동 2762,34,24시간,2024-12-31
노외,무료,새미지구,거모동 1872,21,24시간,2024-12-31
노외,무료,정왕동 노외,정왕동 1287-7,46,24시간,2024-12-31
노외,무료,MTV P6,정왕동 2808-3,25,24시간,2024-12-31
노외,무료,MTV P9,정왕동 2780,22,24시간,2024-12-31
노외,무료,MTV P10,정왕동 2792,22,24시간,2024-12-31
노외,무료,장곡동 생태1,장곡동 724-29 일원,115,24시간,2024-12-31
노외,무료,장곡동 생태2,장곡동 724-45,48,24시간,2024-12-31
나눔주차장,무료,나눔 제1호,장현동 545-3,12,24시간,2024-12-31
나눔주차장,무료,나눔 제2호,장현동 548-2,18,24시간,2024-12-31
나눔주차장,무료,나눔 제3호,정왕동 2295-3,11,24시간,2024-12-31
나눔주차장,무료,나눔 제4호,정왕동 2317-12,14,24시간,2024-12-31
나눔주차장,무료,나눔 제5호,정왕동 1537-17,10,24시간,2024-12-31
나눔주차장,무료,나눔 제6호,정왕동 2123-15,25,24시간,2024-12-31
나눔주차장,무료,나눔 제7호,논곡동 256-39,7,24시간,2024-12-31
나눔주차장,무료,나눔 제8호,정왕동 2317-13,17,24시간,2024-12-31
나눔주차장,무료,나눔 제9호,정왕동 509-5,9,24시간,2024-12-31
나눔주차장,무료,나눔 제10호,정왕동 2296-2,14,24시간,2024-12-31
나눔주차장,무료,나눔 제11호,산현동 513번지(P1),19,24시간,2024-12-31
나눔주차장,무료,나눔 제12호,조남동 193(환승),102,24시간,2024-12-31
나눔주차장,무료,나눔 제13호,하중동 390-2,32,24시간,2024-12-31
나눔주차장,무료,나눔 제14호,능곡동 708,25,24시간,2024-12-31
나눔주차장,무료,나눔 제15호,포동 63,5,24시간,2024-12-31
나눔주차장,무료,나눔 제16호,포동 36,7,24시간,2024-12-31
나눔주차장,무료,나눔 제17호,정왕동 2014-12,8,24시간,2024-12-31
나눔주차장,무료,나눔 제18호,능곡동 707,37,24시간,2024-12-31
나눔주차장,무료,나눔 제19호,대야동 420-46,19,24시간,2024-12-31
나눔주차장,무료,나눔 제20호,조남동 664,18,24시간,2024-12-31
나눔주차장,무료,나눔 제21호,매화동 221-11,7,24시간,2024-12-31
나눔주차장,무료,나눔 제22호,대야동 293-13,9,24시간,2024-12-31
