주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,요금정보,1일주차권요금,월정기권요금,결제방법,특이사항,관리기관명,전화번호,데이터기준일자
온양온천시장 공영주차타워,공영,노외,충청남도 아산시 온천동 94-10,173,기타,유료,해당없음,해당없음,카드,없음,아산시시설관리공단,041-533-6995,2025-12-31
전통시장 주차장,공영,노외,충청남도 아산시 온천동 98-15,22,기타,무료,해당없음,해당없음,해당없음,없음,아산시시설관리공단,041-533-6995,2025-12-31
온양온천역 제1공영주차장,공영,노외,충청남도 아산시 온천동 69-14,78,기타,유료,해당없음,해당없음,카드,"풍물 5일장날 이용불가(매월 4, 9, 14,19, 24, 29일)+5일장 전날 22:00까지 미출차 시 견인조치",아산시시설관리공단,041-533-6995,2025-12-31
온양온천역 제2공영주차장,공영,노외,충청남도 아산시 온천동 69-14,19,기타,유료,해당없음,해당없음,카드,"풍물 5일장날 이용불가(매월 4, 9, 14,19, 24, 29일)+5일장 전날 22:00까지 미출차 시 견인조치",아산시시설관리공단,041-533-6995,2025-12-31
온양온천역 제3공영주차장,공영,노외,충청남도 아산시 온천동 134-51,12,기타,유료,해당없음,해당없음,카드,"풍물 5일장날 이용불가(매월 4, 9, 14,19, 24, 29일)+5일장 전날 22:00까지 미출차 시 견인조치",아산시시설관리공단,041-533-6995,2025-12-31
온양온천역 제4공영주차장,공영,노외,충청남도 아산시 온천동56-9,97,기타,유료,해당없음,해당없음,카드,없음,아산시시설관리공단,041-533-6995,2025-12-31
방축동 제1공영주차장,공영,노외,충청남도 아산시 방축동 428-30,346,1,무료,해당없음,해당없음,,추후 유료화 예정,아산시시설관리공단,041-533-6995,2025-12-31
아산시청 부설주차장,공영,부설,충청남도 아산시 온천동 1626 일원,792,기타,혼합,7000,해당없음,카드,요금징수 평일 08:00~19:00,아산시시설관리공단,041-545-6997,2025-12-31
배방읍 행정복지센터 부설주차장,공영,부설,충청남도 아산시 배방읍 배방로 38,57,기타,혼합,7000,해당없음,카드,요금징수 평일 08:00~19:00,아산시시설관리공단,041-531-6997,2025-12-31
캠핑용자동차 전용공영주차장,공영,노외,충청남도 아산시 염치읍 서원리 산10-5번지,29,1,유료,,80000,카드 및 계좌이체,정기권(아산시민 60000),아산시시설관리공단,041-531-6997,2025-12-31
북수리 제1공영주차장,공영,노외,충청남도 아산시 배방읍 북수리 1122번지,97,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
온천동 제2공영주차장,공영,노외,충청남도 아산시 온천동 2829번지,83,1,유료,10000,80000,카드,"30분 초과 1시간 이내 10분마다 200원+1시간초과10분마다 300원+1일주차권(감면대상 5000)+정기권(주간 60000, 야간 30000)+감면대상50% 감면",아산시시설관리공단,041-531-6997,2025-12-31
