구분,형식,주차장명,소재지주소,급지,주차면수(면),주차장 면적(미터제곱),운영시간(시간),요금정보,주차기본시간(무료),추가단위시간(분),추가단위요금,1일 주차요금(원),결제방법
노외,건축식,공도저류지 공영주차장,공도읍 만정리 819번지,1,200,4489,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,금산동 공영주차장,금산동 8번지,1,18,698,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,대덕면 내리 공영주차장,대덕면 내리 681-12,2,38,1191,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",6000,카드결제
노외,건축식,석정동 공영주차장,석정동 11-1번지,1,52,851,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,원곡면 공영주차장,원곡면 외가천리208,2,86,2990,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",6000,카드결제
노외,지평식,대덕 광덕 공영주차장,대덕면 내리 322-12,2,49,1623,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",6000,카드결제
노외,지하식,안성맞춤 공감센터 공영주차장,낙원동 68-1,1,67(부설포함),1821,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,아양지구 제3공영주차장,옥산동 596,1,65,1785,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,아양지구 제2공영주차장,옥산동 546,1,39,1277,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,건축식,동본동 주차장,동본동 21,1,72,1987,24,유료,30분 미만,30,"2시간 까지 500원, 2시간 초과 2,000원",10000,카드결제
노외,지평식,안성 제2산업단지 공영주차장,미양면 계륵리 80-13,3,288,12882,24,유료,30분 미만,30,"2시간 까지 200원, 2시간 초과 1,000원",5000,카드결제
