영등포구 공영 노외주차장 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 연번 , 주차장명 , 급지 , 소재지(지번) , 소재지(동별) , 면적(m2) , 면수 , 주차요금 ,,,, 인수일자 , 설치일자 , 비고 ,
,,,,,,, 시간권 , 월정기권 ,,,,,,
,,,,,,, 5분당 , 전일 , 주간 , 야간 ,,,,
 계 , 29개소 ,,,,," 2,664 ",, 24시간 , 8:30~18:30 , 18:30~8:30 ,,,,
 1 , 영등포본동제1공영 , 4 , 영등포동592-10 , 영등포본동 ," 3,466 ", 194 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 ," 2000.12.23(평면)2003.12.31(입체)평면→입체 ", 舊.영등포1동 ,
 2 , 영등포동제1공영 , 3 , 영등포동2가230-3 , 영등포동 , 860 , 34 , 150 ," 140,000 "," 100,000 "," 40,000 ", 2004.7.1 , 1999.9.1 , 舊.영등포2동 ,
 3 , 영등포동제2공영 , 4 , 영등포7가29-122 , 영등포동 , 645 , 28 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 , 1999.11.15 ," 舊.영등포3동전통시장에위탁 ",
 4 , 당산1동 , 4 , 당산동3가6-1 , 당산1동 ," 2,335 ", 91 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 , 2001.12.1 ,,
 5 , 당산2동 , 3 , 당산동121-105 , 당산2동 , 780 , 30 , 150 ," 140,000 "," 100,000 "," 40,000 ", 2004.7.1 , 2002.5.29 ,,
 6 , 도림동 , 5 , 도림동226-13 , 도림동 , 691 , 26 , 50 ," 50,000 "," 30,000 "," 20,000 ", 2005.1.1 , 1999.11.15 , 舊.도림2동 ,
 7 , 문래동 , 3 , 문래동5가3 , 문래동 ," 1,761 ", 69 , 150 ," 98,000 "," 70,000 "," 28,000 ", 2005.1.1 , 2002.9.9 , 舊.문래2동 ,
 8 , 양평2동 , 4 , 양평동4가96 , 양평2동 ," 1,804 ", 75 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 , 2000.5.15 ,,
 9 , 영등포본동제2공영 , 5 , 신길2동186-355 , 영등포본동 ," 1,170 ", 61 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2004.7.1 ," 2002.7.1(입체)평면→입체 ", 舊.신길2동 ,1
 10 , 신길4동 , 5 , 신길동236-10 , 신길4동 , 713 , 30 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2004.10.6 , 1999.5.1 ,,
 11 , 신길6동 , 5 , 신길동3203-1 , 신길6동 ," 3,172 ", 132 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2005.1.1 , 2001.12.1 ,,
 12 , 대림1동 , 4 , 대림동834-1 , 대림1동 ," 3,478 ", 155 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 ," 1999.12.15(평면)2003.12.22(입체)평면→입체 ",,1
 13 , 대림2동 , 5 , 대림동1072-25 , 대림2동 ," 2,697 ", 154 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2004.7.1 ," 2002.6.24평면→입체 ",,1
 14 , 대림3동 , 5 , 대림동745-1 , 대림3동 ," 2,822 ", 105 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2004.9.1 , 2002.9.1 ,,
 15 , 신길환승(5호선) , 4 , 영등포1가35 , 영등포동 ," 2,692 ", 88 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2004.10.1 , 2001.12.1 ,,
 16 , 신길역사(1호선) , 4 , 신길1동 54-2 , 신길1동 , 850 , 25 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2004.12.10 , 2004.11.16 , 2011.4월 7면 폐쇄 ,
 17 , 영등포구청환승 , 4 , 당산동3가370-4 , 당산1동 ," 1,796 ", 66 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.1.1 , 1998.2.16 ,,
 18 , 도림초교 , 5 , 신길3동 285-1 , 신길3동 ," 4,597 ", 145 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2005.3.23 ," 2002.12.11착공2005.3.7준공 ",,1
 19 , 대림어린이공원 , 4 , 대림1동 870 , 대림1동 ," 6,580 ", 198 , 100 ," 70,000 "," 50,000 "," 20,000 ", 2005.3.31 , 2005.3.14 준공 ,,1
 20 , 신길4동1동1마을공원 , 5 , 신길4동 232-20 , 신길4동 ," 4,603 ", 130 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2006.10.11 ," 2005.8.1착공2006.9.23준공 ",,1
 21 , 영등포여고 , 5 , 영등포본동 184-3 , 영등포본동 ," 3,644 ", 98 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2007. 8. 6 ," 2004.10.28착공2006.12.27준공 ",,1
 22 , 당산근린공원 , 3 , 당산동3가 385 , 당산1동 ," 6,242 ", 190 , 150 ," 100,000 "," 70,000 "," 30,000 ", 2007.12.24 ," 2006.10.11착공2007.12.15준공 ",, 1 
 23 , 대림운동장 , 5 , 대림3동 780 , 대림3동 ," 6,373 ", 192 , 50 ," 65,000 "," 39,000 "," 26,000 ", 2009.04.21 ," 2008.1.11착공2009.4.22준공 ", 2009년 인수 ,1
 24 , 영등포동제3공영 , 2 ,영등포동4가 441-10,영등포동," 6,702 ", 172 , 250 ," 120,000 "," 90,000 "," 30,000 ",2009.8.19,2009.8.5준공,2009년 인수,1
 25 , 신길1동 , 5 , 신길1동 120-82 , 신길1동 , 529 , 18 , - ," 65,000 "," 39,000 "," 26,000 ",2010.07.01,"2010.3.5착공2010.6.29준공", 2010년 인수 ,
