구분,주차장명,소재지주소,주차대수,주차장면적
부설,구성동행정복지센터,기흥구 구성로 77번길 17,74,6060
부설,기흥구보건소,기흥구 신갈로58번길 11,119,4718
부설,기흥구청,기흥구 관곡로 95,245,5379
부설,기흥조정경기장,기흥구 공세동 377-21,126,3650
부설,보정동행정복지센터 ,기흥구 죽전로 40,50,2269
부설,상현2동행정복지센터,수지구 만현로 48,162,6891
부설,수지구청,수지구 포은대로 435,356,13445
부설,수지아르피아,수지구 포은대로 499,507,16170
부설,역북동행정복지센터,처인구 명지로 16,50,3128
부설,용인시청,처인구 중부대로 1199,1177,27890
부설,중앙동행정복지센터,처인구 금령로 90번길 3-20,72,2257
부설,처인구청,처인구 금령로 50,113,4013
부설,평생학습관,"수지구 문정로 7번길 7, 15",518,12382
부설,이동읍행정복지센터,처인구 이동읍 경기동로 673,77,2630
부설,양지면행정복지센터,처인구 양지면 양지로105번길 5,61,1320
부설,죽전1동행정복지센터,수지구 대지로15번길 50,52,2410
부설,동백2동행정복지센터,기흥구 동백중앙로 214,85,3558
부설,마북동행정복지센터,기흥구 구교동로 118번길 16,80,2651
부설,서농동행정복지센터 및 서농도서관,"기흥구 서천서로 79, 83",130,3667
부설,구)용인종합운동장 및 실내체육관,처인구 마평동 704번지 일원 ,298,9387
부설,용인시민체육센터,처인구 포곡읍 금어리 366-1,267,10320
부설,용인시민체육공원,처인구 포곡읍 금어리 366-2,64,1889
부설,용인중앙공원,처인구 김량장동 산37-16일원,86,2900
부설,기흥국민체육센터 통합,"기흥구 영덕동 1208, 1209, 1209-1",114,4312.38
노외,금학공영,처인구 용문로 140,132,4520
노외,기흥역 환승,기흥구 기흥역로 63,130,4496
노외,보정제1공영,기흥구 보정동 1180,53,1243
노외,보정제2공영,기흥구 보정동 1090,245,7400
노외,상갈공영,기흥구 금화로 105번길 3,185,5913
노외,수지노외,수지구 수지로 296번길 일원,22,602
노외,신갈IC공영,기흥구 신갈동 605-9,256,11106
노외,신갈제1공영,기흥구 갈천로 7번길 69,117,3130
노외,신갈제2공영,기흥구 갈천로 7번길 일원,143,2523
노외,유방동제1공영,처인구 유방동 288-3번지,79,2708
노외,유방동제2공영,처인구 유방동 287번지,82,2493
노외,중앙공영 ,처인구 백옥대로 1103,328,9285
노외,풍덕천제1공영,수지구 풍덕천로 189번길 13,250,9619
노외,풍덕천제2공영,수지구 풍덕천동 59-13,50,1874
노외,둔전리 공영,처인구 포곡읍 둔전리 139-6,82,2145
노외,김량장동 임시공영,처인구 김량장동 94-1 일원,16,584
노상,구갈로,기흥구 구갈로 72번길,40,440
노상,마평,처인구 마평동 885번지,54,460
노상,수지,수지구 풍덕천동 789번지,81,750
노상,수지로,수지구 수지로 342번길,24,150
노상,죽전로,기흥구 보정동 1353번지,75,580
노상,현암로,수지구 죽전동 1398번지,52,636
