연번,동,명칭,주소,전화번호,주차면수,급지
1,의정부1동,의정부동지하(시설물주차장),평화로552번길17/의1동199-6,031)828-6852,138,1
2,의정부1동,의정부동입체(시설물주차장),평화로562번길29/의정부1동190-16,031)828-6852,66,1
3,의정부2동,의정부동둔치,의정부동30-38,031)828-6852,241,1
4,장암동,장암동장암역(환승),장암동159,031)828-6852,188,1
5,녹양동,녹양동녹양역(환승),녹양동413,031)828-6852,134,1
6,의정부2동,백석천지하1(시설물주차장),시민로12/의정부동489,031)828-6852,346,1
7,의정부2동,백석천지하2(시설물주차장),시민로19번길13/의정부동488,031)828-6852,246,1
8,금오동,"금오그린(동,서측)",금오동474-6(동) / 금오동470-6(서),031)828-6852,94,1
9,의정부동,의정부역(환승),의정부동162-3,031)828-6852,100,1
10,신곡동,신곡동 제1공영주차장(경기도청 북부청사 앞),신곡동 762-4,031)828-6852,116,1
11,산곡동,고산지구 제1공영주차장,산곡동 684-3,031)828-6852,180,1
12,고산동,고산지구 제2공영주차장,고산동452-3번지일원,031)828-6852,42,1
13,민락동,민락2지구(궁촌교),민락동914번지일원,031)828-6852,32,2
14,의정부동,흥선역(라과디아) 소형,의정부동246-13(소),031)828-6852,227,2
15,의정부동,흥선역(라과디아) 대형,의정부동340(대),031)828-6852,54,2
16,의정부1동,"의정부동제1공영(구,승원여객)",의정부동216-42,031)828-6852,73,2
17,의정부1동,의정부동제3공영(경원선고가밑),의정부동238-4외1필지,031)828-6852,200,2
18,의정부2동,의2동제1공영(구세진뒤),의정부2동545-2,031)828-6852,43,2
19,신곡동,신곡1동동신2차아파트옆,신곡1동718-1,031)828-6852,24,2
20,신곡동,신곡1동한일아파트옆,신곡1동720-1,031)828-6852,41,2
21,신곡동,신곡2공영(동오마을)(시설물주차장),신곡2동674,031)828-6852,160,2
22,가능1동,가능동입체(철골자주식)시설물,가능1동628(구)하사관주택,031)828-6852,153,2
23,가능1동,"가능동제2공영(구,성북택시)",가능동681-2,031)828-6852,58,2
24,가능1동,"가능동제3공영(구,시민회관)",가능동678,031)828-6852,106,2
25,가능1동,가능동제4공영(철로변),가능동302-16,031)828-6852,86,2
26,가능1동,가능동제5공영(교외선고가밑),가능동362-3,031)828-6852,238,2
27,가능1동,가능동법원앞,가능동109-9,031)828-6852,26,2
28,금오동,금오동6지구,금오동452-1,031)828-6852,38,2
29,가능동,의정부동제4공영(가금교),가능동15-436,031)828-6852,37,2
30,가능동,가능동제6공영(스마트주차장),가능동 676-7,031)828-6852,15,2
31,의정부동,의정부동제5공영(라과디아3지구),의정부동240-262일원,031)828-6852,21,2
32,금오동,금오동쌈지,금오동438-14,031)828-6852,23,2
33,금오동,금오지구공영주차장,금오동467-3(금오소방서옆),031)828-6852,35,2
34,낙양동,민락2지구 캠핑카 전용 공영주차장(유료운영),낙양동717번지,031)828-6852,38,2
35,금오동,금오행정(광역행정타운2구역),금오동221-1번지일원,031)828-6852,30,2
36,호원동,호원동안말,호원동247-77,031)828-6852,10,2
37,장암동,장암더샵포레스트,장암동431,031)828-6852,8,2
38,용현동,용현동제1공영주차장(탑석자이),용현동571,031)828-6852,41,2
39,흥선동,경민대앞공영주차장,흥선동564일원,031)828-6852,36,2
40,의정부동,의정부동 제6공영주차장(중앙생활2구역),의정부동 726,031)828-6852,62,2
41,민락동,민락동 제2공영주차장,민락동 831,031)828-6852,20,2
42,가능동,가능동 제7공영주차장,신촌로 79,031)828-6852,49,2
43,금오동,캠프카일 임시 대형자동차 주차장,금오동 209,031)828-6852,120,2
44,의정부동,의정부동 제7공영주차장,의정부동 393-18,031)828-6852,8,2
45,신곡동,발곡어울림주차장(시설물주차장),신곡동 353-108,031)828-6852,75,2
46,용현동,구 306보충대 임시 대형자동차 주차장,용현동 437,031)828-6852,110,2
47,용현동,만가대 공영주차장,용현동 176-2번지 일원,031)828-6852,20,2
48,금오동,중금오 공영주차장,금오동 218-2번지 일원,031)828-6852,17,2
49,호원동,호원동 자투리 주차장,호원동 119-11번지 일원,031)828-6852,18,2
50,용현동,용현동 자투리 주차장,용현동 235-59번지 일원,031)828-6852,4,2
