연번,건물명,주소,면수,무료 개방기간,개방 시간
1,인천시북부교육지원청,인천광역시 부평구 부평문화로53번길 35(부평동),51,2019-12~종료시까지,월요일~목요일 18시30분~익일8시/금요일 18시~월요일 8시까지
2,수도군수지원단,인천광역시 부평구 부개1동 445-3(부개동),101,2025-03~종료시까지,월요일~금요일 /토요일~일요일  24시간
3,예그린교회,인천광역시 부평구 굴포로7번길 31(갈산동),15,2020-04~종료시까지,월요일~토요일 교회행사일 제외
4,부평갈보리교회,인천광역시 부평구 부흥로259번길 38,17,2020-04~종료시까지,"월,화,목,금요일 교회행사일 제외"
5,열우물감리교회,인천광역시 부평구 백범로506번길 27-7,16,2023-03~종료시까지,월요일~금요일 교회행사일 제외
6,부평화랑교회,인천광역시 부평구 화랑로 73(산곡동),41,2020-07~종료시까지,월요일~목요일/ 금요일 오후6시까지/ 일요일 오후6시부터/ 교회행사일 제외
7,선민교회,인천광역시 부평구 부흥로111번길14-4(산곡동),6,2020-09~종료시까지,"월,화,목,금,토요일/ 교회행사일 제외"
8,동광제일교회,인천광역시 부평구 원길로15-3(청천동),9,2020-12~종료시까지,월요일~목요일/ 교회행사일 제외
9,경인감리교회,인천광역시 부평구 마장로14(십정동),33,2021-03~종료시까지,"월,화,목,금,토요일/ 교회행사일 제외"
10,소명교회,인천광역시 부평구 동수로32(부평동),7,2021-03~종료시까지,월요일~금요일/ 교회행사일 제외
11,산곡십정새마을금고,인천광역시 부평구 열우물로87번길 10-8(십정동),10,2021-05~종료시까지,"월요일~금요일/ 18시~익일8시까지/ 토,일요일 개방"
12,부평중앙감리교회,인천광역시 부평구 영성로24(삼산동),26,2021-07~종료시까지,"월,화,목요일/ 수,금 오전 12시까지"
13,주안장로교회,인천광역시 부평구 부흥로213(산곡동),300,2021-12-10~종료시까지,월요일~목요일/ 교회행사일 제외/ 사전등록신청자만 이용가능
14,부평신촌교회,인천광역시 부평구 신촌로9(부평동),15,2022-06~종료시까지,월요일~금요일/ 교회행사일 제외
15,산곡교회,인천광역시 부평구 부영로 199(산곡동),59,2022-09~종료시까지,월요일~목요일/ 교회행사일 제외/ 사전등록신청자만 이용가능
16,부평동성교회,인천광역시 부평구 일신로 18(일신동),5,2023-12-01~2026-11-30,"월, 화, 목, 금/교회행사일 제외"
17,부평힘찬병원,인천광역시 부평구 장제로 78(부평동),105,2023-12-18~2026-12-17,"월요일~목요일 19시~익일07시30분까지 단, 금요일 19시~익일14시 제외 사전등록"
18,갈월교회,인천광역시 부평구 주부토로 302-1(갈산동),24,2024-04~종료시까지,"월요일~금요일 19시~익일06시/토요일, 공휴일 06시~익일06시까지/일요일 18시~익일06시/교회행사일 제외"
19,빛된성결교회,인천광역시 부평구 마장로384번길6(청천동),6,2024-06~종료시까지,"월, 화, 목, 금 07시~22시까지"
20,부평1동성당,인천광역시 부평구 길주로494번길 51-14(부평동),37,2024-09~종료시까지,평일/일요일 저녁8시부터 익일 아침9시까지
21,산곡3동성당,인천광역시 부평구 화랑북로 17(산곡동),10,2024-10~종료시까지,"월, 화, 수, 목, 금/성당행사일 제외"
