연번,주소,주차장명,행정동,주차면수,구분,주차요금
1,인천광역시 서구 가정동 530-4,정서진중앙시장 주차장,가정1동,78,2급지,유료
2,인천광역시 서구 가정동 산 140-6,가정동주차장,가정1동,25,,무료
3,인천광역시 서구 가좌동 197-30,가좌3동 주차장,가좌3동,30,,무료
4,인천광역시 서구 가좌동 217-31 일원,가좌동 217-31 주차장,가좌3동,48,,무료
5,인천광역시 서구 가좌동 409-8,가좌쌈지주차장,가좌4동,4,,무료
6,인천광역시 서구 가좌동 410-30,가좌쌈지주차장,가좌4동,5,,무료
7,인천광역시 서구 가좌동 481-2,인천축산물시장 주차장,가좌동,56,2급지,유료
8,인천광역시 서구 가좌동 556-36,코스모나눔주차장,가좌3동,18,2급지,유료
9,인천광역시 서구 가좌동 585-65 ,종전대지(한국유리) 주차장,가좌1동,24,,무료
10,인천광역시 서구 가좌동 616,가좌주공2단지 주차장,가좌4동,16,,무료
11,인천광역시 서구 검암동 503-8,검암 제2주차장,검암동,42,,무료
12,인천광역시 서구 검암동 607-1,검암 제1주차장,검암동,85,,무료
13,인천광역시 서구 검암동 659,검암 제4주차장,검암동,101,,무료
14,인천광역시 서구 경서동 734,경서주차장,경서동,61,,무료
15,인천광역시 서구 당하동 1029-1,고산후공영주차장,검단3동,47,2급지,유료
16,인천광역시 서구 당하동 1030-6,당하동 1030-6 주차장,검단3동,58,,무료
17,인천광역시 서구 당하동 1097-5,당하동 1097-5 주차장,검단4동,64,,공사중
18,인천광역시 서구 당하동 1114-1,당하두루누리주차장,검단4동,39,2급지,유료
19,인천광역시 서구 마전동 1011-3,완정네공영주차장,검단1동,29,2급지,유료
20,인천광역시 서구 마전동 1019,마전동 1019 주차장,검단4동,54,,무료
21,인천광역시 서구 마전동 1055-3,완정미소주차장,검단4동,49,2급지,유료
22,인천광역시 서구 마전동 908-3,마전동 908-3 주차장,검단1동,71,,무료
23,인천광역시 서구 마전동 986,마전동 986 주차장,검단4동,67,2급지,유료
24,인천광역시 서구 석남동 175-2 ,석남동 175-2번지 주차장,석남1동,4,,무료
25,인천광역시 서구 석남동 175-20,석남동 175-20번지 주차장,석남1동,4,,무료
26,인천광역시 서구 석남동 322-75,쌈지주차장,석남3동,7,,무료
27,인천광역시 서구 석남동 449-26,석남쌈지주차장,석남1동,4,,무료
28,인천광역시 서구 석남동 452-2외 14필지,강남장터 주차장,석남1동,100,2급지,유료
29,인천광역시 서구 석남동 548-7,신거북시장 주차장,석남동,114,2급지,유료
30,인천광역시 서구 석남동 553-10,석남동 553-10 주차장,석남동,5,,무료
31,인천광역시 서구 석남동 561-13,석남동 561-13 주차장,석남동,35,,무료
32,인천광역시 서구 신현동 133-1,신현동 133-1 주차장,신현원창동,9,,무료
33,인천광역시 서구 신현동 212-4,신현쌈지주차장,신현동,8,,무료
34,인천광역시 서구 심곡동 239-9,서구청 제1주차장,심곡동,341,2급지,유료
35,인천광역시 서구 심곡동 257-12,심곡주차장,심곡동,14,,무료
36,인천광역시 서구 심곡동 323-8번지,서곶누리 주차장,연희동,68,2급지,유료 
37,인천광역시 서구 연희동 689-14외 1,연희동 689-14 주차장,연희동,13,,무료
38,인천광역시 서구 연희동 707-1외1,연희동 주차장,연희동,42,,무료
39,인천광역시 서구 연희동 712-1,연희주차장,연희동,16,,무료
40,인천광역시 서구 연희동 727-10,연희동 727-10 주차장,연희동,7,,무료
41,인천광역시 서구 연희동 731-1,연희동 731-1 주차장,연희동,6,,무료
42,인천광역시 서구 오류동 1708-11,오류지구 제4주차장,오류왕길동,18,,무료
43,인천광역시 서구 오류동 1723-13,오류지구 제3주차장,오류왕길동,26,,무료
44,인천광역시 서구 오류동 1754-9,오류지구 제5주차장,오류왕길동,34,,무료
45,인천광역시 서구 왕길동 661-2,왕길동 661-2 주차장,검단1동,35,,무료
46,인천광역시 서구 원당동 825-8,원당동 825-8 주차장,검단3동,58,,무료
47,인천광역시 서구 원창동 477-3,원창동 477-3 주차장,원창동,136,,무료
48,인천광역시 서구 원창동 495,북항목재단지 주차장,신현원창동,22,,무료
49,인천광역시 서구 청라동 11-37,청라동 11-37 주차장,청라3동 ,38,,무료
50,인천광역시 서구 청라동 118-1,청라동 118-1 주차장,청라1동,22,,무료
51,인천광역시 서구 청라동 120-1,청라동 120-1 주차장,청라1동,22,,무료
52,인천광역시 서구 청라동 122-5,청라동 122-5 주차장,청라1동,22,,무료
53,인천광역시 서구 청라동 124-5,청라동 124-5,청라1동,22,,무료
54,인천광역시 서구 청라동 143-7,청라동 143-7,청라2동,31,,무료
55,인천광역시 서구 청라동 188-1,청라동 188-1,청라1동,23,,무료
56,인천광역시 서구 청라동 37,청라동 37,청라3동,30,,무료
57,인천광역시 서구 경서동 1033-6,경서동 1033-6,경서동,10,,무료
