주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,급지구분,위도,경도,데이터기준일자
연수3동 공영주차장,공영,노외,인천광역시 연수구 연수동 532-2,167,3,37.422757,126.697429,2025-08-05
연수역북부공영주차장,공영,노외,인천광역시 연수구 연수동 587,200,3,37.419094,126.677368,2025-08-05
연수 벚꽃로 공영주차장,공영,노외,인천광역시 연수구 연수동 591-2,117,3,37.417025,126.679501,2025-08-05
연수역남부공영주차장,공영,노외,인천광역시 연수구 청학동 466,112,3,37.419359,126.675835,2025-08-05
선학동공영주차장,공영,노외,인천광역시 연수구 선학동 365-1,74,3,37.424089,126.695464,2025-08-05
능허리주차장,공영,노외,인천광역시 연수구 동춘동 1115-7,22,기타,37.414148,126.671955,2025-08-05
동춘교하부공간주차장,공영,노외,"인천광역시 연수구 동춘동 산 32-1,2",17,기타,37.413007,126.663995,2025-08-05
흥륜사 주차장,공영,노외,인천광역시 연수구 옥련동 567-28,40,기타,37.41679033,126.6593583,2025-08-05
청학공영주차장,공영,노외,인천광역시 연수구 청학동 170,50,3,37.42668059,126.6669175,2025-08-05
옥련동공영주차장(1),공영,노외,인천광역시 연수구 옥련동 340-9,20,기타,37.425263,126.655194,2025-08-05
청학동 쌈지(임시)주차장,공영,노외,인천광역시 연수구 청학동 521-13,3,기타,37.429168,126.663171,2025-08-05
청학공영주차장(2),공영,노외,인천광역시 연수구 청학동 90-5,108,3,37.427204,126.662712,2025-08-05
청학공영주차장(3),공영,노외,인천광역시 연수구 청학동 571-2,26,3,37.424116,126.665134,2025-08-05
동춘동 820-59번지 쌈지공영주차장,공영,노외,인천광역시 연수구 동춘동 820-59,5,기타,37.416413,126.655851,2025-08-05
옥련동공영주차장(2),공영,노외,인천광역시 연수구 옥련동 163-5,13,기타,37.42743378,126.6477781,2025-08-05
송도동 공영주차장,공영,노외,인천광역시 연수구 송도동 16-2,107,기타,37.40389303,126.6423119,2025-08-05
청학동공영주차장(4),공영,노외,인천광역시 연수구 청학동 79-2,95,3,37.427141,126.664411,2025-08-05
