주차장명,주차장유형,급지구분,주차구획수,장애인면수,여성전용면수,전기차충전면수,운영요일,운영시간,주간운영,야간운영,주간요금(15분당),야간요금(15분당),결제방법,감면정보,소재지도로명주소,소재지지번주소,데이터기준일자
인천축산물시장 공영주차장,건축식,2,57,3,0,1,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,가좌로 84번길 35,가좌동 481-2,2024-02-06
가좌코스모나눔 공영주차장,지평식,2,18,1,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,장고개로231번길 9,가좌동 556-36,2024-02-06
정서진중앙시장 공영주차장,지평식,2,77,4,0,2,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,가남로416,가정동 530-4,2024-02-06
강남장터 공영주차장,건축식,2,99,4,0,1,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,강남로19번길 8 (석남동),석남동 452-18,2024-02-06
신거북시장 공영주차장,건축식,2,113,5,0,3,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,거북로 115,석남동 548-13,2024-02-06
서구청1 주차타워,건축식,2,346,16,18,6,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,탁옥로51번길 26,심곡동 239-9,2024-02-06
서구청2 노상공영주차장,노상,2,10,0,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,탁옥로51번길(서구의회 건물 뒤),심곡동 244,2024-02-06
서구청3 (제1부설)주차장,지평식,2,110,2,5,2,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,서곶로307 인천서구청,심곡동 244,2024-02-06
서구청4 (제2부설)주차장,건축식+노상,2,111,2,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,서곶로 299 인천서구제2청사,심곡동 247-3,2024-02-06
심곡서곶누리 공영주차장,건축식,2,68,3,4,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,대평로 43,심곡동 323-8,2024-02-06
석남2-1 노상공영주차장,노상,2,21,3,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,거북로,석남2동 536,2024-02-06
석남2-2 노상공영주차장,노상,2,22,1,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,거북로,석남2동 536,2024-02-06
석남2-3 노상공영주차장,노상,2,28,0,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,거북로,석남2동 536,2024-02-06
석남2-5 노상공영주차장,노상,2,12,2,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,거북로,석남2동 536,2024-02-06
석남3 노상공영주차장,노상,2,23,0,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,석남로(한국통신 ~ 석남119안전센터),석남동582,2024-02-06
석남4 노상공영주차장,노상,2,26,1,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,신석로(석남체육공원 ~ JS노송병원),석남동497,2024-02-06
검단1 공영주차장,지평식,2,67,3,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,검단로502번길,마전동986(검단출장소 앞),2024-02-06
검단3-1 노상공영주차장,노상,2,29,3,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,검단로459번길(왕길동 먹거리타운 내),왕길동 641-4,2024-02-06
검단3-2 노상공영주차장,노상,2,23,3,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,검단로459번길(왕길동 먹거리타운 내),왕길동 641-4,2024-02-06
검단3-3 노상공영주차장,노상,2,21,0,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,검단로459번길(왕길동 먹거리타운 내),왕길동 641-4,2024-02-06
검단3-4 노상공영주차장,노상,2,26,1,0,0,월~금,10시간,09:00~19:00,야간 미운영,300,야간 미운영,"카드, 계좌",장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,검단로459번길(왕길동 먹거리타운 내),왕길동 641-4,2024-02-06
검단4(완정네) 공영주차장,지평식,2,29,1,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,완정로8번길,마전동 1011-3(완정역 맞은편),2024-02-06
검단5(완정미소) 공영주차장,지평식,2,49,2,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,원당대로685번1길,마전동 1055-3(당하동 풍림3차 일원),2024-02-06
검단6(고산후) 공영주차장,지평식,2,47,1,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,고산후로95번안길,당하동 1029-1(원당풍림 일원),2024-02-06
검단7(당하두루누리) 공영주차장,지평식,2,39,1,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,청마로112번길,당하동 1114-1(당하동 하이마트 인근),2024-02-06
루원시티1 공영주차장,건축식,2,151,7,16,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,봉오대로 277,가정동 산21-17,2024-02-06
루원시티2 공영주차장,건축식,2,117,5,0,8,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,봉오대로 318번길 9,가정동 산21-6,2024-02-06
청라3 공영주차장,지평식,2,55,2,0,0,월~일,24시간,09:00~19:00,19:00~09:00,300,150,카드,장애/유공/경차/자원봉사/요일제/저공해/전기차충전/친환경/임산부/65세/환승주차장/공유차량/2자녀/병역명문가/야간,청라한내로 95,청라동 92-16,2024-02-06
