제어기관리번호,제어기관리명,주차장 유형 구분 코드,경도,위도,설치위치주소,전체 주차면수,주차 평일 시작시간,주차 평일 종료시간,주차 요금 부과 코드,요금정보,데이터 기준일
1,왕지 제1공영주차장,노외,127.5238922,34.97005,순천시 왕지동 852-1,136,8시,20시,유료,1시간 무료 후 30분당 500원,2025-06-25
2,왕지 제2공영주차장,노외,127.5250082,34.97,순천시 왕지동 853-2,125,8시,20시,유료,1시간 무료 후 30분당 500원,2025-06-25
3,수매골 공영주차장,노외,127.5331,34.95638,순천시 조례동 1807,54,8시,20시,무료,무료,2025-06-25
4,왕조2동 공영주차장,노외,127.532581,34.9549791,순천시 조례동 1824,67,8시,20시,유료,1시간 무료 후 30분당 500원,2025-06-25
5,금당 제2공영주차장,노외,127.525679,34.9490021,순천시 연향동 1457,25,8시,20시,무료,무료,2025-06-25
6,금당 제3공영주차장,노외,127.525941,34.946396,순천시 연향동 1474,31,8시,20시,무료,무료,2025-06-25
7,금당 제4공영주차장,노외,127.5237616,34.9462883,순천시 연향동 1490,30,8시,20시,무료,무료,2025-06-25
8,연향3지구 제1공영주차장,노외,127.5168925,34.9341338,순천시 연향동 1686-6,21,8시,20시,무료,무료,2025-06-25
9,연향3지구 제2공영주차장,노외,127.5190058,34.933917,순천시 연향동 1690-4,21,8시,20시,무료,무료,2025-06-25
10,매산뜰 공영주차장,노외,127.4807305,34.9568756,순천시 금곡동 60-1,99,8시,20시,무료,무료,2025-06-25
11,연향 제1공영주차장,노외,127.5194484,34.9535301,순천시 연향동 1325-2,62,8시,20시,유료,30분당 500원,2025-06-25
12,조례 제1공영주차장,노외,127.5203467,34.9545219,순천시 조례동 1722-8,43,8시,20시,유료,30분당 500원,2025-06-25
13,금당 제1공영주차장,노외,127.5250286,34.9531323,순천시 조례동 1605-1,69,8시,20시,유료,1시간 무료 후 30분당 500원,2025-06-25
14,시민 공영주차장,노외,127.4856491,34.952584,순천시 장천동 234,52,8시,20시,유료,1시간 무료 후 30분당 500원,2025-06-25
15,성동 공영주차장,노외,127.4867434,34.9547543,순천시 동외동 83,84,8시,20시,유료,30분 무료 후 30분당 500원,2025-06-25
17,강남로 제1공영주차장,노상,127.4862267,34.95586494,순천시 동외동 100-1,18,8시,20시,유료,30분당 500원,2025-06-25
18,강남로 제2공영주차장,노상,127.4854215,34.95624224,순천시 중앙동 27,13,8시,20시,유료,30분당 500원,2025-06-25
19,의료원로터리 제1공영주차장,노상,127.4844702,34.95738178,순천시 매곡동 127-9,10,8시,20시,유료,30분당 500원,2025-06-25
20,연향 제2공영주차장,노상,127.5187063,34.95304899,순천시 연향동 1423,17,8시,20시,유료,30분당 500원,2025-06-25
21,연향 제3공영주차장,노상,127.5178976,34.95153812,순천시 연향동 1423,25,8시,20시,유료,30분당 500원,2025-06-25
22,연향 제4공영주차장,노상,127.518403,34.95182441,순천시 연향동 1423,27,8시,20시,유료,30분당 500원,2025-06-25
23,연향 제5공영주차장,노상,127.518728,34.95258694,순천시 연향동 1423,19,8시,20시,유료,30분당 500원,2025-06-25
24,연향 제6공영주차장,노상,127.516432,34.95176069,순천시 연향동 1416,14,8시,20시,유료,30분당 500원,2025-06-25
25,연향 제7공영주차장,노상,127.5214397,34.95248744,순천시 연향동 1431,42,8시,20시,유료,30분당 500원,2025-06-25
26,역전로터리 공영주차장,노상,127.5013537,34.94539703,순천시 조곡동 159-4,21,8시,20시,유료,30분당 500원,2025-06-25
27,동부 제1공영주차장,노상,127.521353,34.95090139,순천시 연향동 1427,12,8시,20시,유료,30분당 500원,2025-06-25
28,동부 제2공영주차장,노상,127.5210018,34.95075868,순천시 연향동 1427,20,8시,20시,유료,30분당 500원,2025-06-25
29,동부 제3공영주차장,노상,127.518927,34.9507315,순천시 연향동 1427,17,8시,20시,유료,30분당 500원,2025-06-25
30,동부 제4공영주차장,노상,127.5168348,34.95054212,순천시 연향동 1423,10,8시,20시,유료,30분당 500원,2025-06-25
31,조례 제2공영주차장,노상,127.5160747,34.95152785,순천시 조례동 1249-3,15,8시,20시,유료,30분당 500원,2025-06-25
32,신월 공영주차장,노외,127.517151,34.95907,순천시 조례동 1114,75,8시,20시,무료,무료,2025-06-25
33,의료원로터리 제2공영주차장,노상,127.4838693,34.9571362,순천시 행동 1번지,8,8시,20시,유료,30분당 500원,2025-06-25
34,연향주차타워,노외,127.517049,34.951509,순천시 연향동 1320-5,81,8시,20시,유료,30분 무료 후 30분당 500원,2025-06-25
35,역전 제3공영주차장,노외,127.502609,34.9442583,순천시 조곡동 161-9,19,8시,20시,유료,30분 무료 후 30분당 500원,2025-06-25
37,남정저류지 공영주차장,노외,127.493336,34.943771,순천시 인제동 376-8,68,8시,20시,무료,무료,2025-06-25
