주차장명,주차면수,운영시간,당일최고요금,주차요금,주소,전화번호
덕진광장,33면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 덕진구 덕진광장로 3,063-239-2767~69
하가지구 리드빌딩 옆,23면,09:00~21:00,"7,000원",기본(30):700추가(15):350,전주시 덕진구 가련산로 20,063-239-2767~69
서신동 서신지구대 옆,28면,09:00~21:00,"7,000원",기본(30):700추가(15):350,전주시 완산구 새터로 46,063-239-2767~69
만성지구 제1주차장,66면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 만성동 1372-7,063-239-2767~69
만성지구 제7주차장,65면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1364-3,063-239-2767~69
만성지구 제4주차장,26면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1265-1,063-239-2767~69
서신동,131면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 당산로 56,063-239-2767~69
서부신시가지농협중앙회,48면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산북로 53,063-239-2767~69
서부신시가지비보이광장,124면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산남로 83-17,063-239-2767~69
서부신시가지KB은행,62면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산1길 4-13,063-239-2767~69
서부신시가지도청옆,43면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산북로 75,063-239-2767~69
서부신시가지홍산광장,120면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산남로 45-20,063-239-2767~69
서부신시가지시티병원,50면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 홍산2길 5-12,063-239-2767~69
중화산 2동,75면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 신촌3길 28-4,063-239-2767~69
효천지구 제1주차장,44면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 효자동2가 1359-3,063-239-2767~69
삼천 2동,194면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 완산구 상거마 4길 24,063-239-2767~69
건산천 1,77면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 덕진구 팔달로 357-23 앞,063-239-2767~69
건산천 2,68면,24시간,"7,000원","기본(30):700,추가(15):350",전주시 덕진구 태진로 125-22,063-239-2767~69
노송천 주차장,70면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 노송여울2길 108,063-239-2767~69
객리단길(거주자우선),48면,09:00~22:00,"7,000원",기본(30):700추가(15):350,전주시 완산구 객사2길 74,063-239-2767~69
오거리,183면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 팔달로 217-21,063-239-2767~69
한옥마을 노상,70면,하절기 10:00~19:00 / 동절기 09:00~18:00,"14,400원","기본(30):1,200,추가(15):600","전주시 기린대로, 전주천서로",063-239-2767~69
역사도심,11면,24시간,"9,000원","기본(30):900,추가(15):450",전주시 완산구 다가동 2가 116-1,063-239-2767~69
한옥마을제3주차장,72면,24시간,"14,400원","기본(30):1,200추가(15):600",전주시 완산구 간납로 20,063-239-2767~69
신복마을,30면,09:00~18:00,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 144-3,063-239-2767~69
평화2동,13면,24시간,"7,000원",기본(30):700추가(15):350,전주시 완산구 평화로 217,063-239-2767~69
제1산업단지 주차장,76면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 350-9,063-239-2767~69
금암2동 주차장,24면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 금암동 1579-13,063-239-2767~69
에코시티 12,52면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 송천동2가 1327-3,063-239-2767~69
만성지구 제2주차장,54면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1265-13,063-239-2767~69
만성지구 제8주차장,50면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 만성동 1354-6,063-239-2767~69
공구거리 노상,40면,08:00~19:00,"9,000원",기본(30):900추가(15):450,전주시 완산구 고사동 227-1 일원,063-239-2767~69
전북대앞 노상,17면,08:00~21:00,"9,000원",기본(30):900추가(15):450,전주시 덕진구 금암동 664-9 일원,063-239-2767~69
전주시청 주변 노상,66면,07:00~19:00,"9,000원",기본(30):900추가(15):450,전주시 완산구 서노송동 595-9 일원,063-239-2767~69
에코시티 8주차장,59면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 송천동2가 1299-4,063-239-2767~69
에코시티 13주차장,28면,24시간,"9,000원",기본(30):900추가(15):450,전주시 덕진구 송천동2가 1330-8,063-239-2767~69
신복로 주차장,16면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 팔복동1가 178-2 일원,063-239-2767~69
조촌동 주차장,39면,24시간,"7,000원",기본(30):700추가(15):350,전주시 덕진구 반월동 232-2,063-239-2767~69
전주천 노상,117면,08:00~19:00,"7,000원",기본(30):700추가(15):350,전주시 완산구 동완산동 98-2 일원,063-239-2767~69
선수촌공원 노상,75면,09:00~18:00,"7,000원",기본(30):700추가(15):350,"전주시 완산구 온고을로 30-9, 새터로 95 옆 노상",063-239-2767~69
실내체육관,158면,24시간,"7,000원","기본(30):700, 추가(15):350",전주시 덕진구 권삼득로 308,063-239-2767~69
"동물원(호랑이), 동물원(기린)",828면,09:00~18:00,"1,000원","선불 1,000원(시간제한없음)/ 25인승 이상:선불 2,000원(시간제한없음)",전주시 덕진구 소리로 68,063-239-2767~69
"종합경기장(정문), 종합경기장(서문)",638면,07:00~23:00,"7,000원","기본(30):700, 추가(15):350",전주시 덕진구 기린대로 451,063-239-2767~69
한옥마을1,293면,24시간,"14,400원","기본(30):1,200, 추가(15):600",전주시 완산구 기린대로 99,063-239-2767~69
한옥마을2,171면,24시간,"14,400원","기본(30):1,200, 추가(15):600",전주시 완산구 어진길 30-10,063-239-2767~69
화산체육관,256면,24시간,"5,000원","기본(30):500, 추가(15):250",전주시 완산구 백제대로 310,063-239-2767~69
군산익산방면 만남의 광장,52면,24시간,무료,무료,전주시 덕진구 번영로 453,063-239-2767~69
호성동 만남의 광장,30면,24시간,무료,무료,전주시 덕진구 완주로 6,063-239-2767~69
무진장방면 만남의 광장,69면,24시간,무료,무료,전주시 덕진구 금상길 27,063-239-2767~69
여의동,45면,24시간,무료,무료,전주시 덕진구 여의동2가 608,063-239-2767~69
팔복동주차장,8면,24시간,무료,무료,전주시 덕진구 신복5길 33-11,063-239-2767~69
송천2동 시영아파트 앞,156면,24시간,무료,무료,전주시 덕진구 와룡로 97-14,063-239-2767~69
송천2동 주민자치센터 옆,17면,24시간,무료,무료,전주시 덕진구 두간11길 3-4 옆,063-239-2767~69
송천2동 용소초교 옆,17면,24시간,무료,무료,전주시 덕진구 송천3길 30-34(송천동1가 844-9),063-239-2767~69
송천2동 공원,13면,24시간,무료,무료,전주시 덕진구 두간5길 9(송천동1가 816-2),063-239-2767~69
송천2동 농수산시장 안,82면,24시간,무료,무료,전주시 덕진구 송천동2가 597-14,063-239-2767~69
송천1동 송천도서관 앞,32면,24시간,무료,무료,전주시 덕진구 솔내로 212(송천동2가 292),063-239-2767~69
인후2동 건지,26면,24시간,무료,무료,전주시 덕진구 백동로 14-7,063-239-2767~69
하가지구 나그네교회 앞,29면,24시간,무료,무료,전주시 덕진구 가리내1길 14,063-239-2767~69
하가지구 소소빌딩 뒤,26면,24시간,무료,무료,전주시 덕진구 가리내3길 16-1(덕진동2가 654-8),063-239-2767~69
하가지구 초담불고기 뒤,29면,24시간,무료,무료,전주시 덕진구 가리내5길 19,063-239-2767~69
하가지구 하가홈마트 뒤,30면,24시간,무료,무료,전주시 덕진구 가리내8길 19,063-239-2767~69
하가지구 풍경안경원 옆,30면,24시간,무료,무료,전주시 덕진구 가리내10길 12-1,063-239-2767~69
가련산,41면,24시간,무료,무료,전주시 덕진구 기린대로 535,063-239-2767~69
서신동 에덴교회 앞,29면,24시간,무료,무료,전주시 완산구 고사평1길 3,063-239-2767~69
서부신시가지 서곡방면,27면,24시간,무료,무료,전주시 완산구 황강서원1길 7,063-239-2767~69
서부신시가지 마전,42면,24시간,무료,무료,전주시 완산구 문학대5길 31-3,063-239-2767~69
서부신시가지 예다움 원룸,29면,24시간,무료,무료,전주시 완산구 척동4길 16-8,063-239-2767~69
서부신시가지 여명교회뒤,30면,24시간,무료,무료,전주시 완산구 배학5길 7,063-239-2767~69
서부신시가지 전북경찰청옆,33면,24시간,무료,무료,전주시 완산구 마전3길 12,063-239-2767~69
서부신시가지 KT&G전북본부 옆,20면,24시간,무료,무료,전주시 완산구 마전1길 12-3,063-239-2767~69
서부신시가지 KBS옆,33면,24시간,무료,무료,전주시 완산구 마전1길 12-3,063-239-2767~69
서부신시가지 도청사거리,20면,24시간,무료,무료,전주시 완산구 석산2길 7,063-239-2767~69
중화산2동 공영주차장,16면,24시간,무료,무료,전주시 완산구 화산천변3길 11-3,063-239-2767~69
정읍방면 만남의 광장,84면,24시간,무료,무료,전주시 완산구 쑥고개로 251(효자동2가 925-1),063-239-2767~69
서부신시가지 전주대 원룸옆,17면,24시간,무료,무료,전주시 완산구 봉곡2길 17-4,063-239-2767~69
서부신시가지 롯데마트뒤,42면,24시간,무료,무료,전주시 완산구 바우배기2길 27,063-239-2767~69
서부신시가지 신한은행,32면,24시간,무료,무료,전주시 완산구 홍산북로 13,063-239-2767~69
서부신시가지 보훈청,42면,24시간,무료,무료,전주시 완산구 효자동 2가 1243-1,063-239-2767~69
서부신시가지 전주대 신정문,32면,24시간,무료,무료,전주시 완산구 농소6길 3-5,063-239-2767~69
서부신시가지 봉곡,30면,24시간,무료,무료,전주시 완산구 봉곡1길 42,063-239-2767~69
서부신시가지 엘드아파트,24면,24시간,무료,무료,전주시 완산구 범안1길 7-27,063-239-2767~69
이중본 뒤,33면,24시간,무료,무료,전주시 완산구 산월1길 10,063-239-2767~69
모악산,56면,24시간,무료,무료,전주시 완산구 중인1길 254,063-239-2767~69
효천지구 제3주차장,11면,24시간,무료,무료,전주시 완산구 효자동2가 1374-4,063-239-2767~69
신일강변 아파트 옆,30면,24시간,무료,무료,전주시 완산구 삼천동1가 723-4,063-239-2767~69
태평동,7면,24시간,무료,무료,전주시 완산구 태진로 17,063-239-2767~69
근영여고 앞,45면,24시간,무료,무료,전주시 완산구 백제대로 270,063-239-2767~69
고사동 전주영화제작소 옆,14면,24시간,무료,무료,전주시 완산구 전주객사3길 22(고사동435-2),063-239-2767~69
서서학동 주민자치센터 뒤,16면,24시간,무료,무료,전주시 완산구 팔달로 39-21(서서학동 121-1),063-239-2767~69
서학동 예술마을,27면,24시간,무료,무료,전주시 완산구 서서학동 967번지,063-239-2767~69
한옥마을4 공영주차장(대성동),636면,24시간,무료,무료,전주시 완산구 춘향로 5299,063-239-2767~69
색장동 만남의 광장,62면,24시간,무료,무료,전주시 완산구 부남길 24,063-239-2767~69
평화1동,25면,24시간,무료,무료,전주시 완산구 덕적골3길 51-1,063-239-2767~69
인후2동 금평,26면,24시간,무료,무료,전주시 덕진구 명주1길 9,063-239-2767~69
인후2동 용수마을,11면,24시간,무료,무료,전주시 덕진구 거북바우로 124-15(용수마을),063-239-2767~69
인후2동,15면,24시간,무료,무료,전주시 덕진구 거북바우로 142,063-239-2767~69
인후1동 안골,32면,24시간,무료,무료,전주시 덕진구 팽나무4길 11,063-239-2767~69
인후공원,64면,24시간,무료,무료,전주시 덕진구 안덕원3길 10,063-239-2767~69
도당산4길,13면,24시간,무료,무료,전주시 덕진구 우아동3가 752-29,063-239-2767~69
아중지구 아중도서관(산림청 옆),62면,24시간,무료,무료,전주시 덕진구 무삼지2길 7,063-239-2767~69
인후3동 진버들,88면,24시간,무료,무료,전주시 덕진구 진버들5길 15,063-239-2767~69
우아2동 아중택지 개발지구,69면,24시간,무료,무료,전주시 덕진구 산정1길 18,063-239-2767~69
아중지구 롯데아파트 옆,70면,24시간,무료,무료,전주시 덕진구 정언신로 151,063-239-2767~69
아중지구 밀레니엄 옆,73면,24시간,무료,무료,전주시 덕진구 정언신로 178,063-239-2767~69
남노송동 주차장(기린대로변),25면,24시간,무료,무료,전주시 완산구 기린대로 126,063-239-2767~69
남노송동(병무청 맞은편),20면,24시간,무료,무료,전주시 완산구 관선3길 17-6,063-239-2767~69
아중지구 부영아파트 옆,88면,24시간,무료,무료,전주시 덕진구 인교6길 13,063-239-2767~69
다가서당,13면,24시간,무료,무료,전주시 완산구 다가동4가 25번지 외 4필지,063-239-2767~69
서학동 예술마을 소규모주차장,17면,24시간,무료,무료,전주시 완산구 서서학동 244일원,063-239-2767~69
우아동 주민센터 옆,28면,24시간,무료,무료,전주시 덕진구 우아동3가 746-45,063-239-2767~69
효천지구 제2주차장,83면,24시간,무료,무료,전주시 완산구 효자동2가 1369-1,063-239-2767~69
효천지구 제4주차장,33면,24시간,무료,무료,전주시 완산구 효자동2가 1371-1,063-239-2767~69
효천지구 제5주차장,51면,24시간,무료,무료,전주시 완산구 삼천동2가 762-1,063-239-2767~69
여의동 주민센터 옆,26면,24시간,무료,무료,전주시 덕진구 반월동 248-31,063-239-2767~69
풍남초 주차장,28면,24시간,무료,무료,전주시 완산구 중노송동 501-6,063-239-2767~69
하가지구 상가마을 주차장,19면,24시간,무료,무료,전주시 덕진구 덕진동2가 440,063-239-2767~69
효자2동 주차장,21면,24시간,무료,무료,전주시 완산구 효자동1가 608-1,063-239-2767~69
