연번,시설명,도로명주소,주차면수,전화번호,주차장개방시간,전기차충전소 유무
1,화암약수,강원특별자치도 정선군 화암면 약수길 1328,113,033-560-3412,24시간,유
2,화암동굴,강원특별자치도 정선군 화암면 황마동굴길12-8,305,033-560-3410,24시간,유
3,화암카트체험장,강원특별자치도 정선군 화암면 소금강로 973,110,033-560-3419,24시간,무
4,정선종합경기장(정선군시설관리공단 청사),강원특별자치도 정선군 정선읍 애산로 60,566,033-560-3433,24시간,유
5,정선골프연습장,강원특별자치도 정선군 정선읍 애산로 60,28,033-560-3495,24시간,무
6,정선국민체육센터,강원특별자치도 정선군 정선읍 녹송4길 51,9,033-560-3440,24시간,무
7,정선군농민문화체육센터,강원특별자치도 정선군 임계면 서동로 4581,114,033-560-3480,24시간,무
8,고한생활체육공원,강원특별자치도 정선군 고한읍 고토일길 38,62,033-560-3461,24시간,무
9,민둥산아리센터센터,강원특별자치도 정선군 남면 무릉1로 36,33,033-560-3444,24시간,무
10,도사곡휴양림,강원특별자치도 사북읍 지장천로436-27,53,033-560-3456,24시간,무
11,타임캡슐공원,강원특별자치도 정선군 신동읍 엽기소나무길 518-23,32,033-560-3462,24시간,유
12,회동솔향캠핑장,강원특별자치도 정선군 정선읍 가리왕산로 570-6,60,033-560-3453,24시간,유
13,정선생태체험학습장(정선펫캠핑장),강원특별자치도 정선군 정선읍 동강로 2908,171,033-560-3470,24시간,무
14,동강전망자연휴양림,강원특별자치도 정선군 신동읍 동강로 916-212,31,033-560-3463,24시간,무
15,벅스랜드,강원특별자치도 정선군 여량면 노추산로 745,0,033-560-3478,24시간,무
16,정선하늘공원,강원특별자치도 정선군 여량면 서동로 3867-26,27,033-560-3436,24시간,무
17,정선하늘터,강원특별자치도 정선군 고한읍 소금강로 3500-34,6,033-560-3460,24시간,무
18,사북목욕탕,강원특별자치도 정선군 사북읍 지장천로 436-9,23,033-560-3469,24시간,무
19,신동목욕탕,강원특별자치도 정선군 신동읍 예미1길 11,26,033-560-3475,24시간,무
20,화암목욕탕,강원특별자치도 정선군 화암면 그림바위길 46-16,3,033-560-3476,24시간,무
21,남면목욕탕,강원특별자치도 정선군 남면 별어곡1길 26,19,033-560-3416,24시간,무
22,여량목욕탕,강원특별자치도 정선군 여량면 아우라지길24,15,033-560-3473,24시간,무
23,북명목욕탕,강원특별자치도 정선군 북평면 북평중앙로 45,6,033-560-3474,24시간,무
24,임계목욕탕,강원특별자치도 정선군 임계면 서동로 4584,0,033-560-3472,24시간,무
25,가리왕산케이블카,강원특별자치도 정선군 북평면 중봉길 41-35,152,033-560-3467,24시간,무
