주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간(분),주차기본요금,추가단위시간(분),추가단위요금,결제방법,관리기관명,전화번호,위도,경도,데이터기준일자
106-1-000004,우림시장,공영,노상,서울특별시 중랑구 망우로 62길~용마산로 115길,서울특별시 중랑구 망우동 536-11,44,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,현금+카드,중랑구시설관리공단,02-491-4887,37.59673,127.099,2025-09-15
106-2-000001,동원시장,공영,노외,서울특별시 중랑구 상봉로11길,서울특별시 중랑구 면목동 74-33,31,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-491-4887,37.589891,127.093125,2025-09-15
106-2-000002,면목시장,공영,노외,서울특별시 중랑구 사가정로50길,서울특별시 중랑구 면목동 666-17,25,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,현금+카드,중랑구시설관리공단,02-491-4887,37.577645,127.084247,2025-09-15
106-2-000003,망우본동,공영,노외,서울특별시 중랑구 망우로62길 52-4,서울특별시 중랑구 망우동463-44,96,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-491-4887,37.59677182,127.0982722,2025-09-15
106-2-000004,은행나무,공영,노외,서울특별시 중랑구 겸재로54가길 4,서울특별시 중랑구 면목동 107-5,97,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,현금+카드,중랑구시설관리공단,02-491-4887,37.58705596,127.0915758,2025-09-15
106-2-000005,늘봄,공영,노외,서울특별시 중랑구 겸재로64길9,서울특별시 중랑구 면목동 22-12,72,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,현금+카드,중랑구시설관리공단,02-491-4887,37.5898196,127.0964022,2025-09-15
106-2-000006,용마폭포,공영,노외,서울특별시 중랑구 용마산로250-12,서울특별시 중랑구 면목동 산 1-4,119,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.57335201,127.0891221,2025-09-15
106-2-000007,봉수대,공영,노외,서울특별시 중랑구 봉화산로 45길 67,서울특별시 중랑구 상봉동 12-2,31,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-9145,37.60663,127.0915,2025-09-15
106-2-000008,면목2동,공영,노외,서울특별시 중랑구 겸재로23길27,서울특별시 중랑구 면목동 146-1,199,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.58793511,127.0808933,2025-09-15
106-2-000011,중곡초교,공영,노외,서울특별시 중랑구 면목로23길20,서울특별시 중랑구 면목동 380,140,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.57489173,127.083439,2025-09-15
106-2-000012,면일초교,공영,노외,서울특별시 중랑구 용마산로100길13,서울특별시 중랑구 망우동 440,80,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.5920416,127.0997947,2025-09-15
106-2-000013,까치공원,공영,노외,서울특별시 중랑구 사가정로49길56,서울특별시 중랑구 면목동 570,90,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.58350827,127.087,2025-09-15
106-2-000015,중랑초교,공영,노외,서울특별시 중랑구 봉우재로6길26,서울특별시 중랑구 면목동 192-1,77,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.58966282,127.0755035,2025-09-15
106-2-000016,면목5동,공영,노외,서울특별시 중랑구 동일로 594,서울특별시 중랑구 면목동 162-22,67,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.58292,127.08,2025-09-15
106-2-000018,망우3동,공영,노외,서울특별시 중랑구 겸재로61길 40,서울특별시 중랑구 망우동 529-2,55,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-9145,37.5919,127.0949182,2025-09-15
106-2-000019,"중화2동1,2,3,4",공영,노외,서울특별시 중랑구 중랑역로 9,"서울특별시 중랑구 중화동73-5,73-4,73-3,73-10",372,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-491-4887,37.5948241,127.075729,2025-09-15
106-2-000020,면목유수지,공영,노외,서울특별시 중랑구 동일로 564,서울특별시 중랑구 면목동 168-2,567,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-9145,37.57993,127.081,2025-09-15
106-2-000021,"중랑역 제1,2",공영,노외,서울특별시 중랑구 중랑역로 9,"서울특별시 중랑구 중화동 73-6, 7",217,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-9145,37.5953,127.0781,2025-09-15
106-2-000022,봉화산역,공영,노외,서울특별시 중랑구 신내로 208,서울특별시 중랑구 신내동 640,100,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,50,5,50,카드,중랑구시설관리공단,02-438-9145,37.61704,127.093,2025-09-15
106-2-000023,동부시장,공영,노외,서울특별시 중랑구 동일로 109길 35,서울특별시 중랑구 면목동 183-13,129,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-9145,37.59136,127.0787,2025-09-15
106-2-000024,"망우역사제1,2,3",공영,노외,(제1)서울특별시 중랑구 망우로9길2,(제2)서울특별시 중랑구 망우동112-10/(제3)서울특별시 중랑구 망우동 64-1,121,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-491-4887,37.59883,127.1144,2025-09-15
106-2-000024,봉화산역(남),공영,노외,서울특별시 중랑구 신내동 647,서울특별시 중랑구 신내동 647,86,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,80,5,80,카드,중랑구시설관리공단,02-491-4887,37.6164198,127.0919251,2025-09-15
106-2-000024,"중랑캠핑숲제1,2,3",공영,노외,(제1)서울특별시 중랑구 망우동 56,(제2)서울특별시 중랑구 망우동 71-3~5 외/(제3)서울특별시 중랑구 망우동 산30-63,127,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-491-4887,37.6067,127.1101159,2025-09-15
106-2-000024,중화1동,공영,노외,서울특별시 중랑구 동일로136길 33,서울특별시 중랑구 중화동 29-2,230,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,100,5,100,카드,중랑구시설관리공단,02-438-7210,37.60272995,127.0816473,2025-09-15
