구분,주차장명,면수,장애인면수,급지,당일최고요금(원),기본요금(원),추가요금(원),충전기 설치수(급속),충전기 설치수(완속),주소,위치값_위도,위치값_경도
노상,상공회의소,25,1,2,8000,500,100,0,0,충청북도 청주시 상당구 상당로 106,36.637676,127.490474
노상,상당회관,31,1,2,8000,500,100,0,0,충청북도 청주시 상당구 교동로3번길 35,36.638933,127.490524
노상,고려삼계탕,28,1,2,8000,500,100,0,0,충청북도 청주시 상당구 우암산로 7,36.639391,127.491122
노상,현대자동차,25,1,2,8000,500,100,0,0,충청북도 청주시 상당구 교서로 4-1,36.637255,127.486653
노상,청주기계공업고등학교,18,2,2,8000,500,100,0,0,충청북도 청주시 상당구 교서로17,36.638775,127.485503
노상,상호저축은행,18,2,2,8000,500,100,0,0,충청북도 청주시 상당구 사직대로350번길 53,36.634161,127.486489
노상,우리은행,14,1,2,13000,1000,200,0,0,충청북도 청주시 상당구 남문로2가 66,36.632234,127.489001
노상,청주문화관,10,1,2,13000,1000,200,0,0,충청북도 청주시 상당구 남문로2가 120-1,36.632507,127.489064
노상,제일조명,16,1,1,13000,1000,200,0,0,충청북도 청주시 상당구 남주동 212-2,36.631762,127.485305
노상,효성병원,90,4,2,8000,500,100,2,0,충청북도 청주시 상당구 쇠내로 16,36.62439,127.495343
노상,사창동주민센터,17,2,2,8000,500,100,0,0,충청북도 청주시 서원구 내수동로 107,36.634023,127.459143
노상,무심동로제내지,60,2,2,8000,500,100,1,0,충청북도 청주시 상당구 무심동로372번길 2-15,36.633364,127.483500
노상,발산공원,30,1,2,8000,500,100,0,0,충청북도 청주시 흥덕구 경산로 33,36.624925,127.435178
노상,망골공원,24,3,2,8000,500,100,0,0,충청북도 청주시 상당구 월평로154번길 14,36.624925,127.435178
노상,망골공원 상가,18,3,2,8000,500,100,0,0,충청북도 청주시 상당구 월평로154번길 14,36.610880,127.501671
노상,용암1동주민센터,17,1,2,8000,500,100,0,0,충청북도  청주시 상당구 중흥로 29,36.608687,127.501578
노상,전문건설회관,14,1,2,8000,500,100,0,0,충청북도  청주시 상당구 중흥로 29,36.608687,127.501578
노상,누리타워,26,2,2,8000,500,100,0,0,충청북도 청주시 상당구 중흥로 42,36.609839,127.502820
노상,신촌설렁탕,18,2,2,8000,500,100,0,0,충청북도 청주시 상당구 월평로184번길 67,36.608625,127.502937
노상,충북불교문화회관,35,2,2,8000,500,100,0,0,충북 청주시 상당구 월평로184번길 101,36.607997,127.503438
노상,청주농협 북부주유소,30,2,2,8000,500,100,0,0,충북 청주시 청원구 공항로 97,36.665959,127.485994
노외,환승공영주차장,410,20,2,8000,500,100,3,4,충북 청주시 흥덕구 2순환로 1251,36.624978,127.432176
노외,일진주차장,72,3,2,8000,500,100,1,0,충북 청주시 상당구 상당로143번길 34-1,36.641272,127.487701
노외,복대동 대농 3지구,39,1,2,8000,500,100,0,0,충북 청주시 흥덕구 복대동 288-22,36.643520,127.432381
노외,현도면 캠핑카 주차장,32,,2,50000,,,0,0,충북 청주시 서원구 현도면 죽전리 669,36.498429,127.420476
노외,율량지구 주차타워,125,5,2,8000,500,100,2,2,충북 청주시 청원구 율량로201번길 13,36.664896,127.500331
부설,체육시설 부설주차장,446,25,2,6000,0,100,10,0,충북 청주시 서원구 사직대로 229,36.637958,127.472038
부설,농수산물도매시장,433,18,2,5000,0,100,1,0,충북 청주시 흥덕구 백봉로 254,36.648715,127.464577
