연번,주소,주차면수,구분,데이터기준일자
1,충청남도 서산시 운산면 용장리 406-24 앞(역천),51,무료 노외주차장,2025-09-04
2,충청남도 서산시 지곡면 화천리 1301-110,21,무료 노외주차장,2025-09-04
3,충청남도 서산시 고북면 기포리 311,24,무료 노외주차장,2025-09-04
4,충청남도 서산시 고북면 가구리 699,52,무료 노외주차장,2025-09-04
5,충청남도 서산시 동문동 140-6(롯데시네마 앞),20,무료 노외주차장,2025-09-04
6,"충청남도 서산시 죽성동 79-2, 79-17(죽성삼성A 앞)",40,무료 노외주차장,2025-09-04
7,충청남도 서산시 석림동 612-1(한마음목욕탕앞),32,무료 노외주차장,2025-09-04
8,충청남도 서산시 석림동 637-15(원조장어마을옆),30,무료 노외주차장,2025-09-04
9,충청남도 서산시 동문동 476-1(동문1동사무소 건너),31,무료 노외주차장,2025-09-04
10,충청남도 서산시 동문동 832-29(당간지주 앞),16,무료 노외주차장,2025-09-04
11,충청남도 서산시 석남동 34-97(조이할인마트 앞),31,무료 노외주차장,2025-09-04
12,"충청남도 서산시 읍내동 269-1, 9, 10 / 206-2, 3(선관위 뒤편)",14,무료 노외주차장,2025-09-04
13,충청남도 서산시 동문동1016-1(남부농협 앞),33,무료 노외주차장,2025-09-04
14,"충청남도 서산시 성연면 평리 290, 289-11",18,무료 노외주차장,2025-09-04
15,충청남도 서산시 읍내동 505-8외 7필지(청사뒤 직원주차장),90,무료 노외주차장,2025-09-04
16,충청남도 서산시 음암면 도당리 1550-3,20,무료 노외주차장,2025-09-04
17,충청남도 서산시 음암면 도당리 1550-6,14,무료 노외주차장,2025-09-04
18,충청남도 서산시 음암면 도당리 1550-50,12,무료 노외주차장,2025-09-04
19,"충청남도 서산시 음암면 도당리 1550-21, 22",26,무료 노외주차장,2025-09-04
20,충청남도 서산시 예천동1262-3(예천공영1주차장),30,무료 노외주차장,2025-09-04
21,충청남도 서산시 예천동1260-1(예천공영2주차장),17,무료 노외주차장,2025-09-04
22,충청남도 서산시 예천동1277-3(예천공영3주차장),17,무료 노외주차장,2025-09-04
23,충청남도 서산시 고북면 양천리 487,15,무료 노외주차장,2025-09-04
24,"충청남도 서산시 운산면 용현리 산1-4, 1",20,무료 노외주차장,2025-09-04
25,충청남도 서산시 동문동 982-4,28,무료 노외주차장,2025-09-04
26,충청남도 서산시 석남동 3-1,9,무료 노외주차장,2025-09-04
27,충청남도 서산시 석남동 6-7,14,무료 노외주차장,2025-09-04
28,충청남도 서산시 석남동 6-78,5,무료 노외주차장,2025-09-04
29,충청남도 서산시 대산읍 대산리 1499,16,무료 노외주차장,2025-09-04
30,충청남도 서산시 대산읍 대산리 1654,30,무료 노외주차장,2025-09-04
31,충청남도 서산시 대산읍 대산리 1588,16,무료 노외주차장,2025-09-04
32,충청남도 서산시 대산읍 대산리 1615,46,무료 노외주차장,2025-09-04
33,충청남도 서산시 읍내동 421-1,21,무료 노외주차장,2025-09-04
34,"충청남도 서산시 인지면 산동리 695-20, 21",18,무료 노외주차장,2025-09-04
35,충청남도 서산시 대산읍 대산리 91-8,44,무료 노외주차장,2025-09-04
36,"충청남도 서산시 대산읍 오지리 317-32, 83(벌천포해수욕장)",33,무료 노외주차장,2025-09-04
37,충청남도 서산시 부석면 간월도리 685-8,70,무료 노외주차장,2025-09-04
38,충청남도 서산시 부석면 간월도리 679-1,69,무료 노외주차장,2025-09-04
39,충청남도 서산시 운산면 용장리 378-3 일원,13,무료 노외주차장,2025-09-04
40,충청남도 서산시 팔봉면 어송리 348-11,60,무료 노외주차장,2025-09-04
41,충청남도 서산시 해미면 읍내리 274-5 일원,186,무료 노외주차장,2025-09-04
42,충청남도 서산시 부석면 취평리 257-7,27,무료 노외주차장,2025-09-04
43,충청남도 서산시 팔봉면 양길리 897,43,무료 노외주차장,2025-09-04
44,충청남도 서산시 동문동 926-3,6,무료 노외주차장,2025-09-04
45,충청남도 서산시 대산읍 화곡리 1852,50,무료 노외주차장,2025-09-04
46,충청남도 서산시 성연면 해성리 640,136,무료 노외주차장,2025-09-04
