연번,구분,주차장명,주소지(도로명주소 또는 지번),운영방식,주차장 층수,전체면적(제곱미터),주차면수,주차요금유무,설치연도,전화번호,관리부서
1,노상,시민로 노상주차장,온천대로 교차로(온양관광호텔)~시민로 442번길 교차로,위탁,지평식,84,7,무(무인),,041-540-2369,교통행정과
2,노상,배방읍 장재리 제1노상주차장,KTX천안아산역 2번 출구 교통광장 일원,위탁,지평식,1140,95,유(무인),,041-540-2369,교통행정과
3,노상,배방읍 장재리 제4노상주차장,배방읍 장재리 2011번지,위탁,지평식,276,23,유,,041-540-2369,교통행정과
4,노상,청운로 제2노상주차장,온양제분소~문화로 교차로(새소망교회),직영,지평식,900,75,무,,041-540-2369,교통행정과
5,노상,삼동로 노상주차장,삼동로 8번길(온수주차장)~문화로 교차로,직영,지평식,984,82,무,,041-540-2369,교통행정과
6,노상,청운로96번길 노상주차장,온양온천초교 담장길,직영,지평식,168,14,무,,041-540-2369,교통행정과
7,노상,온양역길 노상주차장,청운로 교차로~외암로 교차로,직영,지평식,216,18,무,,041-540-2369,교통행정과
8,노상,온천동 제2노상주차장,시민로 교차로(기아자동차)~아산로 교차로(쌍용자동차),직영,지평식,960,80,무,,041-540-2369,교통행정과
9,노상,온천동 제5노상주차장,온천동 우체국 뒷길,직영,지평식,156,13,무,,041-540-2369,교통행정과
10,노상,온천동 제6노상주차장,외암로 교차로~하모니마트,직영,지평식,552,46,무,,041-540-2369,교통행정과
11,노상,온천동 제7노상주차장,어의정로 17번길(파리바게트)~온화로 11번길(제일타워 뒷길),직영,지평식,612,51,무,,041-540-2369,교통행정과
12,노상,온천대로 1333번길 노상주차장,동아나래2차정문~실옥로 방향 120m 지점,직영,지평식,324,27,무,,041-540-2369,교통행정과
13,노상,온중로54번길 노상주차장,온중로 교차로(온양온천교회)~온양 2동 사무소 앞,직영,지평식,240,20,무,,041-540-2369,교통행정과
14,노상,청운로 제1노상주차장,온화로 교차로(현대힐스테이트)~어의정로 교차로(용화고),직영,지평식,156,13,무,,041-540-2369,교통행정과
15,노상,어의정로91번길 노상주차장,어의정로 교차로~온화로 교차로,직영,지평식,108,9,무,,041-540-2369,교통행정과
16,노상,용화고길79번길 주변 노상주차장,신도브래뉴 건너편,직영,지평식,276,23,무,,041-540-2369,교통행정과
17,노상,모산로 노상주차장,모산로 139번길 교차로~배방농협,직영,지평식,768,64,무,,041-540-2369,교통행정과
18,노상,둔포중앙로 노상주차장,둔포로 교차로~둔포중앙로 161번길 교차로(둔포초교),직영,지평식,576,25,무,,041-540-2369,교통행정과
