연번,주차장명,주소,주차면수,기본주차요금(30분),추가주차요금(10분),1일주차요금,월정기주차요금,운영시간
1,(구)경주역,경상북도 경주시 원화로 266 경주역,132,1000,300,13000,80000,24
2,DMC역,"서울특별시 은평구 수색로 193 , 경의선 디지털미디어시티역 6번출구",70,2400,800,12000,120000,24
3,가능역A,"경기도 의정부시 평화로 633 , 가능역A (동두천 방향 북쪽 주차장)",100,800,300,9000,70000,24
4,가능역B,"경기도 의정부시 평화로 633 , 가능역B (의정부 방향 남쪽 주차장)",37,800,300,9000,70000,24
5,가능역C,경기도 의정부시 평화로 633 가능역C (정기권 전용),23,,,,70000,24
6,강릉역,"강원도 강릉시 용지로 176 , 강릉역",194,500,300,10000,0,24
7,강릉역2,강원도 강릉시 용지로 176 강릉역 2주차장,197,500,300,10000,75000,24
8,강매역,경기도 고양시 덕양구 소원로 202 강매역 (정기권전용),36,,0,,90000,24
9,경기광주역,경기도 광주시 광주역로 10 경기광주역,158,800,300,7000,70000,24
10,경산역,경상북도 경산시 중앙로 1 경산역,36,400,200,5000,80000,24
11,경주역,경상북도 경주시 건천읍 신경주역로 80 신경주역,357,1000,300,13000,80000,24
12,고색역,경기도 수원시 권선구 매송고색로 688-10   고색역주차장,60,600,300,7000,60000,24
13,고잔역,경기도 안산시 단원구 중앙대로 784 고잔역,49,500,200,8000,50000,24
14,곤지암역,경기도 광주시 곤지암읍 곤지암천로 333 곤지암역,72,800,300,7000,70000,24
15,광명역A,경기도 광명시 광명역로 21 광명역A주차장,984,2400,600,15000,0,24
16,광운대역,서울특별시 노원구 석계로 98-2 광운대역,91,1800,600,12000,130000,24
17,광주송정역 주차빌딩,광주광역시 광산구 상무대로 179   광주송정역 주차빌딩,1580,1500,500,15000,150000,24
18,광주역A,광주광역시 북구 무등로 235 광주역A,51,1000,400,10000,70000,24
19,광주역B,광주광역시 북구 무등로 235 광주역,41,1000,400,10000,70000,24
20,구미역 타워,경상북도 구미시 구미중앙로 76   구미역타워주차장,317,600,200,8000,60000,24
21,구성역,경기도 용인시 기흥구 용구대로 2403 구성역,169,600,300,9000,80000,24
22,군산역,전라북도 군산시 내흥2길 197   군산역 주차장,73,500,300,8000,100000,24
23,금곡역,경기도 남양주시 금곡로19번길 47   금곡역 주차장,87,600,300,7000,70000,24
24,금촌역,경기도 파주시 새꽃로 193 금촌역,159,600,600,8000,80000,24
25,김천구미역A주차장,경상북도 김천시 혁신1로 51   김천구미역A주차장,96,1000,300,13000,0,24
26,김천역,경상북도 김천시 김천로 111 김천역,95,500,200,10000,80000,24
27,나주역,전라남도 나주시 나주역길 56   나주역 주차장,189,600,200,7000,70000,24
28,남창역,울산광역시 울주군 남창역길 40   남창역 주차장,99,300,100,6000,50000,24
29,남춘천역,강원도 춘천시 남춘로5번길 27-8 123,74,600,300,7000,80000,24
30,녹양역,경기도 의정부시 평화로 757 녹양역,45,800,300,9000,70000,24
31,논산역,충청남도 논산시 해월로 236-13 논산역,37,500,200,5000,45000,24
32,능곡역,경기도 고양시 덕양구 토당로 35 능곡역,154,600,200,8000,90000,24
33,대전역 동광장2,대전광역시 동구 새둑길 143 소제동 293-9 ,102,1200,300,15000,0,24
34,대전역 서광장1,대전광역시 동구 중앙로 215 대전역,75,1200,300,15000,0,24
35,대전역 서광장2,대전광역시 동구 중앙로 215 대전역,108,1200,300,15000,0,24
36,대전역 선상,대전광역시 동구 중앙로 215 대전역,353,1200,300,15000,140000,24
37,덕소역,경기도 남양주시 와부읍 덕소로 56 덕소역,57,600,300,7000,70000,24
38,덕정역,경기도 양주시 화합로 1356 덕정역,89,600,200,7000,60000,24
39,덕하역,울산광역시 울주군 덕하로 229   덕하역 주차장,99,300,100,6000,50000,24
40,도농역,경기도 남양주시 경춘로 433 도농역,171,800,300,8000,90000,24
