건물명,도로명주소,지번주소,종류,대수,최종검사일자,검사결과,관리인배치여부,기타
 ,서울특별시 서초구 마방로10길 53,서울특별시 서초구 양재동 279-9,2단식,2,,부,무,건물명미정_검사이력없음
 ,경기도 이천시 영창로124번길 39 (관고동 47-6) ,경기도 이천시 관고동 47-6,2단식,1,2017-04-27,적,무,건물명미정
 ,서울특별시 성동구 왕십리로31가길 3 (하왕십리동),서울특별시 성동구 하왕십리동 890-77,2단식,2,1999-12-06,적,무,건물명미정
 ,서울특별시 구로구 공원로6나길 44 (구로동),서울특별시 구로구 구로동 41-6,2단식,2,2000-10-06,적,무,건물명미정
 ,대전광역시 동구 성남동 1-44,대전광역시 동구 성남동 1-44,2단식,2,2005-07-20,적,무,건물명미정
 ,부산광역시 부산진구 동천로107번길 21 (부전동),부산광역시 부산진구 부전동 142-7,2단식,2,2008-07-14,적,무,건물명미정
 ,부산광역시 해운대구 윗반송로51번길 168 (반송동),부산광역시 해운대구 반송동 62-52,2단식,2,2011-03-03,적,무,건물명미정
 ,경상북도 구미시 인동19길 21-7 (인의동),경상북도 구미시 인의동 675-3,2단식,2,2011-05-13,적,무,건물명미정
 ,경상남도 김해시 호계로499번길 5 (동상동),경상남도 김해시 동상동 969-2,2단식,2,2011-10-27,적,무,건물명미정
 ,부산광역시 연제구 쌍미천로119번길 20 (연산동),부산광역시 연제구 연산동 643-8,2단식,2,2014-02-26,적,무,건물명미정
 ,충청남도 천안시 동남구 큰재빼기길 7-1 (대흥동),충청남도 천안시 동남구 대흥동 223,2단식,2,2014-05-20,적,무,건물명미정
 ,대전광역시 서구 복수5길 53 (복수동),대전광역시 서구 복수동 357,2단식,2,2014-12-29,적,무,건물명미정
 ,서울특별시 송파구 백제고분로41길 36 (송파동),서울특별시 송파구 송파동 28,2단식,2,2015-01-14,적,무,건물명미정
 ,부산광역시 부산진구 대학로 11-14 (가야동 382-16),부산광역시 부산진구 가야동 382-15,2단식,2,2015-01-30,적,무,건물명미정
 ,충청남도 천안시 서북구 봉정로 229 (성정동),충청남도 천안시 서북구 성정동 661-17,2단식,2,2015-02-25,적,무,건물명미정
 ,서울특별시 은평구 응암동 111-16,서울특별시 은평구 응암동 111-16,2단식,2,2016-06-09,적,무,건물명미정
 ,부산광역시 부산진구 신암로145번길 14 (범천동),부산광역시 부산진구 범천동 1118,2단식,2,2017-03-17,적,무,건물명미정
 ,충청남도 부여군 성왕로 246 (부여읍 120),충청남도 부여군 부여읍 관북리 120,2단식,2,2017-07-04,부,무,건물명미정
 ,부산광역시 부산진구 복지로 17 (개금동 523-33) ,부산광역시 부산진구 개금동 523-33,2단식,2,2017-11-10,적,무,건물명미정
 ,대전광역시 동구 대전로 794-1 (중동),대전광역시 동구 중동 75-11,2단식,2,2017-12-07,부,무,건물명미정
 ,서울특별시 영등포구 대림로22길 14-10 (대림동 851-95) ,서울특별시 영등포구 대림동 851-95,2단식,2,2018-03-05,적,무,건물명미정
 ,경상북도 경주시 외동읍 계동2길 62-2,경상북도 경주시 외동읍 모화리 1324-13,2단식,2,2019-08-07,적,무,건물명미정
 ,서울특별시 구로구 경서로5길 1 (고척동),서울특별시 구로구 고척동 134-117,2단식,2,2019-11-12,적,무,건물명미정
 ,서울특별시 종로구 삼일대로32가길 29-3 (익선동),서울특별시 종로구 익선동 43,2단식,2,2019-11-28,적,무,건물명미정
 ,서울특별시 영등포구 당산로31길 18-14 (당산동3가 395-42) ,서울특별시 영등포구 당산동3가 395-42,2단식,2,2020-01-16,적,무,건물명미정
 ,부산광역시 동래구 명륜로112번길 11 (명륜동),부산광역시 동래구 명륜동 401-1,2단식,2,2020-02-03,적,무,건물명미정
