주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
59731-99999-00003-00-1,0,91,77,0
59745-99999-00018-00-1,0,109,109,0
59715-99999-00032-00-1,0,26,22,0
59745-99999-00019-00-1,0,237,236,0
59767-99999-00069-00-1,0,244,241,0
59752-99999-00012-00-1,0,72,60,0
59723-99999-00095-00-1,0,78,67,0
59737-99999-00018-00-1,0,402,342,0
59702-99999-00090-00-1,0,240,224,0
59736-99999-00016-00-1,0,95,80,0
59707-99999-00002-00-1,0,71,64,0
59778-99999-00023-00-1,0,83,64,0
96001-12211-00001-00-1,0,150,132,0
38146-99999-00044-00-1,2,221,37,0
38153-99999-00045-00-1,1,80,30,0
38170-99999-00015-00-1,1,181,61,0
38158-99999-00026-00-1,0,100,87,0
38140-99999-00021-00-1,2,167,18,0
38156-99999-00078-00-1,3,95,1,0
38166-99999-00047-00-1,2,17,4,0
38183-99999-00053-00-1,1,564,211,0
52684-99999-00026-00-1,3,9,0,0
52691-99999-00015-00-1,3,19,1,0
52690-99999-00024-00-1,1,11,5,0
52691-99999-00016-00-1,0,10,5,0
52690-99999-00025-00-1,0,15,9,0
52691-99999-00017-00-1,1,23,8,0
52691-99999-00018-00-1,2,82,12,0
52685-99999-00041-00-1,0,0,0,0
52684-99999-00027-00-1,3,4,0,0
22309-99999-00035-00-1,0,779,0,0
22318-99999-00037-00-1,0,1024,0,0
22314-99999-00052-00-1,0,118,30,0
22106-99999-00041-00-1,0,90,39,0
22102-99999-00042-00-1,0,202,0,0
21972-99999-00047-00-1,0,161,0,0
21911-99999-00244-00-1,0,362,0,0
21912-99999-00407-00-1,0,19,1,0
21929-99999-00346-00-1,0,29,0,0
21929-99999-00347-00-1,0,193,36,0
21511-99999-00058-00-1,0,12,5,0
21569-99999-00042-00-1,0,38,0,0
21591-99999-00079-00-1,0,59,78,0
21666-99999-00054-00-1,0,47,4,0
21653-99999-00116-00-1,0,441,0,0
21446-99999-00056-00-1,0,111,0,0
21401-99999-00035-00-1,0,21,0,0
21334-99999-00016-00-1,0,48,0,0
21404-99999-00109-00-1,0,47,0,0
21446-99999-00057-00-1,0,224,0,0
21060-99999-00014-00-1,0,36,0,0
21069-99999-00026-00-1,0,128,0,0
